[General]
Name|Dan
BGC68|Certo, Arin. Vamos ver se eles têm sorvete aí dentro.
BGC69|Vamos ver se eles têm confeitos, mas não os chame de Jimmies na frente dessas pessoas. Essas pessoas com certeza vão te dar outra coisa.
BGC70|Caramba! Aquela ali é uma dançarina. Não faço ideia de onde ela conseguiu uma cobra, mas o conjunto todo é uma performance muito envolvente.
BGC71|Katherine? Espera aí, você é a mesma Katherine que vive participando do nosso concurso de Maior Fã do Game Grumps? Tudo faz sentido agora!
BGC72|NÃO é assim que você coloca seu nome no topo do ranking de Maior Fã do Game Grumps, mocinha! Vá até o seu carro e ligue o motor agora mesmo!
BGC73|É chá de ervas, um chocolate quente com calda ou alguém fez uma bola curva e cozinhou um ovo de deus?
BGC74|Cara, eu realmente achei que íamos tirar um telefone daquilo. Foi uma performance magistral.
BGC75|Arin, guarde esse pênis, é hora de irmos!
BGC76|Arin, Arin, está tudo bem.
BGC77|Nossa, nossa mercadoria defeituosa queima muito bem! Tá vendo isso, Arin? É muito colorido.
BGC78|Eu sinto muitas coisas por segundo. Tipo meus dedos, eu sinto como se eles estivessem realmente AQUI agora, sabe o que quero dizer? Tipo eu e meus dedos, estamos realmente neste momento.
BGC79|TAMBÉM — EU SEI — EU TAMBÉM ME SINTO ALTO. EU TAMBÉM ME SINTO ALTO! Estou muito feliz com a posição do meu maxilar agora. É, é, estou chapado, ah, é, estou chapado. Sinto que o Dan está na casa dos 20 e voou no tempo para sair com meu amigo Aaaar-iiiin.
BGC80|Nossa, Arin, você arrasou. Só falta o Ninja Brian aqui e já estaremos na onda. A ZONA DO TOM, QUERIDO!
BGC81|E sandálias e Natal, e vapores químicos e FELICIDADE.
BGC82|E eu não sou tão rabugento assim!
BGC83|Rápido, para os nossos corcéis, Arin! Uhuu!
BGC84|Nunca vamos esquecer VOCÊEEEEEE!
BGC85|Sem Chet, Sem Chet, Sem Chet...
BGC86|É isso aí, Arin! Em um movimento criativo que quebrou a imersão e foi preguiçoso, nosso escritor de missões decidiu que EU explicasse todos os detalhes técnicos de como essa história funcionaria. Porque, segundo ele, é um prazer ouvir, e no fim das contas, nada disso importa.
BGC87|Puh puh puh! Puh! Puh puh!
BGC88|Esta caixa de diálogo está correta, No-Chet. Não temos muito tempo antes que os Lovelies comecem uma confusão total.
BGC89|Espere um minuto, se eles tivessem um bloqueador de sinal... e não conseguíssemos sinal no balão de ar quente... pft, não, provavelmente sem conexão.
BGC90|Não utilizado
BGC91|Só lembre que temos um show hoje à noite, Arin. Não estou dizendo que ele tem um problema com bebida, mas ele bebe o tempo todo, todos os dias.
BGC92|Arin, chega, esse cara vai te dar um chute na bunda!
BGC93|Arin: Eu realmente não quero ser um Brian Amargo, mas o que estamos fazendo? Temos que ir para o Game Grumps Live!
BGC94|Quer que eu te distraia...
BGC95|Arin, está tudo bem? Vamos entrar!
BGC96|Ei, sai do Big Cat! Você sabe que ele tem dedos quebradiços!
BGC97|Arin! Não morra! Ainda tem tantos jogos ruins pra jogar! Como esse! Ainda temos que refazer esse! Ah, porra, ainda temos que refazer esse.
BGC98|Ai! Não é assim que a gente expressa raiva, cara! Uma vez, bati na minha irmã em retaliação e ela chorou. Nunca esqueci como isso me fez sentir. Espero que você se lembre das MINHAS lágrimas pelo resto da vida.
BGC99|Vamos lá! Vou ver estrelas a noite toda agora! Pisca, estrelas, pisca, estrelas, pisca-Deus! Droga, não-Chet!
BGC100|Ha! Essas nuvens são fracas, mano.
BGC101|Eu adoro empanadas!
BGC102|Aqui, repita sua fala.
BGC103|Este lugar vai me derrotar. O Ross deve ter criado esse jogo maldito...
BGC104|Você disse "seja o tarado"?
BGC105|Maaaass Aaaarin!
BGC106|Arin, eu realmente não quero ser uma Sandra Salgada, mas o que estamos fazendo?! Temos que ir para o Game Grumps Live!
BGC107|Com licença.
BGC108|Enquanto você estava com as garotas, eu estava estudando espadas.
BGC109|Meu Deus, este lugar...
BGC110|DOOOO-DO DOOOO, DO DOO DOOOO, DO DO... mmm, foi uma performance magistral. Não foi? ...Bom.
BGC111|Ai, meu Deus, Arin!
BGC112|Arin, qual é!
BGC113|Calma, cara...
BGC114|...Eu tenho um pequeno UH-UH e um pequeno AH-AH!
BGC115|*Suspiro* Cara... Não acredito que isso está acontecendo. Lembra quando começamos a jogar esse jogo, e agora estamos TÃO ENTREGUES. Tão dentro da tradição. Meu Deus.
BGC116|É, uau... ummmm... agora estou fedendo.
BGC117|Tanto faz, cara, não somos pagos para isso...
BGC118|Gato Grande, acalme-se, ou o Sr. Negócios vai ter que liberar os negócios.
BGC119|Loucura! Que loucura.
BGC120|Que porra é Gangnam Style?
BGC121|Nunca ouvi falar disso, acho que ninguém ouviu.
BGC122|Qualquer porto em uma tempestade!
BGC123|Você viu esse dedo de espuma, Arin?
BGC124|Alguma coisa vai acontecer com um idiota.
BGC125|P-CLUUUBB.
BGC126|Acho que isso vai te matar...
BGC127|E nós somos os Game Grumps! E vamos cair fora daqui! ...Meu Deus, fizemos isso sem problemas e dentro do código!
BGC128|Meu Deus, tem xixi por todo lado!
BGC129|Que pênis enorme!
BGC130|Olha só, o No-Chet está devolvendo àquele alcoólatra o seu meio de ficar bêbado!
