[General]
Name|Derek
149|Ahh, ele é um cara incrível. Quer dizer, eu sou sarado pra caramba. Só me pergunte da próxima vez antes de sentir meu amor. Se tiver um tempinho, talvez eu possa te contar um pouco sobre minha rotina de exercícios. Exercícios de Kegel masculinos fazem MARAVILHAS.
150|Cara, como você conseguiu fazer isso? Você sabe como eu era gordo no ensino médio! Eu tinha que usar aquelas regatas especiais... aquelas com elástico no peito. Eu parecia um tubo de pasta de dente que tinha sido pisado...
150.1|Como você conseguiu fazer isso? Você não tem ideia de como eu era gordo no ensino médio e como eu me sentia! Eu tinha que usar aquelas regatas especiais... aquelas com elástico no peito. Eu parecia um tubo de pasta de dente que tinha sido pisado...
151|Não é só você, todo mundo, fiquem longe de mim!
151.1|Fiquem longe - fiquem longe de mim!
151.2|Fique longe de mim!
152|Que diabos? Isso não são peitos de homem! São peitorais, droga! Meu peitoral está INCRÍVEL! Vamos lá, essa merda está realmente trazendo de volta algumas memórias ruins do ensino médio.
153|Eu posso responder isso. Não, ninguém mais quer!
154|Que tal MENOS para você? Ooh, ei, isso faz cócegas, pare, não, isso não tem graça nenhuma. Quem você pensa que é?
155|Ah, que diabos, não! Não é meu abdômen definido, não quero ter que explicar essa merda! Vou cair fora!
156|É... era isso que você queria? Ei, pessoal, o magoo gordo está comendo da geladeira como um selvagem gordo! OLHE PARA MIM! TESTEMUNHO!
157|Ok... ok, vou levantar. Você tem razão, não sei bem o que deu em mim. Puta merda, foi isso que eu peguei? Eles encontram essa coisa dentro de baleias mortas no fundo do mar! Porra, baleias?! Meu Deus, é isso que eu sou, né?
158|Ei, ei, pega leve com os apertos nos peitos. Eu continuei com essa merda quando era gordo porque vocês costumavam me dar chocolate depois que eu acordava, mas eu não sou mais esse cara. Vocês não vão me fazer engordar mais, não sou eu, não!
158.1|Não acredito que vamos voltar a isso. Você sabe que eu tenho problemas com meus peitos, cara. Essa merda me leva de volta ao ensino fundamental. AGORA SOU UM MENINO GRANDE. UM-UM MENINO GRANDE DEMAIS!
159|É, eu o vi com uma maleta prateada enorme. Entrei igual ele fez e reservei para o quintal. Nunca mais vi aquela maleta. Só posso presumir que seja algum tipo de desfibrilador que ele possa usar para se ressuscitar depois de inevitavelmente entrar em coma induzido por álcool.
159.1|É, eu vi. Abrimos e era uma foto sua, então desenhei para parecer que você fez blackface e depois publiquei essa merda na internet. Você devia ir trabalhar no seu discurso de desculpas, com tinta de cerca flutuando no rio, FILHO DA PUTA!
160|Você está falando daqueles dois idiotas? Eu gosto deles. Se você os quer fora daqui, eu vi algo cair do balão deles quando pousaram. Ou cair. Talvez eu queira dar uma olhada nisso.
160.1|Você quer se livrar desses caras? Certo, aqui está o que você vai fazer. Levante as mãos e dê um soco no queixo de um desses garotos da internet. Eles ganham a vida cantando e jogando! É só dar um soco neles! Você sabe que eu estou certo, eu NUNCA te enganaria ... 
161|Ela ainda está escondida no esconderijo dela, né? A Brittney não gosta dos holofotes, meio que a assusta. Dê um jeito de fazer outra pessoa ser a beldade do baile. Heh, isso foi uma piada sulista.
161.1|Não tenho tempo para essa merda, cara. Sério mesmo. Preciso que você pegue esses sapatos ridículos, compre-os de um anúncio em um site pornô, pague só o frete, veja seus sapatos e vá dar uma volta.
162|Pode repetir. A gente tá se pegando desde o ensino fundamental. Dá para acreditar? ENSINO MÉDIO.
162.1|É, parece que faz uma eternidade, e é por isso que estou tão surpresa de te ver agindo daquele jeito hoje à noite. Mas você é minha amiga desde o ensino fundamental, então não tem muita coisa que eu não possa perdoar.
162.2|Faz tempo que não conheço alguém, mas eu não te conheço. Não gosto do jeito que você está esta noite. Acalme sua mente perturbada antes de vir falar comigo sobre os velhos tempos.
163|É, definitivamente faz muito tempo, com a gente tentando atrair um grande público entre 18 e 35 anos. Tempos loucos naquela época, quando quer que isso tenha sido!
163.1|É, é, só saiba que tem um limite para o que eu consigo aguentar. Não sou capacho, entendeu? Enfim, éramos uns doidos da porra antigamente. Um dia indefinido em um ano indefinido, com a gente tentando atrair um grande público entre 18 e 35 anos.
164|Cara, a gente tem que colocar o papo em dia quando você tiver a chance. Eu tenho contado para todos os meus amigos sobre os nossos dias loucos. A essa altura, eles provavelmente conhecem nossas histórias famosas tão bem quanto você e eu! Ei, se você se pegar de braços cruzados, pegue umas cervejas e venha me encontrar. A gente vai reviver as lembranças. Mais como um bêbado tropeçando na avenida do erro.
164.1|Cara, a gente tem que colocar o papo em dia quando você tiver a chance. Eu tenho contado para todos os meus amigos sobre os nossos dias loucos. A essa altura, eles provavelmente conhecem nossas histórias famosas tão bem quanto você e eu! Embora... depois de quase queimar todo mundo vivo, acho que eles agora fazem parte de uma dessas histórias. Enfim, se você se pegar de braços cruzados, pegue umas cervejas e venha me encontrar. A gente vai reviver as lembranças. Mais como um bêbado tropeçando na avenida do erro.
164.2|Cara, a gente tem que botar o papo em dia quando você tiver a chance. Eu tenho contado para todos os meus amigos sobre nossos dias loucos. A essa altura, eles provavelmente conhecem nossas histórias famosas tão bem quanto você e eu! Caramba, se a Madison tivesse realmente machucado o Purgalicious... todos nós teríamos feito parte de uma dessas histórias. Enfim, se você se pegar de braços cruzados, pegue umas cervejas e venha me encontrar. Vamos dar uma volta pela estrada da memória. Mais como um bêbado tropeçando na avenida do erro.
164.3|Bem, a gente tem que botar o papo em dia com o cara. Eu tenho contado para todos os meus amigos sobre nossos dias loucos. A essa altura, eles provavelmente conhecem nossas histórias famosas tão bem quanto você e eu! Caramba... Acho que quase criamos outra história louca depois de todo aquele drama da Madison. Enfim, quando você tiver a chance, pegue umas cervejas e venha me encontrar. Vamos dar uma volta pela estrada da memória.
164.4|Bem, a gente tem que botar o papo em dia com o cara. Tenho contado a todos os meus amigos sobre os nossos dias loucos. A esta altura, eles provavelmente conhecem as nossas histórias famosas tão bem quanto você e eu! Droga... Acho que quase criamos outra história louca depois de todo aquele drama em Madison. Enfim, quando tiver a chance, pegue umas cervejas e venha me encontrar. Vamos dar uma volta pela memória.
165|Só espero que você ainda se lembre de todos os bons momentos que tivemos. Depois daquele verão em que você passou um tempo como líbero no campo de rebatidas... cara, você levou tantas bolas de beisebol na cabeça que todos nós ficamos surpresos com a sua formatura. Mas lá estava você, rolando pelo palco naquela sua cadeira de rodas que você só precisou usar por uns 6 meses, NO MÁXIMO. E você quase nunca mais baba...
166|Bem, vamos manter assim, o que significa que você pode querer evitar aquele Frank o máximo possível. Que diabos, tome cuidado mesmo quando ele não estiver por perto. Ele tem um jeito de pegar bons cérebros e torná-los todos... contundentes e ruins. E a, uh, protegida dele, Leah... ela também. Talvez seja melhor ficar longe. Tudo bem, amigo, te vejo em breve.
166.1|Bem, vamos continuar. Eu vi você conversando com o Frank mais cedo, mas é melhor se cuidar o tempo todo. O Frank é astuto e tem um jeito de pegar bons cérebros e torná-los todos... contundentes e ruins. E a, uh, protegida dele, Leah... ela também. Eu ficaria longe se fosse você. Tudo bem, cara, te vejo em breve.
167|Aqui vamos nós! Bela descoberta, cara. Vamos nos certificar de que não estamos perto de nenhum membro do esquadrão de segurança idiota. Eu sempre achei o Mirante de Madison bem tranquilo, que tal a gente colocar o papo em dia?
167.1|Tudo bem, gata! E tudo isso mantendo distância do esquadrão de segurança idiota. Você se move como sombras, amigo. Enfim, eu sempre achei o mirante de Madison bem legal. Que tal a gente colocar o papo em dia?
167.2|Aqui vamos nós! Ótimo achado, cara. Sempre achei esse gazebo bem tranquilo. Que tal a gente dar um jeito nele? Só se certifica de que o segurança babaca não esteja por perto primeiro.
167.3|Aqui vamos nós! Ótimo achado, cara. Sempre achei esse gazebo bem tranquilo. Que tal a gente dar um jeito nele?
167.4|Tá bom, gata! Sempre achei o gazebo da Madison bem tranquilo. Que tal a gente colocar o papo em dia por lá?
168|Cara, é bom dar um tempo, principalmente com você, chefe.
168.1|É bom dar um tempo, né?
169|Sabe, a Madison não é muito receptiva a gente nova chegando e dando umas voltas na vida pessoal dela, mas quando ela estava prestes a brigar com você pela casa, tudo que eu tinha pra contar pra ela era a história do baile. Eu sei que você se lembra da história do baile, cara.
169.1|Então, a Madison pode se sentir diferente agora, depois de... ha, bom, você sabe... mas antes de você aparecer, eu tive que contar a história do baile para ela de que você seria uma boa opção para essa festa. Lembra disso, cara?
170|Vamos lá, cara, eu sei que temos histórias para contar, mas espere até chegarmos onde precisamos estar. Não quero nenhum desses filhos da puta tentando roubar nossa fama anedótica para suas próprias autobiografias.
171|Espera, espera, o quê? Não, isso é o oposto do que eu estou falando. O que você acabou de dizer, nunca aconteceu. Cara, aquelas bolas de beisebol foram uma marca permanente no seu córtex, mano. Temos que ver se conseguimos dar a ele uma pensão por invalidez ou algo assim. Tô fora.
171.1|É esse mesmo, é esse mesmo! E aí quando o pequeno Davy Clemons ficou cego de um olho, eles iam revogar sua formatura, mas não queriam que parecesse que estavam te discriminando porque você estava numa cadeira de rodas! HAHAHA! Nossa, a merda que a gente costumava colocar no homem. Que loucura. Imagino o quão pequeno o Davy é...
172|Bem, ele nunca foi destinado à grandeza como nós. Enfim, vou dar uma volta, sabe, pareço a socialite que sou. Mas estou gostando disso. Me dá um pouco, depois pega outra cerveja pra gente e a gente se pega de novo. Tem muita coisa pra cobrir entre nós...
173|Desculpa, amigo, é cedo demais. Minha barriga está inchada como se eu tivesse voltado ao meu peso de soldado raso. Aqueles foram dias difíceis. Estou contraindo o abdômen enquanto falamos. Me dá um minuto pra chegar aos 100 e depois a gente volta.
173|Desculpa, amigo, é cedo demais. Minha barriga está inchada como se eu tivesse voltado ao meu peso de soldado raso. Aqueles foram dias difíceis. Estou contraindo o abdômen enquanto falamos. Me dá um minuto pra chegar aos 100 e aí a gente volta. 174|É, cara, rolando feito um chefão! Sabe o que combina perfeitamente com essas cervejas? Você e eu voltando para a banheira. O que você acha?
174.1|Tá, quer bater uma de novo, cara? Espero que você se lembre de coisas dos nossos ANOS de amizade. Isso, sabe, significa muito para mim. Vamos para a banheira de hidromassagem. Talvez essa água morna relaxe um pouco.
174.2|Tá, quer bater uma de novo, cara? Espero que você se lembre de coisas dos nossos ANOS de amizade. Enfim, talvez você só precise relaxar. Hm, a banheira de hidromassagem é bem aqui, então vamos experimentar. O que você acha?
175|Ah, meu amor, é bom se soltar aqui! Eu gosto da Madison e tudo mais, mas o fato de ela ter essa banheira de hidromassagem torna aturar todas as suas merdas muito mais fácil. Eu poderia relaxar aqui a noite toda! A noite toda!
175.1|Ooohh, deixa eu te dizer, você está perdendo ISSO! O que você está fazendo aí parado, sua vagabunda burra? Ha, só brincando, cara. Enfim, eu gosto da Madison e tudo, mas o fato de ela ter essa banheira de hidromassagem torna aturar todas as suas merdas muito mais fácil. Eu poderia relaxar aqui a noite toda! A noite toda!
175.2|Ai, meu amor, é bom me soltar aqui! Ainda bem que a Madison tem uma dessas. Eu poderia relaxar aqui a noite toda! A noite toda!
175.3|Você está perdendo ISSO! O que você está fazendo aí parado, seu babaca? Ha, só brincando, cara. Não deixe essa merda mais estranha do que era; o drama da Madison acabou. Entre e aproveite uma das BOAS decisões que a Madison realmente tomou. Experimente! Eu poderia relaxar aqui a noite toda! A noite toda!
175.4|Ai, meu amor, é bom me soltar aqui! Ainda bem que a Madison tem uma dessas. Eu poderia ficar aqui a noite toda! A noite toda!
175.5|Você está perdendo ISSO! O que você está fazendo aí parada, sua vagabunda burra? Ha, só brincando, cara. Não deixe essa merda mais estranha do que já era; o drama da Madison acabou. Entre e aproveite uma das BOAS decisões que a Madison realmente tomou. Experimente! Eu poderia ficar aqui a noite toda! A noite toda!
176|Claro. Álcool ajuda a soltar os lábios, mas você sempre soube que eu tenho uns baseados. Caramba, você realmente achou que ia transar com o SBB sozinho? Vamos lá, você tem que se lembrar da nossa boy band, a T-S-C!
177|Ora, ora, meu suposto "melhor amigo". Hmph, não estou no clima para suas merdas agora.
177.1|Ora, ora... hmph. Não estou no clima para suas merdas agora.
178|Ah, espera... O Sargento Babaca do Esquadrão da Lei está perto demais para se sentir confortável. Temos que esperar, a menos que você possa cutucá-los com os olhos ou algo assim e nos dar um tempo.
179|Que tipo de bobagem saiu da sua boca, cara? Porra, você realmente se esqueceu dos SmoothButt Boys? Nós íamos conquistar o mundo com nossas vozes sedosas e passos de dança suaves! Porra, cara!
180|O SmoothButt Guys vai te dar uma surra. O SmoothButt Guys vai dominar esta cidade. Ha-HAAA! Droga, se não fosse o meu irmão postar aquele vídeo do nosso ensaio na internet e nos fazer de motivo de piada da escola inteira, eu realmente acho que poderíamos ter levado o TSC para o topo das paradas. Droga, fico feliz que você se lembre. SmoothButt!
181|Tudo bem, estou ganhando bolas de passas aqui. Estou saindo. Venha me encontrar mais tarde, com cervejas na mão.
181.1|Quer dizer, tudo bem. Acho que não posso esperar que você se lembre de tudo. Mas você deveria perguntar se não se lembra das nossas aventuras. Sério, eu conto as histórias dos nossos dias de glória COMO o cara que não consegue largar o ensino médio. Porra... Eu realmente me chamei de "fora de série". Enfim, estou indo embora, minhas bolas estão se enrugando.
181.1| 181.2|Você está 0 a 2 nessas histórias, cara. Você deveria estar perguntando, tendo esses estranhos te contando coisas incríveis sobre a sua própria vida. Eu estou aqui espalhando as histórias da nossa glória e você está aqui babando por si mesmo ou alguma merda dessas. Tô fora. Venha me encontrar mais tarde se quiser ser o amigo que eu costumava ter.
182|Te dou crédito, você tem um jeito de sentir o cheiro de cerveja em uma festa sem álcool. E fico feliz que esteja, porque estou me divertindo muito te colocando em dia. Vamos, vou encontrar um lugar para a gente relaxar. Estou pensando... no teto.
182.1|Te dou crédito, você tem um jeito de sentir o cheiro de cerveja em uma festa sem álcool. Só espero que desta vez você se lembre de todas as coisas incríveis de antigamente. Vamos, vou encontrar um lugar para a gente relaxar. Estou pensando... no teto.
183|Ei, amigo, senta e relaxa! Eu provavelmente não deveria subir tão alto. Geralmente tenho medo de altura, mas essas cervejas me fazem sentir como se eu não tivesse nenhuma preocupação no mundo. Além disso, sabe, ah, deixa pra lá.
183.1|Escuta, cara, senta um minuto. Posso ser sincero com você? É uma pena que você não se lembre de todas essas histórias. Acho que eu deveria ser mais compreensivo, já que você é enganado por bolas de beisebol por US$ 8 a hora, mas sei lá, sinto que estou perdendo uma parte de você.
183.2|Ei, cara, senta aí. Relaxa! Eu provavelmente não deveria subir tão alto. Geralmente tenho medo de altura, mas entre a "escalada" que fiz mais cedo hoje à noite e essas cervejas... bem, sinto que não tenho nenhuma preocupação no mundo. Além disso, sabe... ah, deixa pra lá.
183.3|Escuta, cara, senta um minuto. Posso ser sincero com você? É uma pena que você não se lembre de todas essas histórias. Entre o que ouvi sobre você ser atingido por bolas de beisebol por horas e, sim, preciso mencionar, a merda que você fez mais cedo... parece que estou perdendo uma parte de você.
184|Porra, sim, baby! É disso que eu estou falando!
185|Claro que sim, cara, eu não sou leve pra caralho, senão eu já teria caído daquela sacada há muito tempo. Eu sei que estar aqui em cima traz lembranças DAQUELE dia. ALTO? Lembra do que eu estou falando?
185.1|Bem, eu escolhi esse local taticamente. Estamos falando apenas do telhado de uma casa no subúrbio, o que AINDA me assusta pra caramba, aliás, mas imaginei que te levar para o alto traria as lembranças de volta. Sabe? Daquele dia... para o alto.
186|É, é, é, seu esquecido de merda. Vou começar a te pedir o dinheiro que você me deve. Sabe, daquele momento em diante. Ah, você não lembra? Bom, eu não inventaria isso, né? Brincadeira. Tudo bem, vou sair desse telhado, mas vem me buscar um pouco. Você ainda não está completamente ferrado.
186.1|Você está partindo meu coração. Tanto faz, tô fora, cara. Me tira desse maldito telhado com esse cara que eu nem conheço.
187|A competição de mijar para ACABAR com todas as competições de mijar, cara. Três andares acima, bexigas cheias daquelas bebidas enlatadas cheias de cafeína que colocam crianças da nossa idade no hospital a torto e a direito, e o trânsito da hora do rush a todo vapor lá embaixo. Eles vão compor músicas sobre esse dia, cara.
188|É... como eu disse, não é um problema no mundo. A bebida me ajudou a me livrar do medo de altura, mas, sinceramente, foi por estar com você que me senti como se não tivesse nenhuma preocupação no mundo. Estou com essa mesma sensação agora também. Puta merda, foi demais?
188.1|É... como eu disse, sem nenhuma preocupação no mundo. A bebida me ajudou a me livrar do medo de altura, mas, sinceramente, foi por estar com você que me senti como se não tivesse nenhuma preocupação no mundo. E apesar de tudo o que aconteceu hoje à noite, agora... Acho que estou recuperando essa sensação. Puta merda, foi demais?
188.2|Não é mesmo, seu esquecido de merda? Não, não estou brincando, cara. Você tem razão, as coisas eram mais simples antigamente. Mas agora tenho mais maneiras de manter as coisas frescas, sabe? Tipo meu medo de altura. Cerveja ajudou com isso, claro, mas, sinceramente, ficar com você aliviou ainda mais a tensão. Não tem muita coisa que me dá essa sensação, sabe? Ah, merda, foi demais?
189|Ah, é, desculpa, você sabe como eu fico quando bebo um pouco. Todo emotivo e tudo mais. Enfim, eu sou um idiota do caralho. Heh. Só, uh, vou socializar um pouco, mas me encontre mais tarde.
190|Só, sabe, essas memórias são como eu me lembro de você. Gosto de pensar nelas. Ah, vou ficar por aí um pouco, contar para os outros o que está acontecendo. Ainda temos tempo para relaxar hoje à noite.
191|Oh-ho-hoooo. Quer ficar de igual para igual com a maior arma do Oeste, é? Meu nome é Derek, e mijar... é o meu jogo. Você está dentro.
192|Hah, huh, cara do Chale. Você se esforçou muito nisso, e agora está tudo espalhado. Respeito! É... difícil dizer quem é o vencedor, na minha opinião... talvez se nós dois ficarmos bravos com o Patrick! Mas vou te dizer uma coisa, essa foi uma ótima segunda rodada! rsrs! Cara, vamos sair daqui antes que as pessoas comecem a verificar a previsão do tempo. Venha me encontrar logo e tomar mais cerveja!
192.1|Ha! Eu sabia que você ia reclamar, de um jeito ou de outro. Eu não deveria estar surpreso. Eu ganhei naquela época, e não estou surpreso... aqui estamos! Ha, merda, sim! Tudo bem, eu tenho que sair desse telhado maldito. Perdedor da paz. Venha me encontrar daqui a pouco e tomar mais cerveja!
193|E aí, vamos com tudo? Certo! Como a gente costumava fazer no Lago Whackatitty. Eu tô dentro... e agora é a sua vez. Estacione essa bunda, cara!
193.1|Você já ficou pelado ou algo assim? Sem pressão, mas você tem que aprender a relaxar, cara. Ficar pelado até o fim! Por mim, o que você me diz?
193.2|O quê? Você acha que ir pro Monty seria muito estranho depois do Madison? Já superei esse cara, não se preocupe. Agora, vamos lá, ficar pelado até o fim!
193.3|O quê? Você acha que ir pro Monty seria muito estranho depois do Madison? Já superei esse cara, não se preocupe. Agora, vamos lá, ficar pelado até o fim!
194|E aí, mano? Você assistiu ao jogo ontem à noite? Eu não assisti porque estava transando com essa mina. Enfim, você quer colocar o papo em dia tomando umas cervejas?
194.1|Aí está! Tem mais uma rodada pra gente? Cara, você vai me deixar bêbado. Mas esse é o seu plano, certo?
194.2|Ah, já passou daquela hora de novo? Não sei, cara... você tem sido meio imprevisível quando se trata de lembrar o que considero alguns dos melhores momentos que passamos juntos.
194.3|Mais uma cerveja. Nem sei se vale a pena, cara. Me sinto como se estivesse em um daqueles filmes em que alienígenas descem e substituem meu amigo por um clone que fica tentando enfiar coisas no meu rabo. Pela ciência. Mas talvez também por diversão.
195|Hã, nada. Eu só estava tentando enfatizar que somos dois irmãos fazendo coisas de mano. Enfim, vem dar uma olhada nessa coisa na garagem, você vai curtir.
195.1|Adorei. Ei, quero te mostrar uma coisa, amor. Sei que você vai curtir. Vamos, me siga até a garagem.
195.2|Então tá. Depressa, pra garagem! Tem uma coisa que você precisa ver.
195.3|Ok, videira de cavidades que rouba corpos. Vamos lá, tem uma coisa que eu quero te mostrar na garagem.
196|Eu tinha que te mostrar esse cara. Eu sei, eu sei, a mesa de beer pong em Madison está sem alguém do seu tamanho, o Deus das Bolas em pessoa. Esse foi mesmo o melhor apelido que você conseguiu inventar?
196.1|Bem? Deixa eu adivinhar, isso não te lembra nada? Bolas também não te lembram nada? Homem do Beer Pong! Você não se lembra, costumavam te chamar de Deus das Bolas. Só Deus sabe por que você escolheu esse apelido.
197|De qualquer forma, até HOJE, eu me lembro de cada copo daquele último jogo que você teve contra o chique Andy na festa anual da White Trash. Você estava perdendo por 6 copos e o Andy estava arrasando. Se você não tivesse acertado o arremesso do século, estaria perdido e, em termos de ensino médio, sua vida teria acabado. Porque era com esse tipo de coisa que a gente se importava naquela época. E com tudo em jogo... cara, o que você fez?
198|Você até esqueceu da noite mais monumental da sua carreira no ensino médio. Não acredito nisso.
199|O copo secreto escondido na multidão, bem no meio do par de peitos mais magnífico que eu já vi! Era o vencedor sem contestação e ninguém esperava! Foi como o Jogo 7 do campeonato da NBA, mas em vez de uma bola de basquete e uma cesta, era uma bola de pingue-pongue e um grande rack! Momento mágico, cara. Pura magia.
200|Desculpas, desculpas, cara! Você estragou tudo hoje à noite, cara! Todas essas histórias... é como se você nem se lembrasse do ensino médio!
200.1|Talvez seja a única coisa em que você seja bom, porque senão você está ferrado hoje à noite, cara. O resto dessas histórias... é quase como se você não se lembrasse do ensino médio!
201|Eu queria muito que essas histórias estivessem tão frescas na sua cabeça quanto estão na minha. Mas enfim, cara, tudo bem, eu acho. Ok, me atualiza de qualquer forma. Tenho uma última história, e você e eu somos as únicas almas no mundo inteiro que a conhecem. Vá buscar mais cervejas e me encontre depois, Deus das Bolas.
201.1|Na verdade, é o seu primeiro erro. Eu deveria estar mais impressionado, considerando todas aquelas bolas de beisebol que você levou na cabeça no passado. Desculpe se exagerei antes, só... Espero que essas histórias signifiquem tanto para você quanto significam para mim. VOCÊ significa muito para mim, sabe disso, certo?
201.2|Há, é, você está indo bem. Considerando tudo, quero dizer. Eu tinha medo de que, depois de levar todas aquelas bolas de beisebol na cabeça, você ficasse como aquele Capitão mudo de Star Twat que precisava usar uma cadeira de rodas enorme, tipo pulmão de aço, para se locomover. Mas, com fraturas no crânio ou não, você se recuperou, cara! Mais do que bem, na verdade! Você significa muito para mim, cara, e é uma boa mudança em relação ao normal: recuperar alguns desses sentimentos, sabe?
201.3|Nunca mais vou duvidar de você sobre isso, meu amigo. Cara, eu acho que você é um milagre da medicina. Correram boatos de que, depois de levar todas aquelas bolas de beisebol na cabeça, você ficaria como aquele Capitão mudo de Star Twat que precisava usar uma cadeira de rodas enorme, tipo pulmão de aço, para se locomover. Mas, com fraturas no crânio ou não, você se recuperou, cara! Mais do que bem, na verdade! Você significa muito para mim, cara, e é uma boa mudança em relação ao normal: recuperar alguns desses sentimentos, sabe?
201.4|Na verdade, é o seu primeiro erro. Não se preocupe, não duvido de você. Cara, acho que você é um milagre da medicina. Correram boatos de que depois de levar todas aquelas bolas de beisebol na cabeça, você ficaria como aquele capitão mudo do Star Twat que precisava usar uma cadeira de rodas enorme, parecida com um pulmão de aço, para se locomover. Mas, com fraturas no crânio ou não, você se saiu bem, cara! Mais do que bem, na verdade... você significa muito para mim, cara, e é uma boa mudança do normal: recuperar alguns desses sentimentos, sabe?
202|Sem mais chances, cara. Sem mais chances. Vou dar um jeito de fazer você se lembrar. Vou dar um jeito de provar que você é o amigo de quem eu me lembro.
203|Que porra você disse!
204|Sabe de uma coisa? Cansei de tentar argumentar com você. Se você não é meu amigo de longa data, por que apareceu? Bebendo cerveja quente e olhando para os peitos da minha amiga? Você encontra peitos online, seu idiota! Vai se foder.
205|É, é, você tem razão. Deixe essa língua velha começar a bater antes que minha cabeça pare de pensar. Tenho uma última história, e você e eu somos as únicas almas no mundo inteiro que sabem sobre ela. Venha me encontrar um pouco. Não se esqueça das cervejas!
206|Sabe, tem outra lembrança que tenho de muito tempo atrás. No verão depois da formatura, você e eu bebemos demais, talvez tenhamos nos beijado ou não...
206.1|Ah, uh... então é assim? Não me entenda mal, cara, estou lisonjeado, mas não era isso que eu queria. Enfim, está tudo bem. Vou explorar um pouco o que está acontecendo com meus amigos, mas tenho uma última história, e você e eu somos as únicas almas no mundo inteiro que sabem sobre ela. Venha me encontrar um pouco. Não se esqueça das cervejas.
207|Me deixe em paz... Vou tentar mais uma vez. Porque eu bebo demais, claro.
208|É, foi tão bom quanto eu me lembrava. Escute, vou dar uma volta, clarear a mente. Mas tenho uma última história, e você e eu somos as únicas almas no mundo inteiro que a conhecem. Venha me encontrar um pouco. Não se esqueça das cervejas.
209|Ei, tudo bem! Então, você quer se juntar a mim... em algum lugar privado? Nem vou tentar ser esperto sobre o "porquê" ou o "onde", só quero que você fique sozinho em algum lugar.
209.1|Ah, aí está. Legal, legal, cara. Então, uh... você acha que podemos conversar? Tenho algumas coisas para você.
210|Tudo bem... me encontre na lavanderia em breve, ok? Até breve...
210.1|Tudo bem, vamos nos afastar de toda essa gente. A lavanderia deve estar funcionando; ninguém entra lá. Até breve...
211|Vou direto ao ponto. Você está me sentindo como antes.
211.1|Vou direto ao ponto: esqueci o drama da Madison de mais cedo, e espero que você também tenha. Porque apesar de tudo isso... Eu sei que você está me sentindo como quando voltou.
211.2|Olha, vou ser sincero com você: achei que você estava me sentindo, depois achei que não, e agora não tenho tanta certeza de como me sinto, sabe? Tipo, eu sei que ainda estou interessado em você, mas... nossa, você é frustrante! Como vai me enganar desse jeito? A gente cresceu agora, não precisa ser como era naquela época.
211.3|Olha, preciso ser sincero com você, bem, não...
212|Vamos lá, cara, verão depois do último ano, acampando no Lago Whackatitty, você e eu... nos conhecendo de verdade. Nada como a gente já fez antes.
213|Você vai me fazer dizer isso, né? A gente se apaixonou como eu nunca me apaixonei antes. Eu sei, eu sei, a gente não foi até o fim, mas sabe, aconteceu uma coisa naquela época, e foi de verdade. E estou sendo realista quando digo: está na hora de tentarmos de novo, só que dessa vez, até o fim.
213.1|Você vai me fazer dizer isso, né? Nós caímos como eu nunca caí antes. Eu sei, eu sei, nós não caímos até o fim, mas você sabe que algo aconteceu naquela época, e foi real. Agora, só por causa do seu jeito desleixado, eu não quero ir até Cojepueblo, mas nós deveríamos... nós deveríamos reviver essas memórias um pouco mais. Talvez em torno de algumas bases, sabe?
214|Cara, estamos mesmo fazendo isso? Nós nunca, você sabe, fomos até o fim da última vez. Nós...
215|Vamos com calma. Eu não quero ir até o fim. Só tira a calça e me deixa fazer o que eu faço.
216|Só me diz o que fazer...
216.1|Sou todo seu... o que você quer que eu faça?
216.2|Caramba, mano, você tá escaneando igual um artista E guardando essa carga? Merda, seu jogo de preparação de conexão está PERFEITO!
217|Isso foi quente pra caralho. Foda-se o Lago Whackatitty, é sobre a lavanderia da casa da Madison! Eu... Nossa, cara... Eu tô a fim disso. Se quiser relembrar de novo, me avise.
217.1|Isso foi quente pra caralho. Foda-se o Lago Whackatitty, é sobre a lavanderia da casa da Madison! Caramba, agora me sinto muito mal por ficar entre você e a Madison... esse é o amor que todo mundo merece. Ugh, que bom... se quiser relembrar de novo, é só me avisar.
217.2|Nada mal, mesmo comparado ao Lago Whackatitty, né? Argh, que merda... se você quiser "andar pela estrada da memória" de novo, é só me avisar.
218|Ei, espera aí! Eu vi você correndo por aí hoje à noite, colocando suas mãos imundas em todo tipo de coisa para fazer do seu pinguim... um filho da puta. Eu tenho que, hum, te revistar, garantir que você não roubou nada. Ha! Chaves! E eu... eu sei que estas não são suas porque... hum... foda-se, eu vou ficar com elas. Olha, Madison, eu tenho uma nova obra de arte! Eu a chamo de... "Foda-se os Pinguins: O Mestre da Porta Está Chegando."
218.1|Olha, Madison, eu tenho uma nova obra de arte! Eu estava tentando pensar em maneiras de te manter segura, sabe, sim, como um verdadeiro HOMEM PERFEITO, e vi que alguém tinha deixado as chaves onde qualquer um poderia pegá-las. Arte, segurança e MASCULINIDADE, tudo combinado! Então, eu te dou: "Foda-se os Pinguins: O Mestre da Porta Está Chegando."
218.1|Olha, Madison, eu tenho uma nova obra de arte! Eu estava tentando pensar em maneiras de te manter segura, sabe, sim, como um HOMEM PERFEITO, e vi que alguém tinha deixado as chaves onde qualquer um poderia pegá-las. Arte, segurança e MASCULINIDADE, tudo combinado! Então, eu te dou: "Foda-se os Pinguins: O Mestre da Porta Está Chegando."
