[General]
Name|Arin
BGC42|Sem uso
BGC43|É, e mesmo sem ter uma irmã, consigo me imaginar me incendiando! Então, por favor, pare.
BGC44|Você está brincando comigo, né? Esses são os itens que você precisa conseguir em uma caça ao tesouro de irmandade? Isso é besteira de liga de base! Cadê o animal vivo? Ou a lápide de um político local?
BGC45|Certo, rapazes, vamos tentar manter essa briga limpa. Vocês ainda são garotos de classe, então nada de flanquear, nada de dar uma manivela, nada de palmadas e NADA de se masturbar. Só quero ver socos na cara, ok?
BGC46|Então, Madison, entendi que você também é, ah... uma artista. Talvez uma colaboração seja boa. Talvez eu pose para você, você pose para mim, isso... isso não é nada nojento.
BGC47|Nossa, uh, vamos nunca mais nos falar.
BGC48|Aranha-Sem-Chet. Lembra? Ele não é o Chet... SEU IDIOTA!
BGC49|Senhoras, senhoras, SENHORAS! Escutem, o Dan e eu não somos estranhos a brigas entre irmãos.
BGC50|Então acredite em nós quando dizemos: essa merdinha te incendiou de verdade?... Desculpe, não vale a pena. Vocês já deveriam se AMAR.
BGC51|Irmãs são amigas que têm o mesmo sangue, irmãos são amigos que têm o mesmo sangue, irmãos e irmãs.
BGC52|-ah estão se distanciando.
BGC53|Ah, estou vendo um cara NutBuster, só uma gíria da Blockbuster que você provavelmente entende porque trabalhou lá. Tá bom, tá bom, tá bom. É uma coincidência você estar aqui, nessa festa que encontramos por acaso, eu não quero estar.
BGC54|Que tal uma foto antes de acordarmos, Katherine? Katherooni Kat-man-du.
BGC55|Levanta, não-Chet! Tem trabalho a ser feito!
BGC56|Não me importo com os tornozelos de vidro dele, eu tenho JOELHOS RUINS para esse filho da puta!
BGC57|O que você está fazendo aqui? Se escondendo no escuro como uma espécie de... homem-sombra.
BGC58|Ei, não, o Chet tem BOM GOSTO. Que tipo de sucesso você tem guardado para nós, moleque?
BGC59|Qual o problema com isso? Minhas mordidas são todas Shnibbity-ba.
BGC60|Ah, você vai esquentar seus filés perto da fogueira, moleque? É, pode falar. É, não é como se eu e o Dan precisássemos da sua ajuda para tirar essa MERDA daqui!
BGC61|Dan, o moleque está roubando coisas! O moleque está roubando coisas!
BGC62|É, é, é, é isso, é, isso explica. Quando foi a última vez que você roubou alguma coisa de uma festa e ficou tipo "Vou devolver para o moleque, Timmy!"
BGC63|Vamos lá, Dan, vamos matar esse cara!
BGC64|Não, não, o 10-Minute Power Hour é um programa que fazemos no nosso canal. É divertido, descontraído e muito inocente, e não tem nada a ver com enfiar cocaína no meu cu. Que você, o que você disse que era. Não é!
BGC65|Tenho que dizer, você é uma moça adorável. Talvez esteja pensando demais nessa coisa de peitões. Sério, por que você não vem dançar? Quer dar uma dançadinha, Brittney?
BGC66|Bem, acho que vamos só trazer a diversão. Dan, dance um pouco para a Brittney.
BGC67|DAN!
BGC68|Dan, é fácil, basta dobrar os joelhos até o bumbum tocar o chão, depois saltar como uma fênix das cinzas e se impulsionar para frente com várias estocadas na virilha. Se você conseguir dar uma cambalhota incrível em algum lugar, melhor ainda, então é só passar a bunda por cima dessa cerca, por favor.
BGC69|Droga! Obviamente nenhum de vocês conheceu a Flórida, porque eu nasci com esse talento para pular cercas. Está no meu sangue. Agora voltem para o filho da puta!
BGC70|Bati com a cara na cerca e agora minhas narinas estão cheias de brotos.
BGC71|Com Jimmies?
BGC72|É, tá, eu acho. Essa coisa toda de cobra no pescoço é meio cansativa, não acha? Quando um artista de verdade vai aparecer e fazer Gangnam Style? Isso vai agitar as coisas.
BGC73|Ei, ei, ei! Isso não vai mais acontecer! Guarde essas coisas, Katherine. Elas são muito bonitas, mas, por favor, guarde-as.
BGC74|Meu Deus... você já participou do concurso de Maior Fã do Game Grumps mais de uma dúzia de vezes!
BGC75|Isso mesmo, e quando chegarmos onde precisamos, estaremos todos lá, e será o fim!
BGC76|Humm, com licença, quem está fazendo uma bebida quente que já foi deixada de lado? Você sabe o quão perigoso isso é?
BGC77|Adivinha? Só tem uma resposta, e é "UMA BOMBA INCENDIÁRIA!" Isso é risco de incêndio, pessoal, e eu vou pedir um lenço agora mesmo porque todos deveriam ser protegidos pela lei. Então, alguém me dê um telefone para eu ligar... para o corpo de bombeiros. Me dê um telefone, por favor.
BGC78|Ei, Dan, olha só! É como um sabre de luz... mas é um pau!
BGC79|Sinta o poder do lado negro...
BGC80|Estou voltando para casa! De volta para casa, sim!
BGC81|Jogue mais No-Chet! Mais mini bombas de banho!
BGC82|Okayyy.
BGC83|Na verdade, sim, essa fumaça é bem atraente. Me sinto melhor com essa situação terrível POR UM SEGUNDO!
BGC84|O que, uhh, o que estamos fazendo com essas pequenas bombas de banho Starbomb? Porque, uh, tenho que admitir que estou me sentindo MUITO ALOOOOOO!
BGC85|Futuro Dan, é tão fácil de ver: estamos com dor de cabeça para dar uma volta, mas o mais importante, estamos exalando os vapores de mercadorias defeituosas, alguma merda que teria piorado seu banho.
BGC86|Daniel, então vamos dar uma olhada! Vamos voltar para nossas belezas e nosso Ninja Brian e reunir nossa ordem sagrada NO BJ SCOOTERS TABLETOP GAMING E BUFFET. Starbomb, Game Grumps, Fart-holes, Arin, Dan, Ninja Brian, liberdade e cachorros... e Nintendo!
BGC87|Oi, eu sou o Grump!
BGC88|E nós somos os Game Grumps! E estamos AQUI FORA! Haha, é!
BGC89|Tchau, No-Chet! Nós te amamos!
BGC90|Estou jogando alguma coisa!
BGC91|Ha! Roubar essa bebida é legal! Agora ele nunca mais vai beber álcool pelo resto da vida.
BGC92|Dan, não quero duvidar de você, mas você com certeza sabia muito sobre essa coisa de RV sem ter aprendido essa informação em encontros anteriores com No-Chet ou os outros participantes desta festa.
BGC93|Hã... eu já te perguntei se você gosta de empanadas? Acho que deveríamos comer empanadas juntos algum dia, porque o escritor disse isso.
BGC94|*BUFFLE* Puh puh puh! Puh! Puh puh! PLEGH! SPLT! Ugh, isso é muita cusparada...
BGC95|E se vai haver uma revolta em nosso nome, com certeza é melhor eu acreditar no Dan, e eu quero VER ESSA MERDA. RÁPIDO, NÃO-CHET! ENCONTRE O BLOQUEADOR DE SINAL!
BGC96|Quando foi isso?
BGC97|Olha, eu sou um careca grandão e grito com as pessoas por diversão. Estou com cheiro de desodorante e vergonha! Cala a boca! Cala a boca você.
BGC98|Ah, tudo bem, uma piada sobre a minha sexualidade. Você é um cara bem previsível. Senta aí e CALA A BOCA, seu idiota lindo. Você é tão lindo.
BGC99|E pra você eu digo: Foda-se. Dan, vem comigo!
BGC100|Na hora, jovem Daniel. Mas primeiro, precisamos roubar álcool daquele homem. MALDITO DO SR. FAXINEIRO.
BGC101|Você sabe o que fazer, Dan.
BGC102|Bom garoto.
BGC103|Ele quebrou o código sagrado do P-Club! Proibido tocar e, com certeza, sem estourar! Vou banir o Franklin de todos os eventos relacionados ao P-Club! Dan, qual é!
BGC104|Não machuque meu doce menino!
BGC105|Dan! Dan! Levanta! Eu não consigo encarar as Lovelies sozinha!
BGC106|Ei, que diabos? Não é assim que se faz amigos, você deveria fazer perguntas sobre os sentimentos deles.
BGC107|MINHAS CÓRNEAS! MINHAS CÓRNEAS!
BGC108|Ah, sim, chupando aquele sabre de luz. Rasgando umas nuvens...
BGC109|Podia ter umas vozes legais, mano! Até mais!
BGC110|Parece que você errou e não seguiu o caminho certo com todas as piadas engraçadas. rsrs! Até mais!
BGC111|É, eu também, diz o roteiro!
BGC112|Dan... assume a posição.
BGC113|UH HUH UH HUH UH HUH...
BGC114|Ei, uhhh-uh, QUE CASACO BONITO!
BGC115|É, desculpa... isso é muito estranho para nós dois, para ser sincero.
BGC116|Você sabe onde fica o banheiro? Preciso cagar!
BGC117|Podemos dizer isso? ...podemos dizer.
BGC118|Oooooohhhh!
BGC119|Oooh!
BGC120|MmmmmMMMM...que tipo de carro o Boba Fett dirige? ...UM MANDALORIANO! Mmmm...Piada hilária!
BGC121|Já estou perdido nessa porra de casa...
BGC122|Meus joelhos estão fracos!
BGC123|Ele parece o T-1000 do Exterminador do Futuro 2!
BGC124|Talvez eu pose para você, você posa para mim? Isso... não é nada nojento.
BGC125|Você não tem um pênis?
BGC126|Pare, não me toque.
BGC127|Estou tão ferrado!
BGC128|Meu terapeuta me disse para estabelecer limites, e este é o meu, agora mesmo.
BGC129|DOO DOO DOOO, DOOOOO DO-DO-DOOO... DOO DOOO, DOOOOO DO-DO-DOOO... Eu amo essa música. E-eu amo-eu amo essa-eu amo essa música, cara... Eu amo...
BGC130|Espada legal!
BGC131|Ei, você sabe onde fica o banheiro? UH OH!
BGC132|Este terreno é grande.
BGC133|Me dá um beijinho na bochecha. Me dá um beijinho na bochecha.
BGC134|Cara, para... Tô fazendo alguma coisa!
BGC135|Dan, calma! Está ficando quente aqui dentro agora!
BGC136|Hehe... hahaha!
BGC137|Estamos sempre juntos?
BGC138|Ah, você tá brincando, né? ... EU SABIA que você era minha alma gêmea!
BGC139|FODA SUA MÃE Peraí, o quê? Meu Deus! Foda-se!
BGC140|Todo mundo na festa é fã do Game Grumps?
BGC141|Quando um artista de verdade vai aparecer e fazer Gangnam Style?
BGC142|Sabe... Op... Oppan Gangnam Style!
BGC143|É isso que eu tô dizendo...
BGC144|Ei, cara, boca é boca!
BGC145|Você viu aquele dedo de espuma, Dan?
BGC146|O que você disse sobre bundas?
BGC147|Quer dizer, você realmente não pode negar isso.
BGC148|Ah, é claro, mal posso esperar para ganhar um colete com alguns patches.
BGC149|Cala a boca! Da-ACHOO! ... Dan, vem comigo.
BGC150|Como vai, amigo? COMO VAI FICAR BOM?! Eu sou um idiota! VOCÊ QUER UM ALCOOL? BEM, É UMA PENA, PORQUE EU SOU UM GRANDE IDIOTA DE MENINO HUMANO!
BGC151|É, aí está... oh! OH! OH! Bem na CARA!
BGC152|PISE NO FREIO!
BGC153|Frank, pare! PARE COM ISSO! PARE.
BGC154|...Não, não, não, não, não, não, não...Eu amo Indiana Jones!
BGC155|Uau! Ok... hum, tchau.
BGC156|Eu nasci com esse talento para pular obstáculos! Está no meu sangue. Agora me dê um espaço, porra!
BGC157|Aranha-SEM-CHET. Lembra? Sem Chet... IDIOTA!
