[General]
A Dildo|Um vibrador
134a8ada-f60a-44bc-908b-4c5fee72aa83|Você libertou sua fúria interior! Seu dano e regeneração de energia aumentaram significativamente, assim como um pouco da sua resistência, permitindo que você receba mais alguns golpes. Mas quem precisa de resistência quando se pode CHUTE? *Clique quando estiver pronto para passar para a próxima mensagem*
13bcf145-a5a2-49c8-a256-6c1bad1782cd|Isso vai consertar os rasgos perto dos mamilos, mas a fantasia ainda está muito suja. Precisa ser lavada primeiro.
13e74f7d-dd56-4061-a113-90d45d6ed4e1|Uma lata de tinta spray... talvez se eu estiver entediado eu possa fazer uma pichação, talvez para expressar minha frustração com a atual situação geopolítica... Ah, é vermelho! Minha cor favorita! Oba!
14466344-03dc-43fc-9990-5192451de448|Escapar da morte aumentou sua resistência em combate!
14f4ea40-4263-42ec-a847-3c06087914ad|Resmungos são um negócio que inclui tudo, é melhor esperar até que aquele que fala demais sobre o Sonic termine o que estiver fazendo.
15483f81-72ce-44c4-9edd-2eda9eb05a86|Acho que o Derek vai me defender... mas vou colocá-lo de volta onde está para evitar que o Frank perca completamente a cabeça.
1557a85e-82cc-4211-a3a1-75b3e00c325c|Uau! Lembrete: tudo o que acaba lá dentro está perdido para sempre. Isso não é bom...
1570fb07-2aa6-4d0e-b2fb-684e3b2c0706|*Verifique se ele ainda está vivo...* Sim, ele ainda está conosco.
15e81ef7-331b-476f-96fa-b4eeef76600f|Quem é essa estranha misteriosa e por que ela invadiu a casa dele como se estivesse lá?
162fb960-541d-4121-9228-421c93279079|Brittney parece muito mais feliz depois de convencê-la a descer. Ela é a alma da festa agora...
1731d4b6-caa2-47ae-beeb-62fcb99f496c|Brittney não está mais tão sozinha. Nossa! Será que tem espaço para um terceiro...
177e30fa-2c8f-4ea4-9ed0-3ec7f4e39833|Você interagiu com um objeto! Você está indo longe! Usando este menu radial, você pode examinar um objeto para obter mais informações e, às vezes, até pistas. Você também pode colocar um item no seu inventário (padrão I), usá-lo com um item do seu inventário e, em alguns casos... fazer coisas supersecretas!
178e52d3-5d54-4bd9-a4a5-7000bdaa5783|Legal, parece um daqueles adaptadores para tocar música ou até vídeos em outros dispositivos. Valeu, ciência!
17b60899-3784-4d5e-a6b5-ad13d510ab3a|Ah, esta sala me dá muito o que pensar... Mas é um bom ateliê.
17c3fbfd-fe32-4430-a7cf-c6f6bf156392|Ugh, é maionese light. Por que ela existe?
17ddc3e8-dcc0-42eb-8f16-6894ef9e4bd4|Ótimo, mano! Você acabou de ganhar um item com uma habilidade especial! Ou... nada especial. Depende de quem você perguntar. Interaja com isso clicando em "fumar" enquanto estiver perto e na frente de alguém. A pessoa na sua frente pode ter uma reação útil! Ou não. Mas quem se importa? Vai!
184c2909-812e-4e3a-9346-0b54cf87cf13|Você encheu o copo com água. Vai!
191f3536-8a3a-4f4c-94e7-f47ea5360265|Já está melhor, o pequeno!
19678cd5-e2e8-462f-9658-36acf435a269|Lety está explorando estereótipos... sim. Uma exploração bem aprofundada, de fato. Agora... como posso participar dessa exploração?
1981fa56-fa15-45c7-9ffa-5f48186470d8|Steph está indo rápido demais para falar.
19a7a370-d451-486d-9bf8-c2bb30538add|*Nota do desenvolvedor: Finja que a saída de ar caiu e o jogador pegou o bilhete de lá.*
19bc342a-6b73-4a3f-bd8a-be2705269c0c|É o celular da Katherine.
19f3ebef-4d11-485a-8bb6-5164a7d36dcf|Devo verificar se o MP3 da Doja Cat está conectado antes de mandá-la para cá.
1a35017f-036c-430f-a7ea-1133b7e9d47b|Hmm... está pedindo minha senha. Parece que vou ter que hackear ou adivinhar...
1a707cad-3f3a-43fa-bf96-d0672c4b170c|É uma pintura de um pássaro parecido com uma coruja voando. Pelo menos, acho que é isso.
1a981fad-ad70-4c9b-8910-c0e8476f807d|A Lety está ocupada. Ocupada demais para mim.
1ae08107-db6c-4bbb-9309-c640b7cd1e3c|Eeeeee... Entendi! Aqui está!
1aec31fc-970c-45fb-8852-1fbc291badeb|( . Y . )
1b0dce0f-b8d1-4a9b-9121-cafd14735127|É um pedaço de papel que parece ter sido arrancado de um bloco de notas.
1b22cbd8-013a-42f4-911d-862f2a7fcbc1|Você realmente se ferrou. Agora está pelado!
1b31f66b-998e-4dce-9194-b5591d7c82af|Te peguei!
1b3ee65e-cbdb-4194-bd2e-e66e05b13a70|Derek: Alto, musculoso e meio babaca quando se trata de competição.
1b7e52c9-e79b-431e-8831-a85e247f1b0a|É para martelar coisas.
1b7eafcb-8dd6-4d4a-bb30-10d60d1e918d|Arin parece distraído. É melhor deixá-lo em paz até o apagão acabar.
1bf2f5d2-866d-49f2-a19a-5edab90ab60f|Nossa! Sai daqui, poção do diabo! Merda... ainda sobrou um pouco. Talvez não tenha sido uma boa ideia. Ah, bom... você sente que poderia bater um pouco mais forte... ótimo!
1c418efd-828d-4b13-b7b9-bb784e76c6ab|Esta é a solução para muitos problemas da vida.
1c8d5fd9-200c-43e6-a2f6-4cfe1c150b33|Uma cadeira para ele sentar, uma cadeira para ele se apoiar; uma cadeira para ele descansar. Por que a voz do Christopher Lee está ecoando na minha cabeça?
1d2a8b0e-daa5-47ca-81e0-dfc1974967b8|Ei! Uma barra de chocolate DELÍCIA! Minha favorita! O melhor chocolate de todos os tempos!
1d34ec1b-803c-4fb5-bc82-924ede8e1d50|Por mais que eu queira interromper, preciso de uma ideia melhor do que ficar reclamando: "Não é justo! Não é justo!"
1d4d4fae-ebc8-4f23-8ca7-1bbf58dae48a|É o celular do Patrick.
1d8079a0-f33f-4f65-a6f8-144721795945|Quanto mais admiro essa coisa, mais penso que poderia usá-la como escultura, desde que ninguém me incomode para carregá-la. Eu deveria perguntar aos outros o que é.
1d8ce273-8963-4bb9-be3b-c6b4a0072414|Essa coisa é um tijolo. É pesada e comporta muitas músicas. Talvez haja alguma coisa que ainda não foi lançada...
1da2f0ab-a1eb-4d3d-98e4-9a3129a63208|Nada acontece.
1da991b0-5d33-427c-a11f-5f17c5f717be|Vamos em frente! Os controles básicos do House Party são (por padrão): "w", "a", "s", "d" para se mover; clique com o botão esquerdo para interagir com coisas ou selecionar opções; clique com o botão direito para pegar itens à sua frente; segure Shift direito para correr; tecla "c" para agachar; e barra de espaço para lutar. Até agora, tudo bem...
1e66ae4d-2c6f-41f4-a8e2-9ca67e97a7d7|Nossa, às vezes tenho ótimas ideias. Esse plexiglass ficou ótimo!
1e6bfdc7-4f4b-4905-b07f-9ff8706cea81|Provavelmente preciso da Liz aqui antes de começar a investigar, certo?
1e9617de-b850-4c17-9707-178550d03c71|É melhor eu terminar com a mala/coisa do bairro/sei lá do Patrick. Acho que estamos quase lá.
1edca124-965b-4515-8d6b-3000c0062106|Ahh... Refrescante!
1fa5a069-0979-4eb6-9193-24cb41983196|Está escrito no rosto dela que ela não quer ser incomodada. Talvez eu tente conversar com ela mais tarde.
1fc86d49-87af-4b50-9c7b-72428d755179|Você colocou a fantasia do Dinolicious na secadora.
2007e871-86dc-4203-9237-463c3a01f62b|Hmm. Provavelmente é uma má ideia agora. Aliás, a Ashley queria me comer? Acho que ela fez algumas insinuações sujas... alguns duplos sentidos sexuais...
2035c56a-6c9b-4c5f-9c81-6f0e98e0a4f4|Normalmente, você abaixa as calças e a cueca primeiro. Sentado em um vaso sanitário. Cagar nas calças não parece a melhor maneira de fazer amigos ou ficar bem. Se esse é o meu objetivo, posso muito bem tomar um laxante.
20aedfe6-54df-45e8-9318-64694aa0ec17|Puta merda... é tão mastigável! É o pior chá de pérolas que já tomei.
20d3a3b8-da2e-47e2-bf66-a0eabfbc6865|Nossa, que refrescante! Não consigo imaginar um uso melhor para esta deliciosa água com açúcar!
2181a924-1b47-49cb-bce3-25f3b5c005b7|Então, tire a camisa, a festa está ficando intensa, você se sente derretendo, o ar está muito denso. Se quer um conselho, comece a se despir, quebrei alguma coisa, descubra o que é ou continue. Suar!
21e229c1-d390-42e9-b7de-86f151320fd4|Ah é, porra, vamos começar essa loucura!
22d32730-22b0-4aac-b752-7b1cd2364e8e|Escapar da morte aumentou sua resistência de combate!
22dbfce9-2bcd-407e-b701-0c936e33da29|Hmmm, talvez eu consiga abrir a fechadura com um soco? Vou dar um bom gancho agora.
23594c74-1fb6-482f-9789-4ad99ccce08a|Vamos ver o rótulo... "Carisma +1, Sexo +2, Efeito UAU +1, Ciclo Médio, Agite Forte para Secar, para Homens e Mulheres..." Uau. Que recursos! Que estilo!
238320e9-1d5a-49b1-a167-45d9809cdb1d|Hmm. Acho que está funcionando agora, mas não quero que exploda na minha cara. Melhor esperar a Katherine confirmar.
23a70934-9acb-43a0-a35f-abc761f71b07|É estranho que tenha um drone e um MP3 player nesta festa. Você pode me lembrar em que ano estamos?
23fd3156-8416-47d3-973d-268b94fb9606|Meu Deus, por favor, me diga que a Madison não curte essa moda de "alimentação orgânica". Mas se ela gosta de orgânicos, posso pensar em algo 100% natural que ela possa saborear direto da fazenda...
246ebb03-dbd7-4ea7-a960-3bbae2d8b640|Aqui, pinguim, aqui vai uma coisa para você ler.
2477e1f6-3ce7-4cbf-bf1b-1d36a03bce4d|Mesmo na morte, a diversão nunca acaba. Onde quer que eu esteja, posso transar com umas mulheres bonitas. Uma festa para mim no meu quarto escondido, uma realidade virtual, entrar vai ser difícil!
253817e2-9960-46b9-bf7d-44311cde84dd|É a Leah, a aluna de artes marciais incrível do Frank. Tenho a sensação de que ela nunca mais vai se meter entre mim e o álcool.
254e60d1-6f0f-4582-9614-1a898a54257b|Como você deve ter adivinhado, a Katherine está te ignorando. Você a ouviu murmurar algo como "eles deveriam castrar todos eles". Ah, a boa e velha Katherine.
258dcabc-b11b-454b-8eca-5c84dc65fe26|SEM NOVAS MENSAGENS DE VOZ
25980de3-23bb-4655-bb83-d2e6831dc7a2|Legal. O chão está macio o suficiente para colocar esta vassoura. Mas não sei por que fiz isso...
25b3d02a-0483-4eca-9c52-7cdaefd791bb|Ah, não, deixei a cabeça do Patrick no micro-ondas tempo demais! Vai explodir!
26392236-1bad-4165-9f39-59788bfb1e60|Eu nunca gostei do sabor do rum.
263c885d-4818-4033-a444-3e20db84ee76|Stephanie só precisa de um...
26de54ec-5375-4578-8ce7-90b4a527536e|Compibro suspira de prazer.
2733ecde-340c-4e50-aaae-361b540a9526|Posso pensar em algumas pessoas aqui que lamberiam isso!
278939f9-2837-4520-b091-d4da7867f1a2|Há maldade neste martelo.
27d80e1b-b572-4a54-a2bf-e5ba53bf5a17|Alguém deixou uma colher no micro-ondas. Que imprudência. Se esta fosse a minha festa, eu não permitiria algo assim. Talvez seja por isso que ninguém vem às minhas festas...
287f2bbc-31d5-411c-b504-289c6350ed03|Hmm. É uma chave. Ela pode abrir e fechar algumas portas da casa, eu acho. Mas não tenho certeza de qual...
28aa2f99-0a19-4fa0-83cc-ddc786a90fee|Derek não quer falar agora.
28f1ed57-b025-41da-adb0-449c88f74a7a|Escutem, meus amigos, eu consigo ver o futuro. Vai ser incrivelmente quente, eu garanto! Eu controlo o calor, e não estou brincando. Resolvam este quebra-cabeça, ou vai ficar ainda mais quente!
2943f970-d80d-465e-8e6f-e9b16e313ab8|Não serão só os pés da Madison que ficarão felizes ao ver isso!
29681245-52a0-4e4e-a951-3bd0ab44de52|O tão esperado troféu!
298cd42a-ee31-45ff-8e11-f7cb2c211b9a|Você nunca foi treinado para lutar, então suas habilidades são... bem, próximas de zero. Usando os controles padrão, pressione a barra de espaço para entrar no modo de combate. Você verá sua barra de saúde no canto inferior esquerdo da tela. Se clicar com o botão direito, você desferirá um soco simples. Se acertar um personagem, ele se tornará seu alvo, e você verá a saúde dele no canto superior direito da tela. Esse personagem ficará... um pouco irritado. *Clique quando quiser pular para a próxima mensagem*
29a7d8ba-79c7-45d7-9641-c70d4b8eaa60|Ei! Você tem um escorpião na calça ou esperava que eu fizesse uma piada melhor?
29b08d68-6146-48fa-8729-884537dc04c8|É uma sacola velha de fast food que cheira a hambúrguer e autodepreciação. Eu conheço essas sacolas.
2a180819-da28-43c8-a9c1-2e16f24250bd|Não é fácil de encontrar, você terá que procurar com perseverança, mas se olhar com atenção, vai conseguir sentir o cheiro dos meus peidos. Como um túnel estreito que leva ao tesouro de Al Capone, quando você o encontrar, vai se masturbar com paixão! ... 
2a7dcd02-45f5-4ba6-8d11-a397aa86110d|Ele parece... estranhamente focado em outra coisa no momento. Vou falar com ele mais tarde.
2ad19faf-d61e-45da-8a5d-d3ed4092183f|A Rachael está chegando, estou quase lá!
2ae0dcf9-cb68-41f3-8e58-9da548ed34d5|É cremoso, rico e reconfortante! Me sinto um pouco mais corajosa e um pouco mais forte... obrigada, chocolate!
2ae370b1-4f00-4ecc-bca1-27179faa14c2|É a Madison. Esta é a festa dela. Provavelmente é melhor não ser babaca com ela se eu quiser ficar aqui.
2b175eab-91fe-4352-a44b-65d7b9dc6e13|Merda, ele morreu. Melhor ligar para a Rachael. Ou para o legista.
2b51331b-9f0c-4a62-a88d-ff27b9443b79|"No conteúdo do jogo que deu problema, os escorpiões estão usando VOCÊ!" ...E eu aqui pensando em fazer o escorpião abusar sexualmente de alguma parte do seu rosto. Infelizmente, ninguém tem recursos para fazer coisas assim aqui. Você tem que escolher. Ou modificar texturas, ou personalizar a música, OU, este escorpião fode uma ou as duas narinas. Lá embaixo, atrás das cervejas, tem uma caixa com uma abertura. Se quiser dar sua opinião, pegue um bilhete e cole lá dentro.
2b5c2655-f7d7-40fb-839c-84a2ab71498f|O Compubro está começando a achar isso um pouco emocionante demais.
2b7d827d-4274-46e5-9b2d-67164fdd11ef|Aqui está. Está tocando a mesma música da sala de estar.
2b8180e2-84b6-403c-ac61-f527677cb73e|Parece que a câmera está pronta!
2b8cd7ea-7c31-4287-9b0d-522ea272421f|Como Patrick conseguiu uma garrafa de Merlot com Frank por perto?
2b8e6f29-8356-48d3-b4f7-470abe85d21a|Ah, não, deixei a cabeça do Patrick no fogão por muito tempo! Ela vai explodir!
2bc64c00-c598-46db-8037-196189cbd91a|Não consigo subir aí... O Frank está me bloqueando!
2c29f63f-b913-4fdd-90cc-18c62b1fd806|*Você chuta a porta e tenta pegar a sacola da Stephanie*
2c6f1f05-7c1d-4398-bb7e-5eddb197b7e1|A proteína que você obtém comendo um filé de salmão inteiro vai repor sua saúde e te deixar um pouco mais forte!
2c94bde1-05e6-4a49-a176-d438518a1cc8|Nossa, me sinto revigorado! Um pouco terroso com... um toque de baunilha, nozes e trabalho mal pago. Maior regeneração de energia... obrigado, cafeína!
2e024a87-82a9-49ce-9935-f1c021010a13|TELEFONE BLOQUEADO. DIGITE A SENHA
2e5ec0b2-24fc-4dcd-a4a8-c412ff52ec42|É... dizem que pegaram a versão de 2001 e adicionaram cenas de sexo mais realistas. Esse modelo de negócios nunca funcionou para ninguém. Idiotas.
2f2c3dcd-e3d3-443d-80a6-24eee14568e9|Gastronomia molecular... também conhecida como "colocar coisinhas na boca e fingir que gosta delas". Você não tem tempo para isso.
2feb6915-c1eb-4a99-879e-9adfeb7b5ab7|Provavelmente preciso da Liz aqui antes de começar a martelar as coisas em busca de pistas, certo?
312a1dba-3f39-41a1-8329-f05cebb4b20f|Provavelmente eu deveria dar alguns minutos para a novata se acostumar. Ela virá até mim quando estiver pronta.
3199cff8-14a9-4e84-b089-2c648e7fb821|Hum... melhor não. Pode não ser tão inofensivo quanto parece. E, além disso, o Discord não deixou muito claro o que eu deveria fazer com essa coisa.
31d839a5-b2ed-4e4a-bba3-641fc1d5b062|Anúncios idiotas! Ninguém gosta de você!
32a202f0-1c22-4986-a71e-81b7f0bef896|Oi. Eu sou uma torradeira.
33352336-3534-4ce7-8441-b9d8f60cdff1|Ótimo, mas ainda preciso de um jeito de incendiá-la. Deve haver algo nesta casa que eu possa usar...
33a6768c-b834-4efc-ac90-76478d37d821|SEM NOVAS MENSAGENS DE VOZ
34033e01-083a-485e-833a-fb1bfc92bbb0|TELEFONE BLOQUEADO. DIGITE A SENHA
3426e4d1-b417-4825-af60-bc3eea9a9167|Ashley e Patrick ainda parecem estar discutindo intensamente... Melhor esperar um pouco mais.
34ca9c43-0a37-40b7-9665-1ba4f0588fa1|Patrick está resmungando algo, alheio ao óbvio desinteresse de Ashley. É hora de salvá-la...
34ed77d2-68ce-4562-95c1-6a3b885412f9|Os PNJs reagem à nudez de maneiras diferentes. Em certos momentos da história, você pode ter que colocar o pinto para fora (ou ficar completamente nu) para seguir em frente! Ok, é isso por enquanto. Vá em frente, mostre a todos as suas joias de família! ...Ou talvez não?
35419873-bb4d-4a07-9209-40407bb5edab|Assim como a sua personalidade, esta bolsa é uma maravilha colorida por fora, mas completamente vazia por dentro.
35a9265b-2937-4f00-aab3-36331dc2adc5|Se quiser verificar seu inventário, pressione "i". Precisa de um lembrete ou dica? Pressione "o" ou "m" para as janelas de Oportunidade e Memória. Quer dançar ou tirar a roupa? Use a tecla "y"! Por fim, a tecla "TAB" pode ser usada para ocultar ou mostrar certas partes da interface, como a mira do mouse, barras de combate, etc. Ah, e para sua informação, um tutorial mais detalhado sobre algumas dessas coisas pode aparecer mais tarde.
35ab61cb-05cf-4a42-af13-756b80131076|Como você acabou de começar seu treinamento, Leah não vai te bater... ainda.
364983ce-57eb-475d-a152-49e7286edce8|Você consertou a fantasia do Dinolicious.
364c8a5c-4d7a-4feb-ae1e-5c61496bdee3|Quase lá... Não consigo... ah, droga!
366b3a5b-5e67-4a0c-bee3-92807b87bdb2|Muitos itens podem ser coletados (clique com o botão direito, padrão). Depois disso, você pode soltar o item ou jogá-lo. Preste atenção aos diálogos dos personagens, às informações na Janela de Oportunidades, ao texto que aparece ao examinar um item e a qualquer outra informação para aproveitar ao máximo os itens que encontrar! ...Ou coloque tudo em um canto. Como quiser. Até mais!
368f7a19-41d1-4afe-8aeb-f8f65d28651a|*Sacudindo o que parece ser areia de gato, você encontra uma revista suja, mas intacta. Você a enrola e a guarda no bolso...*
36f068c8-dcb5-481e-83d3-fc8c6a1be621|Você desbloqueou a fantasia de elfa para Liz Katz no personalizador!
37897dda-3d8c-485d-b6aa-308bde8cc2fb|É uma chave pequena de plástico. Definitivamente não é para uma porta. Talvez para um cinto de castidade.
37910bb8-4acf-4197-8778-898d0fc105b4|Será que ela escorre molho ranch?
384c1069-4cc7-440e-93d8-5b0fc566a4bf|Compubro gostou muito, muito mesmo.
3894f956-6a3d-434e-8a79-1b550a0f88b0|Está completamente preso. Um pouco mais de força coloca um sorriso assustador no rosto do Patrick...
39734e2a-37b9-4346-950a-b775b194f5dd|Eu não deveria jogar fora materiais de escultura assim. Não importa o quão... pegajosos eles sejam. Estou com um... pressentimento ruim sobre isso...
39f6ba5a-ebd2-4d4c-80ec-14ce2052941e|Chame de "ode à nevasca" e valerá alguns bilhões no mercado aberto. Arte, seus idiotas!
3a42ba4b-23b7-4e81-853c-63a3f81f3755|Devo? Parece que está funcionando agora!
3a9ccc4a-8ada-4cd9-bdde-b54e6c2c9fff|Ainda não! Tenho que esperar para atacar no momento certo... quando ele e seu ego estão mais vulneráveis!
3aae42be-2e58-43a9-8b08-be3087d6e31f|É melhor eu recarregar minha energia sexual por enquanto... Não quero decepcionar a Katherine. De novo. Espera... isso é possível?
3ad407eb-07a4-4972-a7f5-55b527900dca|Devo me certificar de que não há ninguém na jacuzzi antes de tentar cobri-la.
3b2d3b15-d29c-479d-b984-561cd33ae87f|Será que devo mesmo ligar de novo? Ainda não consertei a pia.
3b69886e-b7a5-4976-835c-2a8c3491e562|Que flor linda.
3c1246ac-109f-46c9-82ec-e6c467d6e3de|Desculpe, Patrick.
3c2bf73b-8fa7-434a-9b3c-695d21119123|8=========) ~~~
3c81ea93-89a8-42ff-8bb2-d1c92c452969|É melhor eu não interromper. Lety tem que lidar com isso sozinha.
3c88631e-0a8f-47d9-8f50-9eed12fc4eef|Poder das Flores.
3c9dac08-f4b7-4305-8a2a-189453977d2c|Eu provavelmente deveria devolvê-lo para Rachael, considerando tudo que passei para recuperá-lo.
3ca34886-6d6f-45f6-a406-08c4a5176d85|Os próximos dois movimentos são ataques mais fortes que têm um pequeno tempo de recarga após o uso, então certifique-se de acertá-los! Se você segurar a tecla "W" e atacar, usará um leve movimento para frente ou uma estocada. Isso sempre causa 50% a mais de dano. *Clique quando estiver pronto para outra mensagem sobre suas habilidades ninja*
3d245a49-49af-4e90-b038-bace65e7a7b9|Você sussurra "Mano, achei mais vinho" no ouvido dele, mas ele não reage...
3d362400-959e-4433-8eb8-fb465563e524|De onde diabos veio essa coisa?
3d54e3be-56c6-48cb-865c-12862d96cb0d|Tenho que admitir, não é um suporte de alto-falante caseiro ruim.
3da3a30b-e640-423a-b899-6ee2eb7024ce|A barra superior é a sua bexiga. Sim, você pode fazer xixi em coisas. Segure "2" (padrão) enquanto seu pênis estiver para fora para fazer isso. Você não pode fazer xixi se a bexiga estiver vazia. Existem várias bebidas e itens pela casa que podem resolver esse problema. Embora muitas das reações ao molhar o mundo do jogo sejam as esperadas, ocasionalmente você pode precisar fazer xixi em alguma coisa. Sério. Algumas emergências são assim, sabia?
3ddc6f9c-fa30-48da-996c-7c1f0e63ebb9|Compubro permanece estranhamente silencioso... Talvez ele sinta a ira iminente de Derek?
3de49f4a-ef32-42e5-a24d-605bb2278fc7|Frank é um babaca e bem irritadiço. Eu provavelmente deveria dançar com seu corpo inconsciente enquanto tenho a chance.
3dfd3ea4-2f11-4b48-893d-5403733b0202|Na parte inferior central da tela, você verá uma ou mais respostas. Escolha uma para continuar a conversa, encerrá-la ou ouvir o que acontece. Muitas delas dependem do personagem, da história ou do contexto, então, se você não encontrar nada útil, experimente e volte ao personagem mais tarde!
3e7d1f39-105f-434d-bbfb-0a1220565c30|Parece que a Brittney está curtindo a banheira de hidromassagem e não está a fim de bater papo agora...
3f31347e-770e-40ef-b89b-1a20266d8bac|A Madison com certeza vai gostar se eu arrumar a casa!
3f5c0f27-2091-46c6-8d85-ad46657e3a51|Nossa! Cuidado!
3f88f4e6-9b4a-493c-b3ec-b6b7b502c6e9|Não estou exatamente vestida para a ocasião...
3fb0bbb2-a81a-4ecd-b5ff-bba5c78b6995|Ok, o fogão está ligado. A chaleira deve me avisar quando estiver pronta.
3fda9b5e-c442-43cc-94ef-ef3ac8b446f9|Não consigo colocar aí, já tem plexiglass.
4078ce23-e586-42b8-b314-a46cd1850acc|Só uma chaleira comum. Nada para ver aqui. Podemos voltar ao jogo agora?
407ada6a-9625-4a2b-a268-5c5ecabda9d8|É uma câmera digital. Parece que salva fotos em um cartão SD, mas não tem nenhuma.
4080fc91-3420-49c1-a0d4-21b6a6daf940|Estou quase lá... Não consigo... ah, droga!
413567db-dc5e-460f-b4fc-30a9b76bf211|Olha só, é o Dan Avidan! Ele é famoso por bloquear um viaduto em Nova Jersey no final dos anos 2000: ele ignorou as restrições de altura para caminhões. Nada mais importante.
41ae2768-6ea5-44b0-9d1b-f1f3ff6b74c3|O objetivo é derrubar as bolas de pingue-pongue do recipiente aos seus pés para dentro dos copos na parte inferior da mesa. Para pegar uma bola, passe o mouse sobre elas e clique com o botão direito (padrão)!
41d94ed1-0aff-4d1b-a552-9eaf240bee16|O que temos aqui... Droga, está travado. Talvez o treinamento da Leah seja útil.
41e44b7b-a9c9-423b-a3b2-c725defa6499|Agora só preciso de algo para incendiar esta magnífica exibição de produção de alta qualidade.
433f0117-6c2b-4beb-907b-7c9cea197358|Você devorou o pepino. Foi refrescante. Você realmente... uau. Nem passou mal? Enfim, parte da sua saúde foi restaurada, e a nutrição que você ganhou está aumentando sua força!
43457002-1521-4be5-b4d9-5c7794ff5a36|Não estou exatamente vestida para a ocasião...
43705945-89f8-499e-975a-cd2c0b184da0|É a Vickie Vixen! Ela é uma atriz pornô. Hum... não que eu tenha visto algum filme dela...
43fd083d-b3a9-484c-b7ac-e1500357a83d|Patrick parece estar a caminho de uma terra prometida... bom para ele.
4406b673-8187-40f7-99bf-e6799a5386fe|Katherine não parece muito bem.
44992858-5dc6-4efc-aaee-e4f0bacd1d98|Não era isso que eu esperava. O que há de errado comigo?
44df90ef-bdfe-446c-812d-aa91304e1fd7|Dizem que Katherine sempre tem um telefone na mão. Também dizem que ela é um gênio. E também que ela pode ser uma vadia sem coração.
4502fb40-e929-4811-8534-996986753886|O cantil está cheio com a mistura que a Rachael tem na garrafa térmica. Sinto que vou morrer de intoxicação alcoólica só de olhar.
451ca68b-a7c4-4e94-9be6-84481703dcc4|Nada mal! Um pouco terroso... notas de baunilha, nozes e trabalho mal pago.
4523de3c-8f15-4c2a-bc23-7e583d0efbd3|Vickie parece não querer falar agora. Tento de novo mais tarde.
45440324-c54c-44b6-8027-c81254c54127|Olha só, é o Dan Avidan! Ele parece estar esperando pacientemente que esse evento espetacular acabe para poder voltar às suas travessuras de sempre.
4596816a-d8f9-44c3-9f11-1e68f00f031b|Hum, esse é o poder da matemática?
46352955-2b2c-4d37-8108-97cad6f51a95|Parece que já está tocando. Em loop. Possivelmente para sempre.
46820a2d-e5f7-4d96-be90-a1e9cdc9174a|Se você segurar os botões "A" ou "D" (padrão) enquanto ataca, usará um gancho de esquerda ou direita. Eles sempre causam 25% a mais de dano e são bem rápidos.
468f2494-3fad-4fd2-9f31-f912b5219dca|É o Derek. Ele é o amigo que me convidou para a festa... e parece que ele se vaiou. Coitado do Derek.
46c7e1ac-7a7e-4de6-981e-2dd09aaddede|A cópia do PiselloVR da Leah não parece menos ameaçadora do que sua versão real. E não, este jogo não oferece vários níveis de dificuldade. Novato.
47447a6e-d971-4995-8c12-f1278784e36d|Boom! Desbloqueada. Vamos ver o que tem dentro...
47b5ffdd-1bfd-4724-a9dc-0ccc8e0d80be|Assim como a sua personalidade, esta bolsa é uma maravilha colorida por fora, mas completamente vazia por dentro.
47d2d779-efd7-4916-83ef-ed79cd6bb872|Espero que a Madison não se importe que tenhamos feito isso na casa dela. Ah, bem, foi ideia do Frank!
47da984d-656d-45b8-955c-11719fbcc3f5|Bela lanterna! Mas, assim como aquele bêbado na festa da fraternidade, é preciso um pouco de esforço para funcionar. Segure o botão direito para carregar a lanterna de indução e solte para enviar um feixe de luz à sua frente. Mas não vai durar muito, mano! Quando ela ficar fraca... quer dizer, hum... quando a luz ficar fraca, continue sacudindo para trazê-la de volta à vida!
482d3ad1-6931-4069-9b22-a3250b098340|Não sinto nada. Provavelmente ainda não terminou de esquentar. Talvez eu deva esperar.
4862bda3-8171-4a5f-a07e-441f14580880|Bem-vindo à House Party! Sou uma janela para contar histórias. Se me vir de novo, é porque estou mostrando outro tutorial ou contando algo muito, muito importante sobre o jogo que está prestes a acontecer. Então, preste atenção em mim, porra! Mas quando terminar de ler, você pode clicar com o botão esquerdo (o botão padrão) para me dispensar e seguir com a sua vida.
4896a29f-7dca-4c67-a627-8cef5765a091|Pronto. Coloquei o cartão SD na câmera e a mensagem "sem cartão" sumiu! Parece que está pronto para tirar fotos!
4911b124-cefa-43b5-bdcc-2a13478c83ef|Você ainda pode pontuar se a bola quicar na mesa, parede ou teto antes de cair no copo, mas não pode pegar a bola antes que ela reapareça na cesta. São as regras da casa, seu espertinho! Boa sorte!
491dce98-b736-427a-8567-2b14258349c6|Que porcaria pré-cambriana é essa?!
4963122c-bc1c-443f-b7de-9152027dddd0|Talvez se eu colocasse meu olho perto do dele, eu conseguisse descobrir quem ele é.
497154b8-2d5b-483b-b6fa-ec00666d081b|Caramba, isso NÃO é NEM um pouco o que eu esperava! Aquela coisa é enorme!
49a062ad-0ec4-449e-bad0-c22522b10103|Que bom! Um celular desbloqueado! Isso vai ser útil, já que você não tem um. ...Por motivos de enredo. Você pode interagir com isso para usar o flash como lanterna e segurar o celular na mão. Certifique-se de não jogá-lo fora, pois você precisará dele para alguns conteúdos importantes.
49cadac3-83be-46c7-836e-c5a06b56bc26|A Stephanie é meio maluca, mas é fofa. Olha a dança dela!
