[General]
Name|Ashley
148|Temos todo tipo de gente aqui. Não posso mentir, a maioria dessas pessoas são amigas da Madison, mas elas também me incluíram no grupo delas, e tenho certeza que a Madison odeia isso. Mas é, são todas legais. Menos o Frank.
149|Bem, eu não sei quem você conheceu e quem não. Tem a Stephanie, a Katherine, a Rachael, a Amy... essas são todas as pessoas que a Madison conhece da escola. O Patrick é nosso primo, que é praticamente o único motivo pelo qual ela está aqui... e o Frank... que não tem motivo para estar aqui. Ah, e também tem o Derek, que conhece a minha irmã de alguma forma. Ele é seu amigo, certo?
149.1|Bem, eu não sei quem você conhece e quem não conhece. Tem a Stephanie, a Katherine, a Rachael, a Amy... essas são todas as pessoas que a Madison conhece da escola. Patrick é nosso primo, que é praticamente o único motivo pelo qual ela está aqui... e Frank... que não tem motivo para estar aqui. Derek está aqui porque ele é, bem, Derek, e eu acho que ele e Madison têm algo, mesmo que neguem. E Brittney também está aqui, ela é sua amiga, certo?
150|É, isso é meio maldoso, mas legal... eu acho. Na verdade, preciso ir lá ver o que, uh, a Rachael está fazendo.
151|Ei, desculpe, estou ocupado agora. Talvez possamos conversar mais tarde.
151.1|Cara, você precisa aprender sobre espaço pessoal. Sai da minha frente por um segundo. Deixa eu relaxar.
151.2|Eu realmente não quero falar com você agora. Com você sendo um babaca. Talvez mais tarde.
152|Adoro ouvir isso. Ele parece ser um cara legal para se ter na vida. E se ele pensa o mesmo de você, então valeria a pena te conhecer melhor.
152.1|Ah, que fofo da sua parte dizer isso dela. Eu sei que ela é um pouco tímida às vezes, mas ela tem o maior coração de todas as garotas que eu conheço. Se ela confia em você, então você deve ser alguém que vale a pena conhecer.
153|Sério? Ah, certo, aquela loira que está muito deprimida. Você tem razão, eu esqueci completamente dela. Eu não queria, ela só está... bem, é difícil se destacar quando você está confinada assim. Eu tentaria ir e mostrar a ela que não há nada com que se preocupar, mas eu a conheci hoje à noite e só por 3 segundos.
153.1|Brittney, ah, sim. Eu me sinto tão mal por aquela garota. Ela está tão deprimida e não há motivo para estar. Se eu a conhecesse melhor, tentaria ir até lá e mostrar a ela que não há nada com que se preocupar, mas a conheci hoje à noite e só por uns 3 segundos.
154|Você faria isso? Você é incrível. Acredita que eu estava pensando em maneiras de roubar as informações do seu cartão de crédito? Brincadeira! Mas, se quiser anotar esses números...
155|Acho que sim. Sou uma das pessoas que estão organizando a festa e vou parecer uma idiota, mas vou esquecer o estranho peituda lá em cima!
156|Você fez a Brittney sair da caverna dela! Eu simplesmente não entendo. Você sobe aqui — nenhum de nós te viu antes — e começa a transformar as coisas em uma festa de verdade. É, hum, bem sexy. Falo com você depois.
156.1|Bem, você pode ser uma grande idiota, mas bom trabalho em levar a Brittney para o primeiro andar. Diga ao seu médico que o Adderall que ele receitou está te tratando bem. Acho que você deve ficar tranquilo e tentar se divertir.
156.2|Nossa, você realmente arrasou na Brittney hoje à noite! Talvez ainda haja esperança para essa festa agora que você apareceu. Continue com a boa onda, tá?
157|Essa foi a melhor coisa que eu vi a noite toda. Não sei se você notou minha camisa, mas eu tive uma discussão parecida com uma bebida derramada. A Madison aparentemente "escorregou". Obrigada por trazê-la de volta. Talvez a gente veja até onde a gente consegue pressionar ela hoje à noite, entende?
157.1|Bem, quando eu já tinha te descartado por ser um desperdício de espaço, você ofereceu a melhor recompensa da noite. Não sei se você notou minha camisa, mas eu tive uma discussão parecida com uma bebida derramada. A Madison aparentemente "escorregou". Acho que tem um lado bom ser um babaca como você. Parabéns, babaca.
157.2|Jesus Cristo, eu não consegui ver, mas ouvi o que você fez com a Madison. Incrível, cara! Não sei se você reparou na minha camisa, mas eu tive uma briga parecida com uma bebida derramada. A Madison aparentemente "escorregou". Obrigada por trazê-la de volta. Talvez possamos ver até onde conseguimos pressioná-la hoje à noite, entende?
157.3|Bem, quando eu já tinha te descartado por ser um desperdício de espaço, você faz a melhor resposta da noite. Porra, cara, queria ver você derramar essa cerveja na Madison! Não sei se você reparou na minha camisa, mas eu tive uma briga parecida com uma bebida derramada. A Madison aparentemente "escorregou". Acho que tem um lado bom ser um babaca como você. Parabéns, babaca.
158|Bem, obrigada por este diário. Na verdade, eu tenho uma ideia para uma verdadeira destruição entre irmãs que poderia sair disso, mas preciso confiar um pouco mais em você. Vamos continuar curtindo a nossa noite. Vou ver se você tem o que é preciso para ser meu brincalhão.
159|É, acho que você provou que não é um Ovos Benedict, ou será que estou falando do Arnold Palmer, ou era o Benedict Cumberbatch? Tanto faz, só saiba que você não vai estragar isso para mim. Deixa eu abrir este diário...
159.1|Nossa, ele está me confundindo com outra morena linda. Não faço ideia de qual laticínio você está se referindo. Cara, a Madison está bem ali. Cala a boca. Me encontra depois.
160|Ei! O quê... Espera, meu Deus, por um segundo pensei que você ia pegar as meninas na frente de todo mundo. Valeu pelo abraço. Camisetas como essas podem realmente levar a mais exposição do que o esperado. Eu realmente agradeço, bonitão.
160.1|Ei! Tira essas mãos frias de mim, seu idiota de merda. Espera, meu Deus, por um segundo pensei que você ia pegar as meninas na frente de todo mundo. Hm, acho que você estava me ajudando. Valeu, acho. Tchau.
161|Homem da noite! Estou tão feliz que continuamos nos encontrando. Mesmo assim, você não podia ter vindo aqui um minuto antes e me salvado da Amy falando sobre o clube dela? Ela está tentando me fazer entrar. Torne-se uma com o clube. Me dê sua alma.
161.1|Ei, homem da noite.
161.2|Deus, você não se cansa de mim esta noite, não é? Posso dizer que o sentimento é mútuo.
161.3|Homem da noite! Estou tão feliz que continuamos nos encontrando!
161.4|Ora, se ela não é minha garota número um! Estou feliz que continuamos nos encontrando. Mesmo assim... você não podia ter vindo aqui um minuto antes e me salvado do discurso de irmandade da Amy? Ela está tentando me fazer entrar para o coletivo. Torne-se uma com a colmeia. Me alimente com sua alma...
161.5|Ei, gatinha. Ele não conseguia ficar longe de mim, não é?
162|Hum, você conseguiria, né? Bem, acho que gostaria de te mostrar meu quarto. Talvez eu possa reivindicar minha primeira alma para o meu clube. Vamos, siga-me.
162.1|Outro passeio, hmm? Entendo por que você quer isso. Tanta coisa para ver. Vamos, siga-me.
162.2|Desculpe, mas esta guia turística ainda está cansada do último passeio. Por favor, dê a ela alguns minutos para recarregar as energias.
163|Vamos, sente-se.
164|Como você notou, eu tenho muita tralha. Eu realmente não trouxe muitas das minhas coisas legais quando me mudei para a casa da Madison, porque eu tinha certeza de que tudo acabaria em fogo se eu tirasse os olhos daquilo. Outra tática clássica de pegadinha ou guerra da Madison: queimar minhas coisas. Venda mais biscoitos das escoteiras do que a Madison, e ela queima minha faixa. Acabei na cama com um cara de quem a Madison gosta, ela queima todas as minhas calcinhas. E a casa do cara, mas acho que não devo falar sobre isso. Aqui, sai da frente.
165|Então, tem alguma coisa aqui que te chama a atenção? Você pergunta? Eu sei, não é o melhor quarto.
166|É, eu literalmente não consigo tocar uma única música nele. Claro, comprei com a intenção de aprender, mas sei lá, uma vez eu estava em uma cafeteria e eles estavam fazendo um show de microfone aberto à noite e uma garota subiu no palco para tocar... e ela era uma deusa horrível. Ela estava vestida como uma idiota, todos aqueles colares horríveis, e tudo isso me fez não querer mais aprender. Eu me perguntei: eu quero ser como aquela garota? De jeito nenhum. Então, lá está ele pendurado para a eternidade. Agora eu só escondo as coisas da minha irmã nele.
167|O quê, ah, isso? Definitivamente não é para o trabalho da escola. Não conte isso a ninguém, mas de vez em quando, eu gosto de ficar chapado depois que a Madison vai dormir. Geralmente, sempre acabo usando aquele quadro branco para escrever mensagens como "Sede da Divisão Local de Amantes de Pinga" ou "Entusiastas de Sexo Animal Anônimos se encontram aqui toda terça-feira". Sério, o que me dá na telha. Aí eu coloco ali na janela e vejo quem aparece durante a semana.
168|Claro que estou falando sério. Sei que moro aqui também, mas isso é só temporário, até o fim das aulas. A Madison está aqui para ficar. Gosto de pensar que, anos depois, depois de se mudar para um apartamento chique no centro da cidade, a Madison estará sentada lá embaixo se masturbando assistindo a um episódio de Ice Road Truckers quando, do nada, um morador de rua bate à porta perguntando se esta casa ainda funciona como um refeitório popular para pessoas nuas. Isso vai lembrar a Madison do seu caminhoneiro favorito... ela o convida para entrar... enfim! Quem sabe, eu estaria fazendo um favor a ela.
169|Você não toca. Eu adoro, cara. Então, o que será que te chama tanto a atenção?
169.1|A ideia de ser um péssimo músico de cafeteria te deixa de pau duro? Foi por isso que te contei essa história. Sabe, outro problema com essa porcaria de violão é que esses sempre atrapalhavam. Viu? Eles só gostam de ter vontade própria!
169.2|Que parte dessa história te deixou de pau duro? Moradores de rua? Caminhoneiros? De qualquer forma, fico feliz que te levaram até lá, porque você ficou me deixando louco a noite toda. Acho que a gente devia fazer o que viemos fazer aqui.
170|Será que são esses? Eles costumam explodir bastante. A Madison pode ficar com a casa, mas nunca vai ficar com esses. O chão, cara. Não me deixa esperando. 
170.1|Ou talvez não fosse a história... poderia ter sido isso? Madison pode ter a casa, mas nunca terá isso. O apartamento, grandão. Não me faça esperar.
170.2|Hmmm, então talvez não fosse a história. Madison pode ter a casa, mas nunca terá isso. O apartamento, grandão. Não me faça esperar.
170.3|Poderia ser... isso? Eles tendem a "explodir" muito bem. Madison pode ter a casa, mas nunca terá isso. Você. Eu. O apartamento. Agora. Não me faça esperar.
170.4|Hmm, então talvez não fosse a história... poderia ter sido... isso? Madison pode ter a casa, mas nunca terá isso. Vamos lá... Você. Eu. O apartamento. Agora. Não me faça esperar.
171|Eu dei uma surra naquela vagabunda! Agora sim, estamos falando! Ufa... Preciso vomitar agora.
172|Não quero nada com você. Você é literalmente o pior ser humano que já conheci, e eu sou de Nevada. Quando eu tinha 14 anos, meu vizinho viciado em metanfetamina tentou penhorar minha cocaína por 30 dólares e um pacote com 12 colheres, e você é ainda pior que aquele cara. Se tiver perguntas, pergunte e fique longe de mim.
172.1|O quê?
172.2|Falar.
173|Você se sente melhor agora, garoto?
173.1|Idiota de merda.
173.2|As coisas que eu faço para humilhar minha irmã. Embora... isso seja algo que eu poderia ter feito de qualquer jeito. E talvez eu faça de novo.
173.3|Você se sente bem, querida?
174|Blá, mantenha isso longe de mim. Se Patrick não percebeu, nossa família não lida bem com bebidas destiladas. Mas cerveja...
174.1|Se eu olhar para outra garrafa, vou vomitar, e não vai ser bom.
175|Por favor, fale baixo. Parece que você está gritando comigo.
176|*Ashley concorda com o que Patrick está dizendo. Seus olhos estão completamente desinteressados...*
177|Ei, estranho que vem com álcool e definitivamente não está drogado. Mas eu aceito. Minha irmã está me deixando louco, então ficar bêbado pode ser exatamente o que eu preciso. Ah, esqueci de me apresentar. Sou Ashley. Obrigada pela cerveja.
178|Nossa, eu não te conheço, mas acho que você pode ser meu inimigo mortal. Eu não consigo beber isso e ainda ser um ser humano normal. Basta olhar para Patrick, meu primo, se você tiver dúvidas sobre como minha família fica quando estamos muito bêbados.
179|Por favor, por favor, por favor, não traga essa merda. Me dá nojo o quão cheia de MERDA minha irmã pode ser. Ela te contou sobre o cara que contou a ela tudo sobre essa baboseira de Animal Celestial? Uivo de lobo, ela o chama. É, isso porque ele estava usando uma camiseta de loja de 1 dólar com um lobo estampado e literalmente usando uma coleira de cachorro. Ele não era um profeta; ele era um furry viciado em metanfetamina!
180|Não estou interessado em saber o que é ou não é um furry. Tudo o que sei é que, mais uma vez, minha irmã está tentando parecer descolada e inconformista entrando nessa onda cheia de bobagens que ninguém mais conhece, mais uma vez, para se destacar da multidão.
181|Não tenho controle sobre o que ela faz, e não é como se ela fosse me ouvir se eu tentasse ajudá-la. Mal nos damos bem assim. Tudo o que sei é que, mais uma vez, minha irmã está tentando parecer descolada e inconformista entrando nessa onda cheia de besteiras que ninguém mais sabe, mais uma vez, para se destacar da multidão.
182|Está vendo agora? O Patrick até acha essa merda ridícula, e o Patrick compra cintas usadas de strippers na internet.
183|Tem sido assim desde que entramos naquele ônibus e deixamos nossa cidade natal empoeirada para trás. Ela está tentando se reinventar. Onde crescemos, a Madison trabalhava no Chicken Hole e tirava as jaquetas. Agora ela curte arte, livros e filmes com legendas. É. Tudo. Merda!
184|Ela não é louca, ela só está desesperada para ser descolada e querida. O único jeito que ela sabe fazer isso é fingir até conseguir. Tem sido assim desde que entramos naquele ônibus e deixamos nossa cidade natal empoeirada para trás. Ela está tentando se reinventar. Onde crescemos, Madison trabalhava no ChickenHole e roubava jaquetas. Agora ela curte arte, livros e filmes com legendas. É. Tudo. Merda!
185|PATRICK, a frase é "chupa minha bunda". Meu Deus, pense um pouco antes de falar e tire o nome da minha mãe da boca completamente. Olha, cara, alguém vai ter que ir falar com a Madison. Vamos ser honestos: eu não vou porque prefiro transar com o Frank do que ter que fazer as pazes com a minha irmã, e o Patrick está de castigo verbal até o fim. Então você tem que ser o cara.
186|Só vá lá e diga que sentimos muito, eu acho, por falar merda pelas costas dela. Ou simplesmente deixe ela lá, que eu me importo. Ainda bem que ele ouviu o que a gente falou, então talvez ele só precise de um tempo para pensar. Tanto faz, eu vou... Não vou mais me importar com isso. Patrick, não mencione minha mãe pelo resto da festa, e você ainda pode ficar no sofá hoje à noite.
187|Você está fazendo uma voz de Reno Real Brothel Bunnies? Ótimo trabalho encontrando essa sua nova identidade, Madison. Pegue umas cervejas, saia com o artista e entre com o lixo de Nevada.
188|É, essa merda é ridícula. A gente devia conversar mais sobre isso, mas agora eu preciso garantir que meu primo não engula a própria língua depois que eu for expulso. Me responde em um segundo.
188.1|É, essa merda é ridícula, e vamos conversar mais sobre isso, mas acabei de ouvir um som que tenho quase certeza de que é o Patrick sendo uma ameaça pública. Primeiro vem o álcool, depois vem o striptease, depois vêm os pedidos de desculpas profusos pelos próximos três meses... e possíveis processos civis. Me dá um pouco, ok?
189|Tá brincando? Chamar uma sala de arte de "boa" é como chamar um acampamento de moradores de rua de festival de música. Bem ali... tem uma sala dedicada a alimentar os delírios da minha irmã.
190|Assim como com a astrologia inventada que ela compra, ou a vez em que dormiu com o imitador de Lou Diamond Phillips, Madison está fazendo isso para chamar atenção. Artistas são espíritos livres e renovados. Naturalmente, Madison tentará ser uma artista. Aí ela pode postar tudo sobre isso online, molhar os polegares e dizer "Parabéns!". Não é arte. ELA NÃO É. UMA ARTISTA!
191|É o que acontece quando não tenho mais um lugar para centrar meu zen. Serenidade, Ashley, serenidade. Agora, com muita calma, gostaria de dizer que Madison é péssima em arte e que aquela sala seria muito mais adequada para minha câmara de meditação no meu estúdio de ioga, onde eu poderia fumar sem ser incomodado, do que para uma galeria de ilusões pirata.
192|Faça o que quiser. Vou encontrar algo grande e feito de vidro que eu possa quebrar. Porque isso é paz interior, filho da puta. Não, não.
193|É, essa ia ser minha pequena contribuição para a festa. Essa é a Máquina de Palitos de Pimenta do Nippy Dick. Você coloca gelo lá atrás, e ela começa a fazer picolés que você pode temperar e tudo mais. Infelizmente, a Nippy Dick faliu há alguns anos por oferecer qualquer coisa além de palitos de pimenta, então eu tive que comprar essa coisa de algum colecionador. E veja só, ela está quebrada pra caramba! Então a Nippy Dick está juntando poeira na garagem. Que festa, né?
194|Hmmm, vou tentar expressar a outra oferta deles na forma de um jingle comercial cativante. Truques Taiwaneses do Nippy Dick e do Slimy Randy! Ele e outro cara administravam um monte de casas de massagem que eram todas sobre finais felizes oferecidos por mulheres que não sabiam inglês. Será que algum deles sabe onde eu poderia encontrar uma máquina de pimenta no trabalho... uh, bem. Se você conseguir fazer funcionar, parabéns. 
195|Claro, quero dizer, veja se você consegue fazer funcionar. Com o Frank segurando o álcool, gelo congelado é a coisa mais próxima de uma margarita.
196|Tenho que admitir, isso é bem legal. Não sei se eu ia querer isso no meu quarto, me encarando enquanto eu durmo, mas é bem legal mesmo assim. Espera, é o Sr. Nippy Dick?
196.1|Quer dizer... Acho que entendi o que você quer dizer, mas pode ser um pouco demais. Quer dizer... nossa. Espera, é o Sr. Nippy Dick?
197|Ah, você quer dizer a coruja que pinta por números? É a Madison tentando provar que é uma artista. Porque todos os grandes pintores do mundo começaram pintando algo que já estava desenhado, certo?
198|Puu! Sai daqui com essa coisa. Seu vaporizador tem cheiro do carro do Patrick.
198.1|Caramba, não consigo escapar desse vape horrível! Achei o que pensei ser uma amostra de perfume de uma revista que minha tia me mandou, mas era só uma amostra daquele juice horrível de vape! Quem coloca isso numa revista? Não me importa se tem uma história trágica por trás, joguei no lixo rapidinho.
199|Seu babaca! Sai de perto de mim!
200|Sério? Você não podia esperar por um momento melhor? Talvez quando eles não conseguem me ver nos olhos quando você está me agarrando? Sério, Ashley, o que você viu nesse filho da... porra da mãe!
201|Não me importa quem te convidou, estou cansado, agora vou te dar.
202|Ei! Alguém pode nos ver! A Madison vem aqui toda vez que me ouve te chantageando... então a gente tem que fazer isso mais tarde, beleza?
202.1|Ah! É assim que você sempre flerta com as garotas? Ousado. Eu respeito um pouco isso... mas a gente devia esperar, né?
203|Ei, a Brittney me contou que você estava jogando no meu computador, e aí? E agora eu vejo a Lety aqui! Você está tentando me fazer reprovar em espanhol?
203.1|Ei, meu celular está conectado à webcam do meu laptop e tirou uma foto da sua cabeça gorda quase na mesma hora em que as mensagens instantâneas começaram a ser enviadas da minha conta. Tão estranho... e agora eu vejo a Lety aqui! Você está tentando me fazer reprovar em espanhol?
204|A Lety é adorável, sério, ela é. Mas eu percebi durante as nossas aulas particulares que ela é muito, muito, muito ingênua. Você viu meu grupo de amigos? Eles vão comê-la viva! Se a comerem viva, não vai ter ninguém para fazer a minha lição de espanhol! Quer dizer... me ajude a aprender a fazer minha lição de espanhol...
205|Escute, a Lety é sua responsabilidade pelo resto da noite. Você tem que vigiá-la como uma mãe em um helicóptero, tentando garantir que não haja contato físico em um baile da escola. Garantir que ela se divirta e também que ela não seja completamente destruída por esses selvagens... que eu amo muito.
206|Acho que você não tem tempo para mais pegadinhas. Parece que alguém já está tentando cravar os dentes na Lety. Talvez você queira se aproximar do mundo...
207|Você! Então, primeiro, você entende completamente, meu primo, o que tinha naquela garrafa térmica e depois usa meu computador para convidar meu professor de espanhol para a festa? Não pense que não vamos falar sobre isso, mas primeiro você tem que lidar com o Patrick. A Lety vai literalmente implodir se uma das primeiras coisas que ela vir hoje à noite for o pênis Smurf do Patrick.
208|Então o Patrick veste as calças de novo. Isso é um passo na direção certa. Mas não pense que me esqueci de você mexendo no meu computador para trazer a Lety aqui.
209|É, essa merda é loucura... mas teremos que conversar sobre isso depois. Minha irmã está planejando algo e não tenho certeza absoluta de que não inclui arruinar a minha vida num futuro próximo. Preciso ficar de olho... me responda daqui a pouco, ok?
209.1|É, essa merda é loucura... mas conversaremos sobre isso mais tarde. Minha irmã e meu primo estão fazendo alguma coisa e geralmente não combinam, bem, nada juntos. Preciso ficar alerta até poder pelo menos dizer que eles não estão conspirando contra mim. Me dá um tempinho, tá?
210|É, infelizmente o que vem a seguir é... preciso ir garantir que meu primo não arruíne a vida dele. Ou a de outra pessoa. Tenho quase certeza de que o ouvi fazendo algo que inevitavelmente levará a uma dessas coisas. Confie em mim, eu... só tenho muita experiência. Me contate daqui a pouco, tá?
211|Ah, isso não é nada. Vou fechar meu armário porque é lá que eu guardo minha... máquina de depilação.
211.1|Vai ter mais um esqueleto aí dentro se você continuar tentando falar comigo. Você realmente não sabe como funciona a amizade, sabe?
211.2|Você estava entrando no meu quarto às escondidas? Sonhando com o nosso tempo juntos, talvez? Bem, acho que posso deixar você ver o que tem lá dentro, mas você tem que PROMETER, PROMETER, PROMETER que não vai contar a ninguém. Combinado?
211.3|Você estava entrando no meu quarto às escondidas? Sonhando em passar um tempo comigo? Bem, acho que posso deixar você ver o que tem lá dentro, mas você tem que PROMETER, PROMETER, PROMETER que não vai contar a ninguém. Combinado?
212|Ah... é, você não tem ideia. Eu tive que comprar aquele de tamanho industrial que eles usam em salões de beleza. Parece um daqueles robôs malignos do Dr. Who. O que posso dizer? Eu tenho os genes de um lobisomem, mas ainda preciso estar bonita para a praia.
213|É, é isso, não precisa ficar falando sobre o que tem atrás dessas portas. Hum... não se preocupe comigo, vou voltar para o meu quarto e me certificar de que o cadeado da bicicleta esteja tão seguro quanto o comercial disse que estaria.
213.1|É isso aí, não precisa continuar falando do meu armário. Preciso verificar o cadeado da bicicleta... para ter certeza de que esteja tão forte quanto o comercial disse que estaria.
214|Ótimo, ótimo... porque uma parte importante de ter algo trancado é dizer a alguém onde encontrar a chave para destrancá-lo.
214.1|Aposto que você tem uma estratégia ousada para causar uma boa impressão. Seja um babaca e depois me pergunte como encontrar a única coisa que permitiria que você arrombasse meus pertences pessoais. É realmente eficaz...
215|Digamos que está sempre por perto... fazendo uma covinha em forma de chave no meu seio esquerdo.
215.1|Digamos que está sempre por perto... Espera... hum, merda. Pelo menos geralmente é...
216|Fala baixo, cara! O Julius Squeezer não é uma sucuri, é uma jiboia. Totalmente diferente. POR FAVOR, POR FAVOR, não conte a ninguém que você o viu aqui.
217|Por que não? Porque minha irmã: 1. Vai me expulsar desta casa, e 2. Vai ligar para a prefeitura e eles vão mandar um bandido com um saco de estopa para levar o Julius embora! Ele é... meu amigo, e eu me importo com ele.
218|Ok, então podemos ter um probleminha, um probleminha. Bem, não exatamente, o problema tem uns 3 metros de comprimento, e por favor, não faça piada com o seu pênis.
218.1|Ei. Ei. Então, hoje à noite você provou que é pouco mais que um animal, mas ei... isso é bom. "Combater fogo com sujeira", diz a tia Cece. Eu tenho um probleminha com animais bem pequeno. Bem... um problema de 3 metros de comprimento, na verdade. Não faça piada com seu pênis.
219|Por favor, não surte, mas minha cobra... de alguma forma escapou.
219.1|Você é um babaca. Minha cobra escapou de alguma forma.
220|Relaxa. Preciso muito da sua ajuda com isso. Se a Madison descobrir que eu mantive minha cobra nesta casa esse tempo todo, ela vai me expulsar mais rápido do que eu tentei subir no palco com minha banda de K-pop favorita.
220.1|Essa é... uma reação estranha. Relaxa. Encontre aquele animal lá dentro, porque preciso da sua ajuda com isso. A Madison não pode descobrir que eu escondi a cobra nesta casa... Ela vai me expulsar mais rápido do que eu tentei subir no palco com minha banda de K-pop favorita.
221|Sou cheio de surpresas, eu acho. Por favor, fale com a Leah por mim e veja se vocês dois conseguem forçar o Julius a voltar para o terrário dele. Eu diria para perguntar ao Frank, mas tenho a sensação de que não posso confiar nele. É só falar com a Leah. E a MADISON NÃO PODE SABER.
221.1|Cala a boca. Você está fazendo isso. Senão, eu dou um jeito de te incriminar. Fale com a Leah... ela é bem legal e mais confiável que o Frank. E, idiota, lembre-se: a MADISON NÃO PODE SABER.
222|Tem uma chave na escrivaninha do meu quarto. Use-a na fechadura. Eu a coloquei lá depois que eu... bem, você sabe...
222.1|Espera, você já encontrou a chave? Eu realmente preciso cuidar melhor dela. Há muito a perder se, bem, você vai ver.
223|Isso é um grande não. Julius Squeezer é meu doce queridinho, mas ele também é um predador carnívoro de emboscada que não pensaria duas vezes antes de arrastar, digamos, um gato de rua, crianças ranhosas e gritando... ou talvez VOCÊ para debaixo do assoalho para nunca mais ser visto. Não que isso já tenha acontecido antes, nem nada.
224|Tudo o que você precisa lembrar é que Julius Squeezer está perfeito onde está naquele terrário. E se em algum momento você NÃO o vir naquele terrário, você imediatamente vem me procurar, NÃO a Madison, que nunca pode saber que Julius está morando aqui. E sim... não diga nada sobre gatos para o Derek. Aliás, simplesmente não fale com a Madison ou o Derek.
224.1|Tudo o que você precisa lembrar é que Julius Squeezer está perfeito onde está naquele terrário. E se em algum momento você NÃO o vir naquele terrário, você imediatamente virá me procurar, e NÃO a Madison, que nunca poderá saber que Julius está morando aqui.
224.2|Tudo o que você precisa lembrar é que Julius Squeezer está perfeito onde está naquele terrário. E se em algum momento você NÃO o vir naquele terrário, você imediatamente virá me procurar, e NÃO a Madison, que nunca poderá saber que Julius está morando aqui. Além disso... não mencione isso ao Derek também. Ele estava contando à Stephanie mais cedo sobre o gato desaparecido dela, e a ideia de algo acontecer com ele destruiria o que restava de sua psique.
225|Como você abriu isso? Nossa, você estragou a surpresa. Eu apresentaria vocês dois agora que sabia que podia confiar em vocês para guardar meu segredo. Bem, vá em frente. Tenho orgulho de apresentar meu amigo, Julius Squeezer!
225.1|Acho que não deveria me surpreender, você conseguiu meter o nariz onde não é chamada mais uma vez. Tudo bem, vá em frente. Eu não chegaria muito perto, no entanto. Julius Squeezer tem uma queda por pênis. Espera, não é isso que eu quero dizer — quer dizer, ele não gosta de idiotas.
226|Hmm... Julius Squeezer é esperto, mas eu o conheço muito bem. Ele tenta encontrar um lugar escuro para chamar de lar. A partir daí, ele bola seus planos, tipo, como sair daqui. Se ele ainda estiver em casa, estará se escondendo nas sombras. Parte de mim está muito orgulhosa dele por ter saído sozinho.
227|Eu? Pft, por que eu saberia sobre uma coleira de gato enterrada no quintal? Tecnicamente, eu nem moro aqui, então o que eu tenho a ver com o que Madison enterra ou não no quintal dela? Pergunte nos correios; Tecnicamente, sou um invasor! Mas invasores têm direitos, e isso significa que você não pode me assediar assim! Eu estou com tesão, você está com tesão?
228|Ei, nós já... não falamos sobre isso? Eu não sou um coveiro, e quanto a enterrar um... Porra, quero dizer, eu sou um invasor de merda, não estou aqui!
229|Ok, ok, acho que você merece uma ajudinha. Que tal isso? Você esquece essa coleira, e eu te conto como tirar o Derek da Madison, e você pode fazer coisas sexuais. Porque é isso que amigos fazem, né... cara?
229.1|Olha, Ranger Rick, deixa eu mudar de assunto por um segundo: eu sei que você está tentando se conectar com a Madison e o Derek ao longo do caminho. Se eu te der uma solução simples e prática de como isso pode acontecer, você me deixa em paz sobre essa coleira, da qual eu posso ou não saber nada?
230|Ok, você não ouviu de mim, mas o Derek está pirando por causa daquele gato. Some isso à humilhação que ele lhe impôs com aquela exposição de arte, e ele não está nada bem. Tanto que eu o vi pular a cerca e perseguir um carro que passava pelo comercial da Loosie Litter no rádio. Sabe, aquele com todos os gatinhos fumando cigarros?
231|Você não vê? O cara ouve até o menor *MIAU* e sai correndo, na esperança de se reunir com seu amigo há muito perdido. Ele fez um poema em um gravador de voz e colocou perto do memorial do seu amiguinho. Eu ouvi. Está... por aí, mas tem uns miados harmonizados aí. Talvez eu consiga usar isso para mandar o Derek embora. Só dizendo.
232|Bem, veja bem, eu... eu... eu simplesmente não aguento mais essa maldita culpa! Purgalicious morreu, ok? Ela foi para o grande café japonês para gatos no céu. É tão bom desabafar. Mas, por favor, por favor, não me dedure.
233|Odeio dizer isso, mas ELA não o mordeu... ela mordeu. E então ela o mordeu. Ela mordeu o grandão. Você está me entendendo?
234|Eu... não. Não, em todos os... sentidos possíveis da palavra. Preciso ir lá e desvendar tudo o que essa frase me diz sobre você.
234.1|Eu... simplesmente não. Nossa. Não, não, não. Por que não estou surpresa? Preciso ir. A estupidez dele desencadeou uma crise existencial, de uma profundidade da qual eu não sabia que era capaz.
235|Escute, escute, até onde eu sei você não é um canalha, mas preciso que você vá contra sua natureza e me deixe realmente firme: minta descaradamente sobre isso.
235.1|Escute, escute, você está bem. Você parece um cara... suspeito, e digo isso no melhor sentido. Você é exatamente o que eu preciso agora. Renda-se à sua verdadeira natureza e me deixe verdadeiramente firme: minta descaradamente sobre isso.
236|Não, não, é simples; diga ao Derek que foi Madison quem enterrou o colar no quintal depois que Purgalicious morreu sob SEU comando. Ela ainda está trancada naquele banheiro, certo? Imagine tentar defender seu caso quando a única maneira de falar é gritando pelo vão da porta. É... é, está tudo se encaixando. Diga ao Derek que a culpa foi da Madison.
237|Perguntar o quê?
238|Se eu tiver que acalmar o moral do seu coroinha, eu vou. O que será preciso para te tentar a mentir pela minha pequena?
238.1|Eu realmente preciso adoçar a mesada para um diabinho socialmente inepto como você? Certo, o que vai ser preciso?
239|Uma última coisa: Derek. Ele está pirando com esse círculo de arte que ele criou. Ele está num estado muito... sensível, então encontre um jeito de relaxar com tudo isso. Algo me diz que essa é a maneira errada de fazer o inferno chover. Fique tranquilo, fique tranquilo.
