[General]
Name|Katherine
147.1|Dingus! Você não ligou o bloqueador e o balão passou direto por mim! Argh, voltando para a transmissão ao vivo. Você é pior que o Spandex Daddy.
148|Não! Você está ajudando os Grumps a saírem daqui. Você SABE que eu não posso permitir isso. Pense em todo o trabalho que fizemos para... sabotar o grande show deles e... arruinar a noite de centenas de fãs...
149|Tudo bem, vou devolver o bloqueador de sinal com uma condição. Me ajude a tirar uma foto com os Grumps para eu postar nas minhas redes sociais. Se parecer que eles fizeram uma parada especial antes do show para vir me ver, meu namorado vai ter que usar as mangas refletivas para enxugar todas as lágrimas deles.
150|É, é isso. Mas a câmera do meu celular não vai dar conta. Precisamos dos caras durões. Estamos falando de DLSR, ASP-C, alta resolução, meu namorado não acha que eu retoquei, uma câmera bem ruim.
151|Aham. Tudo bem, bom... Eu sei que você tem uma da nossa escapadinha de mais cedo. Vamos usar isso para que meu namorado possa ver cada pixel meu com os Grumps enquanto ele está sozinho reajustando o elástico do paletó. Vou esperar você preparar os Grumps, ok?
151.1|Tudo bem, bem... Preciso usar minha melhor roupa para que meu namorado possa ver cada pixel meu com os Grumps enquanto ele está sozinho reajustando o elástico em volta da sua bunda. Vou esperar você preparar os Grumps, ok?
152|Ok... ok. Eu só preciso me recuperar. Primeiras impressões, sabe? Não, talvez não. Só preciso de um momento, então espere, ok?
152.1|Ok... ok. Eu só preciso me recuperar. Não posso estragar tudo de novo. Merda... se recomponha, Katherine! Pelo menos terei você por perto para que possa me ver bem. Só preciso de um momento, então espere, ok?
153|Ei, ei, ei! Desculpem a vergonha de antes, mas nosso amigo vai tirar a foto. Só uma. Não vai demorar muito, eu prometo!
153.1|Oooh MEU DEUS ei, ei, ei! Só preciso dizer... é tão, tão bom te conhecer pessoalmente. Bem, não vou divagar, então, enfim, nosso amigo vai tirar a foto. Só uma. Não vai demorar muito, eu prometo!
154|Ah, sim, vou passar para o nosso amigo aqui; ele pode fazer a honra.
155|Sei que fiquei um pouco louco antes, mas acredite em mim quando digo, a Compucompa é de verdade. Estou tentando roubar seus dados da dark web há séculos. Ela vai te levar aonde você precisa ir, você só precisa dar o primeiro passo. A toda velocidade.
156|Até mais tarde, Grumps!
157|Depressa! Tire a foto! Quero nós três enquadrados na foto. E não muito longe... Não quero que o Papai Spandex pense que tenho o Tom Assustador espiando enquanto ele faz o meu trabalho.
158|Meu. Deus. Que idiota do caralho. A batata que você chama de cérebro fez metástase nas suas mãos e dedos? Dan, Arin, sinto MUITO por submeter vocês ao intelecto de um... fantoche de carne. Não... esperem aqui, vou chamar uma carona e... não sei. Talvez eu ainda consiga chegar no seu evento a tempo.
159|Quer que eu te carregue para a cama também, querida? Ei, coitada, esqueci a chupeta para os bebezinhos em casa!
160|Ovio. Que criatura estranha e carente você é. Mesmo assim... vocês definitivamente não cruzaram meu caminho esta noite, então... claro, por que não? Ouvi Derek conversando com alguém quando chegou aqui sobre ter sido preso com você alguns anos atrás. Algo sobre indecência pública? Me chocou.
161|Não me apresse, você é um feto subdesenvolvido, mas tragicamente crescido. Continuando: Ele mencionou que vocês dois foram pegos em uma sacada do terceiro andar, enquanto tentavam ver quem conseguia... "mijar tão longe e tão certeiro quanto o arco longo de um patrulheiro élfico". Honestamente, eu me distraí, já que simplesmente permitir que essas palavras chegassem aos meus ouvidos provavelmente vaporizou metade do meu círculo social.
162|Ei, ei, ei! Esses dois orifícios? Não, eles não estão se tocando. Volte para a sua função, filho da puta. Quero dizer, um brinquedo... não, não, isso funciona. Pode continuar.
162.1|Ooooh não, pare e desista! Isso seria como... ugh... beijar a empregada! Ou uma criança que você nunca quis! Concentre-se no jogo! Agora, continue...
162.2|Escute, querida, eu aprecio o fato de sermos duas mulheres atraentes, mas esses lábios nunca se tocarão. Este batom que estou usando é caro demais para borrar e, além disso, sua boca serve melhor em outro lugar. Agora: você tem minha permissão para continuar.
163|Embora seu comportamento seja uma boa válvula de escape para a baixa testosterona e os problemas de fluxo sanguíneo do meu namorado... você se esqueceu de quem está usando quem aqui? Sua insistência vai me secar mais rápido do que... bem, a primeira vez que olhei para você. Entendeu? Ótimo. Agora me dê um pouco. Pelo amor de Deus...
164|Olá... USUÁRIO. Bem-vindo a esta simulação de... "a única mulher que causa medo verdadeiro no âmago da minha alma", escrita originalmente por Patrick Donghauser e aprimorada por dados coletados esta noite através da avançada fotogametria osmítica e das tecnologias proprietárias de bangômetro da CompuCompa.
164.1|...Puta merda. Não se cansa desta paisagem infernal dos anos 80 infestada de pétalas de rosa? Ou talvez você simplesmente não se canse de...
165|CALA A BOCA, SEU IDIOTA ENCHIDO DE TESTOSTERONA! A NAVALHA DE OCCAM! E = MC AO QUADRADO! GRAMÁTICA! VOU COMBINAR TODAS AS MINHAS CONVERSAS INTELIGENTES E LUXUOSAS EM UM FALO DE PURO PODER, PERFURÁ-LO ALÉM DO SEU ESFÍNCTER E TE FODER PELO QUEIXO.
165.1|...esta?
165.2|PRESENÇA FEMININA DETECTADA NAS PROXIMIDADES. REDUZA O MEDIDOR DE ÓDIO PARA 89% E PREPARE-SE PARA EXCITAÇÃO GENUÍNA. Iniciando... iniciando... mamilos duros. AVISO! AVISO! Se você for descoberto como um homem controlando um avatar feminino neste mundo de realidade virtual, OS MEDIDORES DE ÓDIO SE AJUSTARÃO IMEDIATAMENTE PARA 117% E AÇÕES SERÃO TOMADAS ENVOLVENDO UMA APROXIMAÇÃO DIGITALIZADA DO MEU PUNHO, DE UM TUBO MANIPULADOR DE ELETROLOBOS SECO E DO SEU CUZÃO PERVERTIDO.
166|CompuCompa, seu filho da puta imprestável e encharcado de cerveja, cancele esse pedido! Olhe para mim, eu sou o usuário agora!
167|Isso mesmo. Abandonem toda a esperança, vocês que entram aqui.
168|Awww... bip buop! Entrada não compreendida. Padrão para... A compreensão de Patrick Donghauser da entrada fornecida...
169|Bem, ufa! Foi tão terrivelmente medíocre para você quanto foi para mim? Embora você tenha vivenciado isso apenas em nível audiovisual, nos lobos parietal e occipital, parte de mim espera que você sinta uma pontada ali quando partir. Falando nisso, CompuCompa! TIRE ESSA COISA DA MINHA VISTA!
170|Sério? A porra da palavra de segurança? Argh, entrada aceita.
171|... Que porra inconcebível você está fazendo?
172|Sim.
173|Isso é mesmo uma pergunta? Se não fosse pelos 20 centímetros do meu namorado e pela sua cintura "costelada para o meu prazer", eu já teria terminado com ele há muito tempo. Ninguém dá a mínima para o tamanho do swing de um cara. Se um cara não tem um pau grande, ele é basicamente um inútil.
174|Ah, primeiro de tudo, eca, e segundo de tudo, não.
175|Eca, Frank, isso é AINDA MAIS nojento! Isso passou de meramente estranho para incrivelmente constrangedor. Tô fora. E eu te odeio.
176|Claro que vou. Você sabe que somos apenas um bando de formas de vida baseadas em carbono, selecionadas aleatoriamente, flutuando em uma rocha gigante, aguardando nossa morte inevitável, que provavelmente não deixará vestígios da nossa existência, certo? Você acha que uma foto dos meus seios vai mudar alguma coisa no curso do universo? Se dar um pouco de alegria ao Frank torna minha vida um pouco melhor esta noite, qual o problema? Além disso, você VIU a internet? Provavelmente sou minoria se não houver uma foto dos meus seios EM ALGUM LUGAR.
177|O que diabos te faz pensar que eu colocaria isso na minha vagina? Talvez isso aconteça em qualquer pornografia nojenta ou videogame obsceno que você consuma, mas definitivamente NÃO está acontecendo agora. Vá procurar outra coisa, idiota.
178|Eu estremeço só de pensar que talvez eu precise te contar isso, mas certifique-se de encontrar um jeito de fechar essa porta. Você tinha uma expressão vazia e infantil no rosto quando eu disse "só"... então espero que estejamos claros.
179| 179|Você poderia ter me dito que estava enganando uma atriz pornô para vir aqui antes de me convencer a fazer o seu trabalho sujo. As pessoas vão perguntar como isso chegou aqui, e eu não quero ser incomodado. Estou fora dessa pequena operação. Aqui. Pegue este telefone e mantenha-o longe de mim. Se eu fosse você, garantiria que ele nunca mais visse a luz do dia. Quase SEMPRE há evidências deixadas para trás, mesmo quando você é tão bom quanto eu.
179.1|Ei, idiota! Você poderia ter me dito que estava enganando uma atriz pornô para vir aqui antes de me convencer a fazer o seu trabalho sujo. As pessoas vão perguntar como isso chegou aqui! Você está tentando me excitar? Eu não vou me meter com todas essas travessuras relacionadas ao telefone hoje à noite. Você está por sua conta, entendeu?
179.2|Então... aquela mensagem patética foi a pegadinha mais horrível que eu já presenciei. Não corro o risco de hackear sistemas celulares e trans... ugh, você não entenderia. Deixe-me colocar em termos de homem das cavernas. Não corro o risco de me meter em encrenca por causa dessa bobagem. Aqui. Pegue este telefone e mantenha-o longe de mim. Se eu fosse você, eu o destruiria. Quase SEMPRE há evidências deixadas para trás, mesmo quando você é tão bom quanto eu.
179.3|Então... aquela mensagem patética foi a pegadinha mais horrível que eu já presenciei. Não corro o risco de hackear sistemas celulares e trans... ugh, você não entenderia. Deixe-me colocar em termos de homem das cavernas. Não corro o risco de me meter em encrenca por causa dessa bobagem. Estou fora.
180|Parece que você se divertiu e estou ficando entediado de te enviar mensagens falsas. Vou fazer algo um pouco mais produtivo, como inscrever meu namorado em boletins informativos de pornografia bestial. Aqui. Pegue este telefone e mantenha-o longe de mim. Se eu fosse você, garantiria que isso nunca mais visse a luz do dia. Quase SEMPRE há evidências, mesmo quando você é tão bom quanto eu.
180.1|Parece que você já se divertiu. Não vou correr o risco de me meter em encrenca por causa dessa bobagem e estou ficando entediado de fingir mensagens de texto para você. Estou fora. Vou fazer algo um pouco mais produtivo, como inscrever meu namorado em boletins informativos de pornografia bestial.
181|Que diabos? Vocês dois chegaram até mim e me propuseram sexo grupal do nada? Eu não gosto de nenhum de vocês. Nem um pouco. Será que entrei em coma por 10 anos, a sociedade seguiu em frente sem mim e, de repente, vivemos em um mundo diferente, onde transar não é diferente de apertar as mãos? Ou melhor ainda, sou um NPC em algum videogame maluco onde os jogadores podem transar com qualquer coisa que se mova se fizerem as escolhas certas e disserem as coisas certas? Olá. Minha pobre programação de IA vai me deixar indefeso, mas vai me atrair, e eu vou sucumbir aos seus desejos! Merda. O quê?
181.1|Uh... vocês dois realmente se aproximaram de mim e propuseram sexo grupal do nada? ... Eu respeito uma atitude de "sem se foder", mas tenho quase certeza de que não entrei em coma de 10 anos e acordei em um mundo onde mal tolerar uma pessoa é o pré-requisito universal para transar. Ou talvez eu me veja como um NPC em algum videogame maluco onde os jogadores podem transar com qualquer coisa que se mova se fizerem as escolhas certas e disserem as coisas certas? Ei. Já conversamos sobre isso uma vez. Agora eu preciso sucumbir a todos os seus desejos. Bip, bip. Não. Vai embora.
181.2|Olha, eu posso ter tido um lapso temporário de julgamento mais cedo quando concordei com isso, mas especialmente considerando seu comportamento desde então, vou ignorar desta vez. Vá vender sua orgia em outro lugar, estou bem.
182|Você de novo? Nossa. Sabe, eu esperava que você voltasse para outra rodada depois de me provar, mas o que eu não esperava era que você trouxesse outra pessoa para a mesa. Isso é perfeito! Meu namorado idiota está me implorando por um ménage à trois há mais de um ano. Isso vai irritá-lo TANTO! Eu sou tão profunda. Mas não se preocupe se eu tirar algumas fotos e enviar mensagens enquanto estivermos nisso. Quanto mais miserável meu namorado estiver, mais eu vou gozar.
182.1|Já era hora de vocês dois voltarem para mim. Não sei por que demoraram tanto. Claro, estou lá embaixo. Vamos lá.
183|Eca. Tudo bem. Talvez eu tenha um sinal de celular melhor lá em cima.
184|Que diabos eu acabei de encontrar? E também, fiquem aí porque isso está acontecendo no meu Instagram.
184.1|Olha, as pessoas acham que é um defeito de personalidade eu estar sempre com o celular grudado na mão, mas em situações como essa, vale a pena capturar esses momentos que vão trazer vergonha e humilhação para Madison por décadas. Você sabe o que dizem. Não dá para apagar nada depois que está na internet.
185|Argh, por que as pessoas acham que eu quero participar desses eventos idiotas de integração de grupo? Tudo bem, tanto faz, eu estarei lá.
186|Ah, desculpe, devo ter dado a impressão sem querer que não dou a mínima, ou eu te contaria mesmo se desse. Não se preocupe. Acontece.
187|Não que eu preste atenção nela e em seus interesses mesquinhos, mas ela é sempre tão obcecada por aquela banda. Qual era? Eu nunca consigo entendê-los direito. Ah, sim, acho que era One Direction. Eca. Só de ouvir o nome sair da minha boca me dá arrepios.
188|Será que eu me importo com coisas tão triviais? Até eu, aos 13 anos, ficaria horrorizada com a ideia de me importar com quem quer transar com quem nessa festa. Desculpe, provavelmente soei um pouco agressivo. Vamos voltar. Não, idiota, eu não me importo.

[Responses]
fcffa184-e23b-4a64-ba6c-ef3086258a90|Tente colocar as mãos atrás das costas.
d38fb070-49fb-469e-841c-a629d471d716|Vamos tentar outro ângulo. Incline-se para mim.
dad66c72-c959-48a8-9171-ae6e82d86866|Imagine isso: você está na cidade, tirando selfies!
4b2d2c71-fe1b-468e-8945-a30a5e8dae0d|Vamos ser um pouco safados. Finja que está sozinho e... se apreciando.
411bf16b-18c3-4ed7-8ac9-3982ea80fe4a|Na verdade... espera aí, isso é perfeito!
5eb54143-1f67-4305-9ca0-261f1f286aaf|Uh, uh... mais alguma coisa?
fe458e4e-ea5f-4dc3-82dd-81f439fc9642|Hora da mágica da boca! O... 69. Só 69
28846d80-1415-41d2-9697-245781269398|Ai, merda, ai, merda, eu vou-
e00cb8c5-4890-45d5-a6ac-5927880ed073|*Continuar*
f81b2260-8c1f-4bc5-84d9-7152b470c365|Uhh, sim, eu quero mesmo. Um pouco de privacidade, por favor, e obrigada?
60c8f607-385c-40d4-9157-ccaf7bbcefc9|Mmmm, desprezo. O melhor dos afrodisíacos. Seguindo em frente!
3b4041df-0f97-4158-bef9-d495f7062197|Ookkayy, vou te dar um pouco. Só para brincar.
2579860c-6865-4fe1-8d56-d224b1d7c6f5|Um original do Patrick?! Isso vai ser incrível ou abs-
d0a8acd4-b07c-415b-b13b-c777cb34e76b|Suas deliciosas curvas de IA? Personalidade brilhante? Nossa resposta espirituosa?
331fbaf1-7d88-4ee2-aebc-e50254ddd4f2|... absolutamente terrível. Droga, Patrick. Tudo bem... Estou totalmente aberto.
95c5ce4b-3e82-4f33-9cd6-352aaa304b91|Aaahhh, foda-se! Não, não! CompuCompa, fora! Saída!
c4b4d9aa-c134-48c7-8570-bc28fea712e5|Nossa. O quê?
aca161fb-3e7a-4586-9327-f05c8919ce7a|Merda.
10e3702a-f621-41e4-9e8e-4f8a7730b1c7|Sua prosa educada... é t-t-ótima!
adb13967-b276-4a91-ae8b-4e092aefc4d4|Poderíamos ficar sem o tapa... não? Certo.
01664e26-c3be-4a0a-9fdf-7b5eb1a9607b|Bem, isso é monumentalmente surpreendente.
9cc198ed-d877-4ace-8743-da97183ccb8f|Já estou sentindo uma dor fantasma. Na minha bunda e no meu coração.
352f1be1-4a1e-4fa3-bcb4-2ea3ff353cad|Ufa!
9ee991e8-2246-48bd-b380-75bda3cb66d6|Com licença?
f5ef87e6-9472-43f0-91d0-d9f0d468b7de|Uau. Não tenho mais perguntas.
70792208-3351-4ef0-ac5e-b74ddc4775d8|Obrigado, foi exatamente o que pensei.
47a52450-577e-4848-802c-01d807d1afb9|Terceiro lugar, ponto para mim.
a152e78b-922c-4570-a816-d98cc67a35b9|Ah, coitado do Fra-no. Não. Sério, estava delicioso.
8d7e60f0-b352-45ec-9a58-08d00326ef55|Quero que saiba que já vi a internet e tenho certeza de que seus habitantes vão te receber bem.
892d247d-838e-4e12-a5f9-b0b17dab1def|Ok, ok, vamos lá.
0fa89d31-eb8d-4af6-9739-6165f48d86e2|Desculpe, estou só... surpreso que alguém possa me tocar em breve. É... sim, quero dizer. Sim!
26c315fb-fd06-4305-b990-5fe4900c92ec|Ok, ok, entendi...
26a0e624-68ce-4dc3-91f3-31d011b0b128|Isso é... realmente produtivo? Ah, deixa pra lá.
47b1347a-0fb3-4a7d-b19d-10ac95017946|*Suspiro* Rejeitado novamente... hm, bom título para minhas memórias.
53a5614f-18ee-4ce1-8551-375479882e33|Não vou me meter nos seus problemas novamente. Mais sexo, por favor!
c2b494c7-0bec-49d6-a996-ce71a283d155|Obrigada, Katherine.
6a1fd085-cc38-417d-8683-25c4c44c5b0a|*Pegadinha bem-sucedida!*
4a470999-9504-4f53-a04a-b6ee79d81b5d|*Continuar*
fbc9ff8b-de42-4970-b7d6-6da5da39a973|Essa é a minha garota.
c4b03ed2-ff26-4247-a7d0-bc00e5ac40bd|Katherine é sempre prestativa.
3320abfe-261b-46f2-9618-776b83391ab2|Obrigada, Katherine.
1a66b384-ca41-43b1-a1fc-a531dbdf4cc5|Katherine, este é mesmo o melhor lugar para fazer suas... coisas de celular?
f7026ce5-42ec-4ddb-b955-db66155dfdb0|E aí, Katherine. Bolas grandes ou pintos grandes?
5f8be589-8b8d-4453-9d8c-bc49f9cf5f0d|Adivinha quem se livrou do maior e mais simples obstáculo do álcool? Vou te dar uma dica!
728e9b77-891c-460e-b5e1-337bebbeb8b2|Madison disse que precisava de você quando você tivesse um tempinho. Ela está lá em cima, no quarto dela.
06f25c88-1648-4359-9e22-642216a9ed73|Madison está organizando uma exposição de arte lá em cima e queria que eu te convidasse.
6a5e7b3c-e6c7-41cf-bd7b-559f60e31629|Alguma ideia de onde Brittney está?
ac05d517-2219-4937-ab07-2ca67ae87869|Você sabe alguma curiosidade sobre Amy?
bcb9cc3b-166a-4757-baa4-19bb7edd2d82|Você viu Brittney se apaixonar por alguém da casa?
f0067e64-add2-41c2-bb6f-b95b9bc8fa2c|Uau. Que senso de humor...
53c5507b-c482-4083-8067-d92825a06a8f|Seu namorado é detetive? Que legal!
4c687806-aba2-4089-b270-be13deef82b9|Quem seria mau com você?
a6f63d67-727c-452c-829e-183dd08833c9|Tá bom, tá...
d820eb5c-9210-4617-bf02-962adc43acaa|Por ser tão babaca, esse namorado provavelmente te deixou grudada no celular.
98a7d062-da2e-4fce-9e7d-673572b92516|Tá bom, vamos ver o que eu posso fazer.
36c73a84-fa10-4ff9-a29b-6d4e6fe0c753|É, talvez funcione.
3a4fdbcd-5541-4138-8a90-dee61607e9cf|Vou ver o que posso fazer.
1d1bcc5a-a7e5-4921-82bf-4c324d5cd9d8|Sorria!
ac9b05f1-bd59-4946-8432-f04e56ddfdf9|Não se esqueça de sorrir!
6ee99d7f-9d0c-4594-98ec-4403375d36bb|Acho que consigo.
b4ff00f9-85c5-4148-9727-a114536809df|Acho que vou demorar um pouco com isso.
93ce83d7-ff34-4b5f-84d7-91650ded33c0|Nossa! Que bom!
e7a30df2-bd91-448f-b551-64ce2cf2e47f|Eu não queria... ah, esquece...
05e94fbc-3775-45ea-81c5-dff7038e0993|Você tem razão. O que eu estava pensando?
9e34d8a2-c124-4270-9cfa-9ec30d36cf8d|Você já fez aulas sobre pessoas deprimidas?
def4d3f1-1b8e-4570-bde8-d29e2792176b|Vou arriscar.
02cd78c8-a5e2-41e4-a6f3-6035646d8581|Puta merda.
d488f2d9-8162-44ea-be30-58ae5a055ed7|É, eu também não tenho padrões.
d9b88701-2725-474f-b99e-b0f6593748ef|É, eu também não tenho padrões.
191f1a24-deb2-495c-8f1b-40ab1f3b7510|Droga, acho que não sou tão inteligente quanto pensava.
6e4ffb9b-80e1-4350-97fc-e5069b66057b|Droga. Ok, vamos ver o que posso fazer.
174126be-e03d-46b7-aee9-de53751a2ffd|Ah, certo... tem outras pessoas nesta festa...
55117d84-bb8c-4ac0-993a-5495d3803d9b|Droga!
c2b9ae45-b32b-459a-93e8-ff222bf03ea0|Por que você não tira a camisa?
730d9453-f802-44f0-b96b-9515ca0c9e4f|Vamos tentar uma pose.
8d70312a-1f1b-4bc3-8877-236e6a5ffb74|Relaxe e finja que não estou aqui!
7dd9fd4e-5307-4c1b-989a-784fece9c35b|Acho que não foi isso que o Frank quis dizer quando falou "sem camisa".
49df5903-bb32-452d-bdde-0aa1d0919e9a|O que você acha de tirarmos as calças e darmos ao Frank mais do que ele aguenta?
c90053eb-cc94-469d-8a32-49d45c4ca861|Vamos dar um tempo por enquanto.
342e728e-2d64-46b5-a730-144c4dbb5bc5|Vamos tentar com as mãos atrás da cabeça.
0211fcc3-8f5d-4275-8fc7-66727a89ca4e|Vamos tentar ajoelhados.
aaa4fe28-b345-42eb-b4d8-0f3348884102|Vamos tentar deitado.
b1bb6d67-ba7d-4a3e-a3e5-8d6a37d47b9c|Agora então!
8e190561-a1f4-4167-961d-94059c9358fa|Hum, droga, tudo bem, vou ver o que o Frank diz, eu acho.
1158314b-be0d-4875-9a04-b37e2a6e5285|Então... alguma anedota tocante sobre o nosso tempo juntos? Tenho certeza de que o Frank adora uma boa história...
b4fecca5-075d-4735-b23d-1bfd04fc3c45|Não, mas ele aceita uma!
71a126d6-207e-4817-9dd7-c1918d3b6f77|Ok, ok, vou consertar isso.
ad375774-9ebd-4c66-b505-416f531d816f|Ops. Desculpe.
712165cd-f79e-42da-9fab-530e8a5cecb6|Nossa, essa é direta...
14acb561-cf91-452b-8997-777790e7e129|Ééé. Me humilhar ou recusar sexo? Acho que não tenho escolha. Eu faço isso!
624ab543-2ce2-4345-8589-b135733bc8f9|Sabe de uma coisa, Kathreine? Já chega da sua merda. Não vou fazer isso.
e0e08331-a24a-4d61-b031-748b32d6be3f|Droga!
6d2aaa7f-812c-487a-bd6c-fd677469561a|Bem, se serve de consolo, acho que vou me lembrar dessa experiência pelo resto da minha vida.
f7ce4a91-ef43-4b23-9824-0531591ea30a|Ouvi "sexo", mas não ouvi muito mais nada depois disso. Vamos lá!
c97a931d-7304-41c4-81f1-cdd4f740433d|Perfeito!
84f91665-9a45-406e-a680-2e48335326ed|Estou cuidando disso!
a870ee95-9794-47e3-99cf-490d45c1fd69|Tem certeza de que não posso ficar e assistir?
aa2ea7cb-48d2-4125-a903-0055f4ae212d|Vou ver o que posso fazer.
658a5dca-5341-4ed1-a8ef-c642ae145d0f|Faz tempo que... eu disse, ótimo!
d56d53b9-186a-4056-987b-0bd4245691ad|Caramba, que bom.
9a2e1538-c894-4209-8a40-38eb15db21e4|Sim, senhora!
44e8a2f7-4b2b-450c-b1fd-e1c16943f7e6|Estou feliz que você esteja feliz?
cac435cd-9c7e-4615-b77f-eb50f2dbfa23|Finalmente, alguém está feliz que eu estou tirando minha salsicha!
eb3eb797-50d0-498a-be77-236fc9243b74|Sim, senhora!
17bc8362-0b81-436f-b914-9a74e70d5ab6|Ela pode ter um problema, mas não importa, ela fez sexo.
960149bc-647b-433a-af5b-d99a9d77339b|Vamos fazer de quatro!
4ae5ec44-ae27-486f-a5d5-873cdcc32369|Deite-se!
4080904c-fee8-4d93-a89d-6c2dcb916469|Monte em mim!
d188767a-adde-4c91-91eb-62c68cb4bbdc|Você tem razão, desculpe!
b742316f-758d-44c5-aeab-e43fe5f1256b|Bem, eu também não gostaria de usar meu celular...
ced426e7-5402-4470-8ced-5303e2c71cca|Patrick!
c0bfb516-53b9-480a-86e1-e503d8385880|Eu sei o que você vai dizer...
9fb93a87-2e29-479f-88ba-28f9715ca903|Perfeito!
5896a34b-def4-449b-85b5-775dbbb3c8e1|Eu faço!
bf922c71-9dc1-41b5-8147-06cc3616548c|Mande para Rachael. 555-4242.
32c35fc9-c239-40af-9ea1-e394308a563f|Ehh. Mande para 555-6969.
8e24095c-05a2-411a-88c3-29c1f329e3a7|Ah, não. Acho que não pensei nisso...
3c6f1e17-544e-4ab5-bbc0-0e1942d82397|Droga, não tenho o número da Vickie.
3a9fa5c6-df4e-4bcc-b842-feb3cd67ea40|Enviar da Vickie Vixen. O número dela é 555-6969.
835c005f-8bf6-4071-b7c6-1ab1e372d2a5|Enviar da Rachael. 555-4242
c81ca709-65d0-4704-a553-e290ecf32c22|Sabe de uma coisa? Esquece...
c699173e-eeb7-4f9c-ac66-d327aecd2037|::Suspiro::
c9dd2598-a1e5-45c1-8f24-1159726ae184|Atrás de você!
6ef7bfb5-942f-4d30-80b9-02511d4e62ae|"Desafio você a contar para o cara mais gato da festa que você teve um sonho molhado com ele ontem à noite."
4dfdfd9b-ec3e-40be-9e46-e1954be6beee|"Desafio você a dizer que está calor e colocar seu biquíni."
0d6cbc9d-cc6c-4134-856c-49a67adb42a2|"Desafio você a passar o resto da festa descalça."
88b2ce45-c3cf-422c-b518-82bcb601cb17|"Desafio você a mostrar seus peitos para o cara gostoso da festa."
5f9549fc-739b-48b8-ac8e-eca6a5bd919e|"Desafio você a dançar só de biquíni."
1286bc0d-cd5b-4736-9fdb-8eefd298dd5e|"Desafio você a tirar as calças pelo resto da festa."
ef6bff8f-5ccb-4099-9481-251bc932f34c|"Desafio você a encontrar um lugar privado, ficar nua e se masturbar."
c310f318-dbd3-45f1-93c4-bec08fec6842|"Desafio você a correr lá fora completamente sem camisa."
a3985ea1-bae9-4c50-80be-0c4cde5b7947|"Desafio você a ficar completamente nua para o cara mais gostoso da festa por 30 segundos."
8ba3381a-ea8a-4580-a781-74acf8c4532c|"Desafio você a transar com o cara mais gostoso da festa."
2a9610c0-e40e-49dc-95b6-931435b89393|Eh, esquece. Sou gay demais para continuar com isso...
5a9dadbc-38e2-4987-835b-0b9d60c26f66|Sem problemas!
54516350-6b51-4240-b91d-ade369bf7961|Vai se foder, criador da House Party!
cfccb622-9b41-4141-a939-d59e243183eb|Por nós dois. Vou resolver isso...
5ac19273-1172-4c85-bdd4-39b238cbe69a|"Desafio você a vir à festa da Madison. Precisamos de ajuda para animar as coisas."
feb01de6-127d-4965-a728-2a8cc075c9f0|Obrigado!
29b30049-1c0a-44a1-b649-fad6faa79048|"Ei. Acabei de te conhecer. E isso é loucura..."
5e6dc9d6-fe5a-4652-960b-8535a5170f2f|Ei, venha para a festa da Madison e ajude a animar as coisas."
