[General]
Name|Madison
134|Aham. Bem, lá se vai minha confiança por hoje. Bom papo, amigo. Tenho certeza de que você será convidado para muitas, muitas outras festas minhas. Preciso ir... para qualquer lugar que não seja aqui. Tentar, sabe como é, interagir com outros seres humanos e ver se isso muda um pouco a sua perspectiva. Tchau.
135|Eu? Oh, Deus, não. É daí que vem o nome? Onde Ashley e eu crescemos em Nevada, a ideia de empoderar mulheres tão jovens assustava os mais velhos da cidade, já que vestir aqueles coletes verdes e nos ensinar a dar nós certamente nos tornaria mais rebeldes e provavelmente menos dispostos a sair de casa. Mas olha só para mim agora, eu não sei dar um nó sequer, mas, caramba, eu sei como dar uma festa!
136|Ah, não, alguém era um menino travesso? Sem problemas, com quem devo falar?
136.1|Ah, não, alguém era uma menina travessa? Sem problemas, com quem devo falar?
137|Olha o que temos aqui. É para mim? Droga, muito obrigado! Mas tome cuidado com seu estoque. Frank vai tirá-las debaixo de você. Onde você esconde suas cervejas, se não se importa que eu pergunte?
138|Sério? Talvez tenha sido só uma das que o Frank perdeu... Ou pode ser... Não, não pode ser. Enfim, obrigado pela bebida, cara. Eu não recusaria mais depois de terminar esta.
139|SIM! Espera, você encontrou mais? Então é verdade... Patrick, seu maluco...
140|Ah, acho que não estou fazendo muito sentido. Patrick, meu primo, é um festeiro como nenhum outro. Acho que a terminologia correta seria "alcoólatra pesado", mas gostamos de manter as coisas leves por aqui. Como dizem no meu reality show favorito, The Real Brothel Bunnies of Reno, ele é um "condescendente".
141|Argh, se você não trouxe sua própria bebida e encontrou isso na minha casa, a Pat pode ser a responsável por isso. Ela deve ter guardado para mais tarde. E eu estou começando a ficar animada agora. Encontre mais do estoque da Pat e me apresente!
142|Ai, meu bem! Quem diria que o Patrick seria o anjo da guarda da minha festa? Nunca pensei que diria isso do cara que tirava todas as roupas das minhas bonecas Little Dandy e as fazia lutar peladas. Ele as cobria de óleo de bebê e tudo.
143|É, é verdade. Acho que você é o verdadeiro herói. Embora eu provavelmente não seja o melhor anfitrião, sendo o único que fica bêbado.
144|É... Quer dizer, afinal, essa é a MINHA festança. Nossa, é só isso que está saindo da minha casa. Estou começando a parecer a Madame Moonshine. Vamos fazer o seguinte: você vai pegar mais cerveja, traz de volta para mim, e eu divido com o pessoal da festa. Combinado? Combinado!
145|Ah, é, certo... com certeza. Não seria uma boa festança sem cerveja para os meus clientes, não é? Nossa, estou começando a parecer a Madame Moonshine, o que significa que é melhor eu ir com calma. Vamos fazer o seguinte: você vai pegar mais cerveja, traz pra mim e eu divido com os festeiros. Combinado? Combinado!
146|Ah, não, você não assiste "Real Brothel Bunnies of Reno"? É a MELHOR novela de todos os tempos E foi filmada no meu estado. Ela acompanha a vida das garotas que trabalham nos bordéis legais de Reno, e a Madame Moonshine é quem mantém todas essas garotas na linha. Ela é foda, igual a Muah.
147|Aí vamos nós, sim, Sr. Festa, trazendo as cervejas! Hora de presentear alguém especial. Quem será? Você não gostaria de saber? Eu não vou te contar, de jeito nenhum. Só saiba que *soluço* vai para alguém que merece.
147.1|Lá vamos nós, sim, Senhorita Festeira, trazendo as cervejas! Hora de dar isso a alguém especial. Quem será? Você não gostaria de saber? Eu não vou te contar, de jeito nenhum. Eu só sei *hic* que vai ter alguém que merece.
148|Ah, há, háaa! Ora, ora, ora, seu filho da mãe da cerveja. O que você tem para mim, garoto? Você não acha que umas cervejas te fazem passar pelas portas do meu celeiro, acha?
148.1|Ah, há, há! Ora, ora, sua velha vagabunda trazendo a cerveja. O que você tem para mim, garota? Você não acha que umas cervejas te fazem passar pelas portas do meu celeiro, acha?
149|Você nunca viu Coelhinhas de Bordel de Reno? É minha novela favorita. Acho que eu posso ser boa nisso. Espera, espera, não a prostituta, mas sendo a vadia principal. A parte da MADAME. Sim, eu faria esse trabalho muito bem. "Você, você não está usando a língua o suficiente!" "Você, você não está brincando com a panela o suficiente!" Sim, eu seria muito bom nisso.
149.1|Bem, claro que sou. Ela é minha heroína. Acho que eu poderia ser bom nisso. Espera, espera, não a prostituta, mas sendo a vadia principal. A parte da MADAME. Sim, eu poderia fazer esse trabalho muito bem. "Você, você não está usando a língua o suficiente!" "Você, você não está brincando com a panela o suficiente!" Sim, eu seria muito bom nisso.
150|Agora, se você se lembra, eu disse que recompensaria aqueles que mais merecem uma cerveja. Pelo que eu sei, sou o único que realmente mereceu uma boa dose de merda. Não diga mais nada, rapaz. Vá agora e me encontre mais bebidas. Vamos, rapaz!
150.1|Agora, se você se lembra, eu disse que recompensaria aqueles que MAIS merecem uma cerveja. Até onde eu sei, sou o único que realmente merece uma boa cagada. Não vamos mais conversar, garota. Vá agora e me traga mais bebidas. Vamos, garota!
151|Garoto da cerveja, na hora certa, estou prestes a começar minha ronda. Como dono deste rancho de coelhos, preciso garantir que todas as minhas garotas atendam aos mais altos padrões. Só me dê isso aqui... Sim, era exatamente o que eu precisava.
151.1|Garota da cerveja, na hora certa, estou prestes a começar minha ronda. Como dono deste rancho de coelhos, preciso garantir que todas as minhas garotas atendam aos mais altos padrões. Só me dê isso aqui... Sim, era exatamente o que eu precisava.
152|Você, Rachael, língua áspera, tire esse cabelo do rosto, deixe os clientes verem essa sua boquinha linda. Sim, essa boca linda, linda...
153|Brittney Twin-peaks, esses peitos grandes devem ser a primeira coisa que os caras veem. É melhor ele não te ver curvada, ou vai ter que pagar um preço alto. Ouviu?
154|Ugh, Kat Whack-off, você está demitida. Não gosto da sua cara nem da sua bunda, e você está demitida.
155|Franklin Não-Da-Porta-da-Prima... Não tenho do que reclamar. Os clientes adoram a disposição dele para experimentar.
155.1|Ele fez o quê agora? Ha! Pausas não são uma coisa se você trabalha para a patroa! Quem deu permissão para isso-bbBBRRAAUUGGHHOOY... ahem, vá agora mesmo e pegue!
156|Ora, ora, ora, se não é a Ashley, a Sem-bunda. Eu diria que a gente devia comprar umas calças sem bunda que combinassem com o seu corpo, mas aí a gente vai se arriscar com propaganda enganosa. Garota, esse trabalho não é pra você. Acho melhor você arrumar suas coisas e SE FODER!
157|O que é isso? Você está menosprezando sua namorada? Sabe qual é a punição para isso por aqui? É a morte! Peguem ela, meninas!
158|Não me questione, rapaz! URPHHH... Na verdade, as coisas estão ficando um pouco confusas, então preciso que você me mostre o caminho, rapaz. Vamos dar uma olhada no inventário.
158.1|Não me questione, garota! URPHHH... Na verdade, as coisas estão ficando um pouco confusas, então acho que preciso que você me mostre o caminho, garota. Vamos dar uma olhada no inventário.
159|Vamos falar com a minha garota de óculos, com a minha garota dos peitos grandes que deixam os garotos loucos, e com a ruiva esperta com a boca bonita.
159.1|Vamos dar uma olhada no meu único homem em estoque. O careca que anda nos dois sentidos.
159.1| 159.2|Vamos ver o pior dos meus atos. Minha irmã...
160|Vamos, continue andando.
161|
162|Oh-ho-ho, não. Você não vai falar comigo fora disso. FRANK!
162.1|Oh-ho-ho, não. Você não vai falar comigo fora disso. DEREK!
162.2|Oh-ho-ho, não. Você não vai falar comigo fora disso. FRANK!...FRANK!? Droga, é inútil. DEREK!
162.3|Nunca mande um homem fazer o trabalho de uma mulher. Leah! Quebre esse cuzão e faça um cuzão ainda maior e com coceira!
162.4|Nunca mande um homem fazer o trabalho de uma mulher. Leah! Quebre esse cuzão e faça um cuzão ainda maior e com coceira!
162.5|Ugh... Posso não conseguir te expulsar, mas com certeza vou te ignorar. Vai se foder.
163|Vou trabalhar no primeiro que você me deu por um tempo. Não posso ser o primeiro a vomitar na minha própria festa.
163.1|Você não sabe que não se deve fazer a vontade da moça quando ela está ocupada inspecionando o estabelecimento? Volte mais tarde, quando eu terminar minha bebida atual.
164|Não vê que estou fazendo minha ronda? Não é hora para mais bebidas.
165|Não, não, não. Já me diverti com a encenação de bêbado. Ninguém quer fugir de novo.
166|Ha! Um alvo fácil, se é que existe um. Vou tê-los na palma da mão rapidinho. Deixe-me falar com eles e depois tente falar com eles de novo. Mas ei, isso é um acordo único. Faça valer a pena, ok?
167|Ah, minha estrutura um tanto simplista não é um "escritório" de verdade por si só. Gosto de chamá-lo de meu "oásis boêmio", um lugar onde posso escapar da monotonia do nosso dia a dia. E sim, embora eu goste de pintar lá, é só porque preciso expressar minhas frustrações com o mundo, para que ele não me sobrecarregue e roube meu espírito artístico. Pintar é a melhor maneira de liberar positivamente meus receios com a sociedade moderna e "O HOMEM", se eu me rebaixasse a usar o vernáculo atual.
168|Você está bisbilhotando minha casa? Isso é bem estranho. Sim, é meu ateliê de arte, mas eu realmente não estou com vontade de compartilhar essa parte de mim com você. Talvez possamos conversar sobre isso mais tarde, se nos conhecermos melhor.
168.1|Você ainda está lá? Está com problemas de memória ou algo assim? Podemos conversar sobre meu ateliê de arte e todas as maravilhas que acontecem nele quando eu te conhecer um pouco melhor.
168.1| 169|V-v-você acha que eu quero compartilhar isso com você? Você é um tipo especial de pessoa se acha que eu quero falar com você sobre isso. Aprenda a ler o ambiente, seu babaca.
169.1|Eu... eu não sei se quero entrar nesse assunto com você. Uma parte de mim está tentada, mas a outra parte está gritando "ahhh, que diabos, não". Acho que vou ouvir a parte dos gritos desta vez.
170|Nunca preocupe sua linda cabecinha com as lutas de um artista. Na verdade... uma cabecinha e tanto. Você sabe que pode ser a peça que falta no meu portfólio...
171|Nada disso, estou apenas notando que você é um ser humano lindo. Em breve, enviarei meu trabalho para uma galeria local na esperança de conseguir uma amostra, mas eles exigem que o portfólio tenha uma pintura de um modelo humano. Um... modelo humano nu.
172|Nossa! Tão cheia de paixão pelo meu ofício! Certo, então, a primeira coisa é...
173|Bem, isso é algo que te interessa?
174|Ora, obrigada! Eu aprecio seu olhar para uma companheira viajante da vida. Eu também tenho um olhar, um olhar para uma bela forma humana. Sabe, você pode ser exatamente o formulário que preciso para preencher meu portfólio...
175|Hmmm, parece que outro idiota se insinuou na minha vida. Talvez eu deva pintar este momento mais tarde. Vou intitulá-lo: "A Vez em que o Novato Nunca Foi Convidado a Voltar para Minha Casa".
175.1|Hmmm, parece que outro idiota se insinuou na minha vida. Talvez eu deva pintar este momento mais tarde. Vou intitulá-lo: "A Vez em que a Novata Nunca Foi Convidada a Voltar para Minha Casa".
176|Fale baixo! Olha, eu sei, mas estou me metendo em encrenca. Todo mundo viu aquela sala de arte lá em cima e ficou me fazendo perguntas sobre ela a noite toda. Além disso, já procurei uma galeria e tudo. Eles querem ver um portfólio completo do meu trabalho! Preciso pelo menos finalizar isso com estilo e elegância. Você pode me ajudar?
177|Ok, vou precisar de uma pintura da forma humana para terminar meu portfólio. Um ser humano em seu estado mais natural, hum, se você me entende. Adão e Eva sem as folhas, meio natural. Meu tio Kenny depois de 9 cervejas é meio natural.
178|Cara, sério? Vai se foder então.
178.1|O quê, sério?! Vai se foder então.
179|Hmmm, bem, tenho explorado o mundo das esculturas ultimamente. Período renascentista tardio, reproduções de cera de museus de estrelas de ação dos anos 80, coisas assim. Algo detalhado... tipo, algo que você possa olhar por horas sem se preocupar, digamos, caso o pai de alguém precise de um cigarro, mas se distraia com os cassinos antigos. É, acho que gostaria de ver uma escultura! Ah, e toda obra de arte precisa de uma mensagem. É, uma escultura com uma mensagem. E é melhor você estar pronto para apresentá-la a alguns dos meus convidados em um ambiente intimista... é, em um pedestal iluminado! Deve ser fácil, né?
180|Derek, nossa, você poderia ser meu modelo? Embora nós estejamos... sabe?
181|Amanhã: Depois da festa, limpem tudo, sirvam um pouco de vinho e curtam a última cena de Gothic Orgy 16.
182|Lutando por mim? Ah, isso é igualzinho à 2ª Temporada, Episódio 3 de... hum, deixa pra lá. Talvez eu tenha razão, Derek. Você sabe que eu... estou sempre procurando, e esse idiota já fez papel de bobo uma vez esta noite. Certo, idiota? Tem mais alguma coisa a dizer sobre como aquelas suas Trumpias tão habilidosas aplicaram aquela cerveja diretamente na minha blusa com tanta elegância?
182.1|Brigando por mim? Ah, isso é tipo a 2ª Temporada, Episódio 3 de... hum, deixa pra lá. Talvez você tenha razão, Derek. Você sabe que eu... estou sempre procurando, e esse idiota já fez papel de bobo uma vez esta noite. Certo, idiota? Tem mais alguma coisa a dizer sobre como você aplicou aquela cerveja diretamente na minha blusa?
183|Hmm, certo, eu aprecio a honestidade, e sim... mesmo tudo isso vai empalidecer em comparação com a obra-prima que será criada esta noite...
184|Hmmm, aqui está o que faremos. Acho que a pessoa que vou pintar precisa ser uma verdadeira mecenas das artes. Alguém que consiga ver uma ótima pintura e se molhar na virilha como eu! Preciso que vocês dois criem uma obra de arte espetacular, e quem me surpreender será meu tema desta noite. Parece bom?
185|Chega de tempo para papo furado, meus lindos anjos. Espero ser surpreendida esta noite, então mãos à obra! MOLHE MEU BOLO COM ARTE, CACHORROS!
186|O que é isso? Sua obra de arte está pronta, certo? Certo... bem, onde está?
187|Eu posso fazer isso. Aliás, por que vocês não se juntam a nós? Para os interessados, subiremos em alguns instantes para ver o que nosso convidado criou. Venham se quiserem e espalhem a notícia! Vejo vocês quando todos estiverem lá em cima. Sem pressão, mas agora que estou envolvendo meus amigos, minhas expectativas passaram de uma virilha molhada para um alerta da FEMA.
188|Certo, acho que é quem vem. Então é isso? Este... objeto é o que vocês encontraram?
189|É... incrível! Não acredito na sua reflexão. O pinguim está... fazendo uma declaração que é ambiental e sexual ao mesmo tempo.
190|Ele está levantando o dedo do meio, elevando nossa sociedade enquanto deixa sua verdadeira sexualidade pairar no ar. Este vibrador rosa é a sua maneira de dizer "ESTE SOU EU. ME AME POR QUEM EU SOU". E quem eu sou... é um pinguim que NÃO será comido por uma baleia. Porque que se danem as baleias.
190.1|Isso... é uma paródia de arte! Óculos de sol? Sério?! Parece uma barraca de surfe de merda pendurada em uma loja voltada para pré-adolescentes. Vem com um adesivo de para-choque grátis também? Espero mesmo que o Derek tenha algo melhor planejado.
190.2|Isso... é uma paródia de arte! Você realmente pegou comida da minha geladeira e enfiou na toca empoeirada de um pinguim? Que tipo de declaração espiritual isso faz além de "Eu sou preguiçoso"? Vou ter ânsia de vômito da próxima vez que pedir uma salada se tiver pepino. Espero mesmo que o Derek tenha algo melhor planejado.
190.3|Isso... é uma paródia de arte! Não sei se fico ofendido, enojado ou confuso. Talvez os três? De qualquer forma, a aura que este pinguim está irradiando agora não passa de más vibrações. Espero mesmo que o Derek tenha algo melhor planejado.
191|Derek, se você acha que é tão ruim, por que não nos mostra o que fez?
191.1|Tudo bem, Derek, você está acordado. Vamos ver se consegue fazer melhor.
192|Então... é só isso que você tem?
193|Hum, bem, definitivamente temos o nosso vencedor. Desculpe, Derek, mas este pinguim realmente me toca. Vou pintar o nosso amigo.
193.1|Bem... esta é uma escolha muito difícil. Os dois erraram nessa. Se eu realmente tiver que escolher... Derek vence.
194|Ótimo trabalho. Vou guardar, se não se importar!
194.1|Ei, sem ressentimentos, ok? Você tentou e errou, mas como Howling Wolf sempre diz: "O sucesso se constrói com o fracasso. Quanto mais eu falho, mais perto estou do sucesso, então nem preciso tentar ter sucesso do jeito que sei." Serei recompensado a longo prazo pelos meus fracassos! Ah. Tão sábio. Aprendi muito com ele. Vá fundo para que, da próxima vez que enfrentar um desafio artístico, possa voar alto e alcançar novas alturas como um verdadeiro pinguim!
195|Bem, terei todos os meus suprimentos prontos. Enquanto isso, se puder, traga Patrick de volta... Não preciso do nosso convidado mais problemático vagando por aí. Você pode fazer isso enquanto eu lido com esse bebê-homem?
195.1|Bem, terei todos os meus suprimentos prontos. Enquanto isso, você pode ir ver o Patrick? Não o vejo há muito tempo, e nunca é sensato deixá-lo sozinho por muito tempo... especialmente no estado em que ele está e com o Frank aqui. Você consegue lidar com isso enquanto eu cuido desse bebê-homem?
196|Certo? Leve o Patrick lá para baixo.
196.1|E então? Você deu uma olhada no Patrick?
197|Droga, não acredito que o Derek tentou me trancar no banheiro. Algumas pessoas são simplesmente perdedoras. De dor. Então, você está pronto para começar?
197.1|Hã... que pena, pensei que ele estaria aqui me esperando. Aposto que um homem de verdade como o Derek não teria me resgatado.
197.2|Hã... isso é... estranho, pensei que ele estaria aqui me esperando. Aposto que o Derek não teria deixado.
198|Deixa eu me arrumar... Vou terminar de pintar o animal celeste da Rachael outra hora...
199|Heh, você não está errado. Embora eu deva explicar um pouco sobre... como vou te retratar nesta pintura.
200|Sabe de uma coisa? Provavelmente seria melhor se começássemos com a pintura, e eu posso falar sobre isso enquanto trabalho. Isso significa que é hora de você brilhar, garotão. Você ainda se sente bem com a nudez completa, certo?
200.1|Sabe de uma coisa? Provavelmente seria melhor se começássemos com a pintura, e eu posso falar sobre isso enquanto trabalho. Isso significa que é hora de você brilhar, bebê. Você ainda se sente bem com a nudez completa, certo?
201|Claro que sim. Vou fingir que esta é uma daquelas situações de vestiário de academia e vou olhar desajeitadamente e intensamente para todos os objetos desta sala, exceto o seu lixo. Claro, quando eu achar que você não está olhando, vou dar uma olhada rápida no pacote.
201.1|Claro que sim. Então, vou fingir que isso é uma daquelas situações de vestiário de academia e vou olhar desajeitadamente e intensamente para todos os objetos nesta sala, exceto seus petiscos. Claro, quando eu achar que você não está olhando, vou dar uma olhada rápida.
202|Você não tem com o que se preocupar! Vou fingir que isso é uma daquelas situações de vestiário de academia e vou olhar desajeitadamente e intensamente para todos os objetos nesta sala, exceto seu lixo. Claro, quando eu achar que você não está olhando, vou dar uma olhada rápida no pacote.
202.1|Você não tem com o que se preocupar! Vou fingir que isso é uma daquelas situações em vestiários de academia e vou olhar desajeitadamente e intensamente para todos os objetos nesta sala, exceto seus petiscos. Claro, quando eu achar que você não está olhando, dou uma espiadinha.
203|Certo, calma. Você sabe que eu vou ver tudo de qualquer jeito, né? Só me dá sinal verde quando eu puder me virar. Enquanto isso... olha que lindo... tapete!
204|Ahhh, eu gosto de confiança. Segure essa confiança enquanto pinto. Mas não se apegue a mais nada, se é que você me entende.
204.1|Ahhh, eu gosto de confiança. Segure essa confiança enquanto pinto. Mas nem pense em usar esses dedos para mais nada.
205|Ei, cadê aquela cadeira de balanço que estava aqui? Pertenceu à... bem... avó de alguém.
205.1|Droga, eu devia ter pegado sua escultura e trazido para cá! Ela está transbordando de inspiração.
205.2|Vamos lá, o tique-taque do Relógio. Arranque essas roupas!
205.3|O que é atraso? Às vezes fico completamente pelado quando não tem ninguém por perto para perguntar. Ah, espera! Precisa de mais uma rodada do tutorial? Droga... não, eles removeram esse conteúdo.
206|Olha só você, garanhão! É, claro, isso é uma aventura artística, então eu não deveria falar com a minha modelo desse jeito. Portanto, não vou!
206.1|Olha só você, garota! Trabalhe essas curvas. Mexa seu... É, claro, isso é uma aventura artística, então eu não deveria falar com a minha modelo desse jeito. Portanto, não vou!
207|E já que SOMOS profissionais, vamos abordar algumas regras rápidas de modelagem. A primeira coisa é ficar o mais parado possível. Aprenda uma lição com o livro da Katherine: seja tão frio que você vai congelar. NO ENTANTO, haverá poses diferentes que precisarei que você faça, então, quando eu pedir para se mover, mova-se rapidamente e apenas para a posição para a qual me candidatei. Entendeu?
208|Maravilhoso. E falando em Rogers, minha última proibição envolve o Jolly Roger dele. Só porque você está pelado, em nenhum momento seu pequeno marinheiro pode ir à loja de iscas e equipamentos para lançar algumas linhas.
208.1|Maravilhoso. E agora, a última proibição... Só porque você está aí em toda a sua glória nua não significa que você pode sair do roteiro, não importa o quão intensa seja a energia artística aqui. Isso significa nada de remar na canoa rosa!
209|Acho que os eufamismos do meu pai não são para todos. Nada de tocar no seu pênis, entendeu?
209.1|Preciso soletrar para você? Nada de brincadeiras de xoxota.
210|Boa modelozinha. Tudo bem, hora de deixar sua energia guiar meu pincel. Vamos começar.
211|Vamos começar com algo básico. Pose para mim como um animal se aquecendo ao sol da tarde após uma longa caçada, onde você conseguiu uma boa presa. Mas faça com que seja, sabe, sexy.
211.1|Vamos começar com algo básico. Pose para mim como uma mãe animal orgulhosa aproveitando o sol da tarde cuidando de seus filhotes. Mas faça com que seja, sabe, sexy.
212|Ah, perfeito. Eu sabia que você era um pássaro ou um peixe. Isso realmente me ajuda a ver qual.
212.1|É... não é exatamente o que eu esperava. Isso realmente não está me ajudando a penetrar mais fundo na sua aura bestial.
213|... para o seu paraíso animal. É para isso que você está modelando.
214|Estou pintando você, mas é a personificação do seu paraíso animal. Quer dizer, qualquer um pode pintar um humano. É preciso verdadeira habilidade artística para procurar o paraíso animal e trazê-lo à vida na tela.
215|Antes de perguntar qualquer coisa, vá em frente e pose como se estivesse implorando pelos restos mortais de um tratador de zoológico... Ou de um morador de rua!
216|Ótimo, ótimo! Talvez eu te role como um bom menino mais tarde, mas ainda não.
216.1|Bem, nada mal para um modelo amador... Posso ter sorte e adivinhar seu animal espiritual.
216.2|Caramba... meu medidor de animal espiritual está completamente errado! Vai ser um milagre se eu conseguir estabilizar as linhas dos animais e redirecionar seu pio para longe do vórtice de galinha instável!
216.3|Mais alguma coisa?
216.4|Ótimo, ótimo! Talvez eu tenha que tornar isso mais interativo... mas ainda não.
217|M-porque... você está nu, quero dizer... como posso ver sua verdadeira aura? É tipo, como David Ralph Maccio esculpiu David se ele não tinha o pênis para fora? Seria impossível.
218|Hum, eu não menti. Eu disse a eles que essa era a "minha interpretação" da forma humana. Bem claro, se quer saber.
219|Ok, não é uma galeria propriamente dita. Vou enviar essas interpretações para o meu guru espiritual animal, Howling Wolf, para que ele possa colocá-las ameaçadoramente no deserto. Ele diz que minha arte é tão poderosa que até assusta a polícia que está vasculhando a área procurando por... bem, eu não sei o que eles estão procurando, mas sei que essas pinturas ajudam a manter a comunidade de Howling Wolf fora do radar.
220|Você não pode deixar a família de Howling Wolf. Se eu não enviar essas pinturas para ele, ele vai aparecer na minha casa e começar a marcar território. Sabe como um cara chamado "Howling Wolf" marca seu território? Só um palpite.
221|Faça do seu jeito. Seu animal espiritual com certeza será um babaca.
222|Ok, minha querida modelo, isso não é "Vinte Perguntas". Uma última pose! Vou precisar que você comece a acariciar esse seu membro magnífico. Eu sei que disse não, mas acho que isso vai me ajudar muito a entender sua fera interior. Depois, quando estiver pronta.
222.1|Tudo bem, minha querida modelo, isso não é "Vinte Perguntas". Uma última pose! Vou precisar que você comece a tocar esse seu lindo corpo. Eu sei que disse não, mas acho que isso vai me ajudar muito a descobrir QUEM você é por dentro. O interior quente e úmido... Depois, quando estiver pronta.
223|Eeee, terminei. É isso... você vai ter que chegar perto e ver com os próprios olhos.
223.1|Desistir? Vamos, entre aí!
224|Posso ter acabado de pintar meu melhor trabalho até agora. Apresento você, seu animal do céu: O Pinguim-Pacote!
225|Tá brincando? O que eu disse? Que se dane. Que seja um tarado. Esse é o seu espírito animal. Um homenzinho cocker spaniel que não para de foder, estragar ou derrubar coisas. Acabou. Vou te dar um tempo para se arrumar e se vestir.
226|Que... paixão primitiva. Preciso pintar isso. Só não vá até o fim. Já tenho todas as tintas que preciso, se é que você me entende.
226.1|Desistir? Vamos lá, entra aí!
227|Hm? Oohh, você gosta de falar sozinho enquanto trabalha, né? Querida, faça o que quiser. Eu não questiono o método artístico de ninguém.
228|É, ficou tão claro. Quer dizer, depois da arte que você fez... e do tamanho do pênis que você colocou naquela coisa... eu fiquei... tão claro que era um símbolo seu.
228.1|Porque sua sexualidade é magnífica e avassaladora. Você pode NÃO TER um pênis, mas seu espírito animal está enfurecido pela ENERGIA DO PAU GRANDE. É tipo, 'Ei, estou aqui e vou foder com força'. Ficou tão óbvio quando olhei através de você, para sua aura.
229|Você está brincando comigo? Por que você acha que eu queria você nua para isso? Eu sabia que você estaria, bem, fazendo as malas... e eu estava certa. Esse é o tipo de pênis que você quer colocar em uma caixa de cereal, porque é a primeira coisa que você prova de manhã.
229.1|Você está brincando comigo? Por que você acha que eu queria você nua para isso? Eu sabia que você seria uma deusa do caralho por baixo dessas roupas e você NÃO decepcionou... porra, tudo em que consigo pensar agora é nessas coxas em volta da minha cabeça.
230|Café da manhã para o jantar? Eu não me importo se eu me importo. Deus, eu estava esperando por isso desde que você me mostrou sua obra-prima. As duas.
230.1|Porra, é isso. Eu estava morrendo de vontade de te provar desde que você me mostrou sua obra-prima. Sua arte... e seu corpo.
231|Você ouviu isso? Argh, aposto que as pessoas estão falando da gente lá fora. Vamos levar isso para o meu quarto, assim podemos ter privacidade. Fique aí, vista suas roupas e saia um minuto depois de mim para não parecer muito suspeito. Te vejo em um segundo.
231.1|Ele ouviu isso? Argh, aposto que as pessoas estão falando da gente lá fora. Vamos levar isso para o meu quarto, assim podemos ter privacidade. Fique aí, vista suas roupas e saia um minuto depois de mim para não parecer muito suspeito. Te vejo em um segundo, querida.
232|Você se deu ao trabalho de se vestir e andar pelo corredor. Tranque a porta e venha aqui, papai. 
232.1|Você nem teve tempo de se vestir, né? Você deve estar com SEDE depois de todo esse trabalho duro de modelo. Fecha essa porta e vem pegar seu... refrigerante.
232.2|Você demorou só para se vestir e atravessar o corredor. Fecha e tranca essa porta e vem aqui, sua coisinha fofa!
233|E aí?
234|Ah, entendi. Acho que sim. Bem, hum, obrigada pela sua honestidade, eu acho.
235|Hã, não mesmo. Não estou dizendo que estou te usando totalmente nem nada, mas eu só queria ver como o Derek reagiria quando eu ficasse com você.
236|É, estamos bem. Acho que essa pintura também foi boa. Então, obrigada! Agora, vamos voltar para a festa!
237|O que foi?
238|Vai se foder, filho da puta!
239|Ai, meu Deus... Ainda bem que ignorei a parte do "Ah, não, uma nova pessoa pra ficar pelada, espero que nada de estranho aconteça!". Vou confessar também... Eu tinha que tentar mesmo, e não na sala de artes. A cama, hum... está... proibida por enquanto, aliás. Deve ter sido algo que eu comi, mas prometo que já foi. Enfim, já que passamos da fase estranha...
239.1|Ai, meu Deus... Que bom que estamos sozinhos agora. Depois de realmente nos abrirmos um com o outro e trocarmos o vínculo espiritual de parentesco com os animais do céu... bem, faz um tempo que não me sinto tão próxima, e tão REAL, de alguém. Então, falando nisso, eu realmente gostaria da sua opinião sobre algo, aqui e agora...
240|Me diga... o que você acha... desta obra de arte? Hmm
240.1|Maçanete a porta, então talvez... possamos chegar à natureza da expressão "artista faminto".
241|Droga... Não sei se foi o vapor da tinta ou o jeito que você usa esse pênis de pinguim gordo que me pegou, mas estou vendo cores aqui. Meu Deus, você poderia atribuir essa última parte a um cérebro viciado em sexo, talvez? Ok, vamos voltar para a festa, ok?
241.1|Droga... Não sei se foi o vapor da tinta ou o jeito que seu pênis de pinguim espiritual me fodeu, mas estou vendo cores aqui. Nossa, uh, você poderia atribuir essa última parte a um cérebro viciado em sexo, talvez? Ok, vamos voltar para a festa, ok?
242|Eu vou... meu Deus... te foder como um dos meus papais batatas fritas. Talvez eu esteja agindo demais como eu mesmo!
242.1|Mmmm, você quer mudar isso?
242.2|Mmmm, o que você quer fazer?
242.3|Mmmm...?
242.4|Eu vou... oh DEUS... te foder como uma das minhas batatas fritas!... garotas, merda! Talvez vocês sejam muito parecidas comigo!
243|Você sente isso? São os olhos da sua escultura sobre nós. Ela aprova a ligação dos nossos animais celestes. Agora, meu pinguim de carga, me dê com todo o seu poder polar!
243.1|Você sente isso? São os olhos da sua escultura sobre nós. Ela aprova a ligação dos nossos animais celestes. Agora me dê um pouco dessa selvageria espiritual, meu pinguim de carga fofo!
244|O que você está dizendo, mortal? Onde está seu Deus agora?
245|... o quê? Ah, isso é bom para você também?
246|Nossa, não é que seja grande coisa, mas sim, meus primeiros passos foram com... a ajuda de modelos pré-desenhados. Você tem algum problema com isso, Da Vinci?
247|Obrigado. Estou melhorando, ok? Eu só precisava começar de algum lugar. É como quando eu aprendi a jogar boliche, eu usava amortecedores. E se eu tivesse 20 anos? O cara que aluga os sapatos disse que eu tinha a melhor forma de jogar boliche de todos os tempos. Aí ele agarrou minha bunda, o que me faz pensar que ele não estava falando da minha forma de jogar boliche...
248|Sabe de uma coisa? VOCÊ É UM INÚTIL. Não me pergunte mais sobre a minha arte hoje à noite.
