[General]
Name|Amala
b529a239-f196-4c16-b105-190020977e69|Algo me diz que cortei relações com a Amala. Ela não quer mais falar comigo. Se ao menos eu tivesse uma máquina do tempo para reviver esta noite!
c5e7ab6e-03fc-477c-8d2c-b0406e95dadf|Algo me diz que dar mais álcool a ela não vai ajudar...
cf4621d2-9749-493e-b1c9-542820d4b229|Algo me diz que ela não tem interesse em colocar isso na boca. Psiu! Que exigente!
d69f441c-36d9-4f2d-98de-7285f3f0fe3a|Hmm... essa voz. Por que me parece familiar? Quem é esse vizinho misterioso?
d6bb541e-86cc-4895-af05-419326440277|Hmm... que barulho estranho é esse vindo de trás da cerca? Talvez eu devesse investigar...
d6f5d8db-fd4e-48a7-9b1e-b67ee7cb3d06|*Você ouve algo lá fora, perto da porta da frente.*
d72a46bb-3695-4f86-ab61-f20afaace020|Acho que Ashley não é Dinolicious.
d7468bd6-2f8a-4d42-910a-1c40fc29e5ed|Esta foto não prova nada, exceto que eu não sei tirar fotos.
eba86eb0-9772-4002-bc98-3ed505c6a5f6|Acho que não sou o Dinolicious. Ah, espera, eu já sabia disso!
fbefb3ef-1129-45ba-837e-04ddcee1e216|Bem, essa foi uma reação perfeitamente normal.

[Background Chatter]
BGC1|Vamos lá, Amala, você tem a bunda de uma guerreira amazona. Você é a Mulher-Maravilha, pelo amor de Deus. Derrube essa cerca!
BGC2|Certo... certo, eu deveria começar a correr. Ok, preciso ser rápido. Rápido. RÁPIDO! ...DYYAAA!
BGC3|Aqui está... OOH! Pegue essa, sua cerca de merda! Vadia! Puta de... Ai! Oh, Jesus! Ai! Merda! Ai, meu Deus... ah...
BGC4|Me diga por que, essa vagabunda não me convida. Me diga por que, ela quer me irritar. Me diga por que eu ainda estou tentando invadir... Eu quero um ménage à trois... ou algo assim. Eu não sei.
BGC5|Ei, você ainda está aí? Eu quero muito ir para a festa, então espero que você esteja progredindo nisso. Eu também preciso peidar, mas não vou fazer isso enquanto você estiver na minha frente.
BGC6|Vamos lá, Amala, pense. Como diabos vamos entrar nessa festa? Use o método. CFNC. O que o Nicolas Cage faria?
BGC7|É melhor que esta pizza tenha anchovas, se não tiver... ah, merda, a caixa está vazia! MERDA!
BGC8|Este hipócrita está sorrindo para mim como se eu fosse a rainha do baile. E eu sou, mas não porque a Madison disse.
BGC9|Ei, como é que não tem batata frita? Não tem mesmo. Eles não têm nem uma batata frita aqui, quanto mais um saco vazio. Um saco vazio teria sido mais apreciado... do que não ter nenhuma.
BGC10|Ei, se você dividir a palavra "Gin" em duas sílabas, você obtém "Gin". "Gin". "Gi-n". "Gi-nn". ..."GIII-NNN."
BGC11|Se pareço uma "menina da porta ao lado", é porque eu literalmente moro ao lado. Então é isso, agora você sabe de tudo.
BGC12|Diga isso de novo. Não, diga isso de novo. Diga isso de novo! DIGA ISSO DE NOVO! Não, sério. Eu não ouvi isso.
BGC13|Que vestido é esse? ...Ah, é muito fofo. Sabe... Eu também tinha um... quando tinha sete anos.
BGC14|Sua peruca tem o formato de uma forma de pizza. Não me olhe assim.
BGC15|Aspeaspeaspeaspe. ESTE É O METAVERSO?
BGC16|Ei, só para você saber, Kenny Beats é policial. Ele é definitivamente um agente federal. Se... escuta, se você acha que o Kenny Beats não é um federal, eu não sei em que mundo você vive.
BGC17|Disseram que meu namorado parece um funcionário de posto de gasolina... É exatamente isso que ele faz.
BGC18|Ei, olha só esse movimento. O que você acha? É legal? Você gosta? Você gosta de mim? Espera, não, olha pra mim, não, olha pra mim, olha pra mim, olha pra mim... tá, agora tenta... tenta? Tenta.
BGC19|Droga, esqueci de trazer meus produtos...
BGC20|Sou gay! Quis dizer DJ. Essa festa precisa de um DJ! OMG OMG Hum, qual é o seu signo? Eu acho... sua energia me diz que é Câncer. Ou talvez Gêmeos. Mas seu lado selvagem me diz que é Sagitário... sim, um Sagitário de verdade. Seus chakras! Eles estão brilhando! ...Uau!
BGC21|Eu vi o que você disse sobre o X. Seu corpo tem o formato de um goomba. Não fale comigo.
BGC22|Mal posso esperar para chegar em casa. Eu amo minha casa. Tenho tantas coisas legais lá, tipo... espreguiçadeiras e internet...
BGC23|Devo começar o show agora?
BGC24|Se alguém perguntar quem eu sou, diga que sou uma conta de fã, mas na vida real.
BGC25|Detesto perguntar, mas a Madison convidou apenas nove pessoas ou só nove apareceram?
BGC26|Eu deveria contratar o Yeti para ser o DJ desta festa. Ele a transformaria completamente.
BGC27|Caramba, você gosta dessa merda.
BGC28|Você é o mesmo babaca que me mandou uma foto do pinto dele por mensagem privada!
BGC29|Dinolicious... Eu sei que você está rebolando em algum lugar por aqui. EU VOU TE ENCONTRAR, QUEIRA VOCÊ OU NÃO!
BGC30|Bppppprrbpbpbpbprrrrpppbbb... *hic* ...O quê? Não me olhe assim—*hic*!
BGC31|Você está começando a me irritar. Pare com isso.
BGC32|Ei, pare com isso!
BGC33|Ei! Pare com isso!
BGC34|Se eu pudesse... Eu dobraria o Frank como um cisne de origami e o enfiaria na minha bunda. E digo isso de um jeito muito desrespeitoso!
BGC35|O Frank já mandou você se servir de uma bebida?
BGC36|NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAI NAAIIIIII. ...O quê? Pare de me encarar. Não me encare assim. Posso aquecer minha voz em paz? Obrigada.
BGC37|La la la la la, la... 
BGC38|Olha, conversamos sobre isso outra hora. Preciso ir.
BGC39|Anal pode ser muito... uau. Quer dizer, muito... uau.
BGC40|O vestido é opaco o suficiente? Ou é transparente?
BGC41|Você acha que eu poderia bombardear o Frank? Quer dizer, eu vou explodi-lo.
BGC42|Você acha que a bunda dela é de verdade? Não pode ser de verdade. É a coisa mais falsa que eu já vi. É falsa! Essas bundas são claramente falsas!
BGC43|Ei, não se afaste de mim!
BGC44|Exatamente. E corrija sua atitude.
BGC45|Ei, o que há de errado com esses dois esquisitos que invadiram a festa? Eles ficam discutindo sobre Naruto, Final Fantasy, casacos e essas merdas.
BGC46|Como um cara é picado por um mosquito no cu?
BGC47|Então Hypnotic não é só colônia?
BGC48|Eu poderia simplesmente ir até a porta da frente e bater... seria a coisa mais lógica. Mesmo que pareça uma ideia banal e chata. Imagino um novo mundo onde as pessoas arrombam casas como ladrões. Ninguém mais dormirá profundamente.
BGC49|Na verdade não, mas fiz um pós-apocalíptico onde meus peitos são metralhadoras.
BGC50|Ah, não, acabei de derramar Whack Spankiel nos meus peitos. Vou perguntar a esse cara gostoso se ele tem um lenço.
BGC51|Quer dizer, nem tudo tem um motivo, mas pode provar que você é legal. Sabe? E tem gente na internet que paga muito dinheiro para ver esse tipo de coisa.
BGC52|Bem, sim, mas às vezes é isso que torna legal.
BGC53|Não tenho mais nada a dizer.
BGC54|Eu quero dançar. Alguém pode dançar comigo? Dance comigo! Dance comigo!
BGC55|Ano que vem, vou ter um corpo de arrasar. Vou raspar a cabeça, ganhar músculos e ficar parecido com o Joe Rogan. Esse é o meu objetivo.
BGC56|Vou ignorar sua resposta mal-humorada e compartilhar minha ideia genial com você. Escute aqui: um aplicativo que te diz a localização exata da lanchonete de tacos mais próxima, não importa onde você esteja no mundo. Vou chamá-lo de Hora do Taco.
BGC57|Não estou mentindo para você. Emoji: Hora do Taco é o melhor filme já feito.
BGC58|Estou trabalhando muito no meu autocontrole. Nem sempre consigo agir por impulso.
BGC59|Tem alguém fumando? Estou me sentindo um pouco chapada. É, com certeza estou chapada. Não consigo mais sentir minhas mãos.
BGC60|RAT-TA-TATATA! Curvem-se diante dos meus peitos de metralhadora!
BGC61|Me diz uma coisa, quantos desses filmes têm um emoji de cocô de gravata borboleta?
BGC62|Vamos encher a garrafa d'água do Frank com absinto. E aí eu vou mijar nela.
BGC63|Eu poderia subir naquele outdoor e depois fazer tirolesa de lá até o jardim como um agente secreto. É. Agora só preciso de uma tirolesa e um codinome legal tipo... oooh, tipo Coca-Cola. Putz, meus mamilos estão duros de novo.
BGC64|Uma vez empurrei meu cachorro em um toboágua. Brincadeira. Mentira.
BGC65|Você entende de tecnologia, né? Gosta de aplicativos?
BGC66|É, nadar de roupa branca é legal.
BGC67|Não tem como o Frank ter sido convidado. De quem é a amizade daquele cara?
BGC68|Esta casa está cheia de fotos de estranhos. Alguém conhece esses caras?
BGC69|Quando você acha que o Frank vai ficar... legal?
BGC70|Quando... quando eu vejo seu rosto, eu quero... beijá-lo. Quando eu te vejo, eu quero te beijar.
BGC71|Onde está o beer pong? Vamos jogar beer pong ou não? Podemos jogar beer pong? Eu sou péssima em beer pong, mas temos que jogar.
BGC72|Por que as pessoas esbarram umas nas outras? Tem bastante espaço aqui.
BGC73|*Amala canta "Mulher"*
BGC74|É, o Frank é péssimo. Droga!
BGC75|É, eu sei cozinhar. Tá? Uma vez eu coloquei manteiga numa panela e coloquei um daqueles sanduíches sem casca que vendem no supermercado, aqueles com geleia. Minha vida nunca mais foi a mesma. Uma vez eu coloquei endro num ovo e ficou uma delícia.
BGC76|Você já tentou quebrar uma melancia com as coxas? Aposto que sim.
BGC77|Você tem que colocar um Oreo no purê de maçã e deixar descansar. Ele fica bem mole e você pode dar uma mordida. É macio e tem gosto de bolo. É incrível.
BGC78|Você tem que beber o dobro de álcool do que água. Foi o que eu aprendi.
BGC79|Sabe o que eu tenho feito ultimamente? Eu relaxo. É. Eu relaxo bastante.
BGC80|Não, seu idiota.
BGC81|O Patrick é fofo, mas não do tipo "quero te comer". Ele é fofo, tipo...
BGC82|Não, tipo um cachorrinho! É, eu quero te colocar na coleira e te levar para passear. Ooh, talvez eu possa te colocar numa sacola!
BGC83|É... mas eu consegui isso depois de concordar em fazer isso.
BGC84|Malditos contratos...
BGC85|Droga, eu deveria ter trazido o Alex. Ele teria adorado essa festa.
BGC86|Não, seu idiota. Esse é o meu gato. O Alex é demais!
BGC87|Cara, você acabou de contar essa merda pessoal para um completo estranho. Respeito.
BGC88|Isso são águas passadas, baby. Eu sei que as coisas que eu faço são explosivas. Na outra noite, nós literalmente atiramos em um cara com um canhão.
BGC89|Não, cara, era só uma terça-feira. Eu faço loucuras às terças.
BGC90|Bem, eu tenho que dizer, você daria uma rainha negra linda.
BGC91|...Então, você vai dizer ou não?
BGC92|Você não parece um fã.
BGC93|Ah... você seria um personagem realmente cativante em um videogame.
BGC94|Estou aqui na sua frente. Você não tem internet?
BGC95|Aquela vagabunda não me convidou. Tentei derrubar a cerca por uns 20 minutos até ela descobrir quem eu era e concordar em me deixar entrar.
BGC96|Você é escultor? Deixe-me fazer uma pergunta, de artista para artista: como é que todas as estátuas anteriores tinham pintos pequenos? Quer dizer, por que Michelangelo tinha um tão pequeno?
BGC97|Não, estou falando do cara da Renascença. Ele fez muita coisa... deixa pra lá. Só estou dizendo que deveria haver mais esculturas com pênis gigantes, na minha opinião.
BGC98|Não parece tão grande assim...
BGC99|Que porra é essa?
BGC100|Você está com tesão! Você está com tesão. Você está com tesão pra caralho!
BGC101|Ah, exatamente o que essa festa precisava. Mamilos.
BGC102|Legal, exatamente o que essa festa precisava. Corpos nus e tudo mais.
BGC103|Você sabe que as pessoas te veem, né?
BGC104|Eeeeeee, olha só você! Esses passos são muito bons!
BGC105|É, o esforço existe, mas o talento não. Desculpe, mas dançar não é seu ponto forte.
BGC106|Chuta a bunda dele! Chuta a bunda dele! Chuta a bunda dele!
BGC107|Porra! Bem na cara!
BGC108|Curte e se inscreve, seu merda.

