[General]
Name|Compubrah
d5ac8e8f-29cb-4f57-8919-e38536540069|* VOLTAR PARA A LISTA DE ATENDENTES *
1ac3ef3a-896e-4fb2-8080-41b6af2f3529|* PRÓXIMA ENTRADA *
4d6666dc-68e2-4c1a-89ce-27d0d6a9e94c|* ENTRADA ANTERIOR *
01680770-7ed3-44cb-b1a5-499370398bb6|* VOLTAR PARA A LISTA DE PARTICIPANTE*
8d6eb263-b675-48e1-8c7e-3ab489e2f228|*PRÓXIMA ENTRADA*
bf3329ff-285c-48af-a815-77e519293841|*ENTRADA ANTERIOR*
06ca1639-b56e-4e14-b531-036395b43bbe|*VOLTAR À LISTA DE PARTICIPANTES*
8d462787-b6c6-42e4-9ca4-ae702d7fc8b3|*PRÓXIMA ENTRADA*
94acc7f9-3079-4636-84ee-f1f97489acc4|*ENTRADA ANTIGO*
628be074-051d-43d7-b8b8-8bd2d40dcd05|*VOLTAR À LISTA DE PARTICIPANTES*
62e478a5-8197-42f9-b459-9c68225f9fa1|*PRÓXIMA ENTRADA*
bf2cebbf-f610-40ef-ae08-9c1eaa8cedc9|*ENTRADA ANTERIOR*
a1ea023c-7868-406f-80ba-cae96eedf66b|*VOLTAR À LISTA DE PARTICIPANTES*
a45d04ed-e808-430b-aca9-7ab9a3bf25cf|*ENTRADA PRÓXIMO*
76535a4c-195d-482a-8448-376a7c7cdfd0|*ENTRADA ANTERIOR*
bf3d2895-49ff-43f5-83d4-0c36fa25580c|*VOLTAR À LISTA DE ATENDENTES*
a1826308-ac47-4849-ae1f-c4362cb96158|*PRÓXIMA ENTRADA*
5927520c-d589-4c33-9dfd-3a5191ff5c25|*ENTRADA ANTERIOR*
3a2ba58e-5f9c-438e-9041-e5cd582cdbb2|*VOLTAR À LISTA DE PARTICIPANTE*
9c2d4b9e-2889-4468-986a-6ae8c31ea7b9|*PRÓXIMA ENTRADA*
92e863fc-1441-435a-b903-006274e9edb2|*ENTRADA ANTERIOR*
ceb8fd02-f444-4945-9a73-cbf62677dfaf|*VOLTAR À LISTA DE PARTICIPANTES*
f92181d7-b868-4727-a615-66627740bed5|*PRÓXIMA ENTRADA*
abe82e30-a1a5-4544-8288-5448625363b5|*ENTRADA PRÓXIMO*
b35510c9-0404-4618-90a3-71b198f0aa54|*ENTRADA ANTERIOR*
8c597192-2928-436d-beb0-5a40aa4eeccc|*VOLTAR À LISTA DE ATENDENTES*
b827f5d6-2562-4b13-a592-8ad5d098fdb7|*PRÓXIMA ENTRADA*
65e6ba0a-e216-4390-96aa-7b88b7ffe8c9|*ENTRADA ANTERIOR*
87e2a66f-1185-4588-b956-69234d78e153|*ENTRADA ANTIGO*
4e553039-15e9-42a4-9be8-62a3f504a101|*VOLTAR À LISTA DE PARTICIPANTES*
7ee98f64-41b5-4054-a695-d5c28f42b7c2|*PRÓXIMA ENTRADA*
60c9f975-50b8-4606-b72e-f04a1f44064e|*ENTRADA ANTERIOR*
057f967d-6508-4880-8de5-918643a0bafe|*VOLTAR À LISTA DE PARTICIPANTES*
7eaf103b-deac-4263-afdb-7207dab81015|*ENTRADA PRÓXIMO*
175182dd-d6c8-4051-8e0d-87966a63e79c|*ENTRADA ANTERIOR*
4a29b06e-a4b8-4904-91ee-84390d6c8a2f|*VOLTAR À LISTA DE ATENDENTES*
689c61a2-850f-45d7-8018-136dda6d0cb3|*PRÓXIMA ENTRADA*
e640cc3a-9a45-4d4d-859b-a635394dda0e|*ENTRADA ANTERIOR*
5560a080-924d-4d68-b35f-e41b3f792031|*VOLTAR À LISTA DE ATENDENTES*
1044f30e-da8a-4f94-b4c7-0422ade0570a|*PRÓXIMO ENTRADA*
76238ef8-e0e5-43a5-be99-3b3a3e144582|*ENTRADA ANTERIOR*
46149695-6c3b-4b28-8f5f-c130fda6155f|*VOLTAR À LISTA DE ATENDENTES*
20781edd-28a3-465a-ae8b-25202db65ce6|*PRÓXIMO ENTRADA*
ca651c84-4f62-40d3-b724-71d616d624ff|Sério? É só isso que você sabe sobre mim? 
0d3aade4-270f-4114-b020-b99587e1e445|Que robô babaca você é. *RETORNA À LISTA DE ATENDENTES*
12d4f46a-efbd-406f-94ac-fdacaa638efd|Hã? Quem disse isso?
bdd7868a-5830-4fcc-9d27-e3a02f1ebfcd|Essa maleta falante parece ter um problema. Talvez eu fale com ela...
9508b904-e6a5-4fd0-b1d7-ebacbc3fb758|Merda, desculpe, Compucompa.
cd6e12d7-f2a5-43d1-97f8-974090d8fc5d|Que diabos? ...
53b034d7-b13d-45e0-a66c-afbfb0f145da|Quem... o que é você?
ff7f7c4a-7a88-4f6f-b9e9-c33cbd1249e9|Como posso abrir?
2d9b3390-575e-45ff-87e9-f7953db91fa1|Sério, o que diabos você é?
4d497cfc-eeda-4677-baef-b1f907c8054b|Não tenho perguntas sobre como abrir sua bunda. Paz.
7fb3b0c0-64fd-4c96-b39d-5167ca083b08|É... sério, o que diabos você é?
54eec119-5f10-45f8-9a47-827e9958d14c|Certo!
af2f26df-7886-43e7-803d-a6506cab9bdd|E como eu abro?
603b290c-8eb5-4b7f-b4d9-711301160953|Uh huh... certo. *Guarda a maleta silenciosamente de volta nos seus bolsos incompreensivelmente grandes...*
748cbf88-7bbe-4e7b-b3ac-bb046189d0ae|Não sabíamos que uma caixa de bate-papo ficaria presa nisso tudo. É difícil prever.
5a0791a6-b48c-4b14-bda6-502ff7b0a0db|Você me deve respostas, que diabos é você?
f3a12577-06f8-4144-a63c-7526e009e60f|É, nós os enganamos para pousar aqui.
0e66cd45-bb63-4378-acb0-17c497c9c8a3|Estamos tentando encontrar um jeito de tirá-los daqui.
21de6070-c962-4407-b593-00d8f9ffe4b4|Cara, preciso de algumas ideias reais aqui.
9ed367d7-5589-4ce3-b3c5-aaf1ec296fd2|Ok, o que eu posso fazer?
28f2d1cf-9367-4999-b72b-8d599ca71283|Tenho certeza de que Dan e Arin vão te adorar.
7baace14-1626-482f-916f-da1fd9061447|Não deve ser muito difícil. Só preciso saber onde procurar.
b199025d-5e01-439a-afee-e41b908486f5|Me passa! Miau, certo!
5f7e2830-e5bf-454c-8a6d-fe390dd4066a|Larga esse suco genético do Game Grumps!
a9f92693-c966-47a1-9cdf-c774b31f83de|Esses não são ruídos de computador.
edbb4c20-1f1a-4c12-9207-1c7caeed4220|Está na hora, pessoal. Vocês estão indo para o mundo virtual!
d86a2463-6761-41b6-a216-02c5f8c31ec5|O bloqueador de sinal sumiu. Alguém o tirou de mim!
5f8cbd4f-c355-44d0-8d6e-48ef22a96700|Caramba!
89d222e7-3683-4271-b628-8185197ca438|Ok, aí está. Apresse-se e pose!
028f82d8-c3c6-4356-889c-fc11254b52f6|Katherine ainda está com ele.
3ea16daf-9476-49d8-bc89-427b799e9178|*Ouvir*
2d95946a-fb8f-4405-a81a-1eb7ded219f2|*Ouvir*
9bda4dbc-57e2-4568-bcd5-489e38f0dc05|*Cantarolar junto*
c0fc0694-c2da-4568-bcd6-8c43ba67b1ef|Nossa, tantos elogios para você. *Continua ouvindo*
532048f8-627e-45d3-8395-5a9613afe963|Bem, isso foi incrível.
0190f7dc-b19d-41c1-b0e0-7f1eef6c9fab|Então os Grumps estão onde sempre sonharam em estar... dentro de um peido de IA.
f0b8e3d9-3bce-472c-b886-a47a7bcfd106|É. Mas não a outra coisa então. *Reproduzir mensagem*
931b2788-d94a-451c-88cc-8812a6454eb7|*Ouvir a próxima mensagem*
6a2623fc-147f-4ce0-bad3-ca3b909cd669|*Continuar*
6089ab1c-dced-4867-b2dd-362ceff891a2|*Sair*
7dc982b4-6c0e-4e76-b3e6-1b52e7d7024b|*Continuar para a interface do Compucompa*

[Quests]

[Events]
00038502-c444-42fe-86d8-8afb9ac93fef|Preciso estar completamente livre e relaxado para ativar o modo VR, senão posso tropeçar em sabe-se lá o quê... ou em quem. Sem falar no que eu posso dizer ou agarrar... eca.
07a16d0d-a4fe-49ae-a672-c1fe94b0101c|Coisas de satélite, talvez? Fiz alguma coisa na festa para estragar tudo? Robô maldito.
e49dffd0-8b3e-42c3-8164-e1995dfdc6f0|Parece que o bloqueador não fodeu só com os Grumps. Telhado do mirante, hein?
b198b7b7-8130-4a11-ab72-697c7589a50e|Parece que o bloqueador não se meteu só com os Grumps...
f0df85ca-a645-46b3-93bb-f248e852387a|Tem que ser o mesmo bloqueador que derrubou o balão de ar quente...
db2eb8af-df58-4675-ba09-d576a01f298e|Ok, hora de fazer essa *foto de grupo* tipo, meu Deus, digna de ser instantânea! Hashtag restinggrumpface! Hashtag realtimelusescameraaction!
8ee010d0-85fe-4b17-a4fb-34f182d3245a|Tomara que a CompuCompa não os tenha perdido em suas redes digitais... ah, tudo bem! Adeus e boa sorte, Dan e Arin! Não tenho dúvidas de que essa atitude foi a melhor e única maneira de incluí-los no programa!

[Background Chatter]
